entry_date,exit_date,symbol,entry_price,exit_price,shares,return,reason,days_held
2025-01-03,,KFEIN,8.66956831,,2306,,ENTRY,0
2025-01-03,,KARTN,95.40864,,209,,ENTRY,0
2025-01-03,,QUAGR,3.29664,,6066,,ENTRY,0
2025-01-03,,ASELS,75.3509894,,265,,ENTRY,0
2025-01-03,2025-01-06,ASELS,75.3509894,74.66717805,265,-0.009075014879632026,SWAP,1
2025-01-06,,TRENJ,52.73109,,375,,SWAP_ENTRY,0
2025-01-03,2025-01-07,QUAGR,3.29664,3.31733,6066,0.006276087167540245,SWAP,2
2025-01-07,,TUREX,16.082028,,1259,,SWAP_ENTRY,0
2025-01-07,2025-01-08,TUREX,16.082028,16.231236995,1259,0.00927799622037706,SWAP,1
2025-01-08,,CIMSA,44.92293453,,453,,SWAP_ENTRY,0
2025-01-06,2025-01-09,TRENJ,52.73109,54.66928,375,0.03675611484609931,SWAP,3
2025-01-09,,TCELL,95.3649878,,216,,SWAP_ENTRY,0
2025-01-03,2025-01-13,KARTN,95.40864,107.44209,209,0.1261253697778313,SWAP,6
2025-01-03,2025-01-13,KFEIN,8.66956831,9.336955625,2306,0.0769804552125386,SWAP,6
2025-01-13,,OYAKC,23.09530842,,1030,,SWAP_ENTRY,0
2025-01-13,,ASELS,79.43931789999999,,274,,SWAP_ENTRY,0
2025-01-13,2025-01-14,ASELS,79.43931789999999,78.78818945,274,-0.008196551370439065,SWAP,1
2025-01-14,,SMART,28.430490000000002,,758,,SWAP_ENTRY,0
2025-01-13,2025-01-15,OYAKC,23.09530842,23.954197150000002,1030,0.03718888331693493,SWAP,2
2025-01-08,2025-01-15,CIMSA,44.92293453,48.30858927,453,0.07536584097681831,SWAP,5
2025-01-15,,HLGYO,2.48257394,,8798,,SWAP_ENTRY,0
2025-01-15,,ASELS,79.3555889,,303,,SWAP_ENTRY,0
2025-01-15,,TTKOM,45.172250000000005,,391,,ENTRY,0
2025-01-15,2025-01-16,HLGYO,2.48257394,2.4780721760000004,8798,-0.0018133453862000382,SWAP,1
2025-01-16,,KRDMA,28.94862,,750,,SWAP_ENTRY,0
2025-01-09,2025-01-17,TCELL,95.3649878,97.10923389999999,216,0.01829021468191283,SWAP,6
2025-01-17,,HLGYO,2.553118097,,8068,,SWAP_ENTRY,0
2025-01-14,2025-01-22,SMART,28.430490000000002,30.583315,758,0.07572240225194848,SWAP,6
2025-01-22,,TUKAS,2.2136961840000002,,10601,,SWAP_ENTRY,0
2025-01-15,2025-01-23,ASELS,79.3555889,82.33184215,303,0.037505275825632456,SWAP,6
2025-01-23,,TCELL,104.5543516,,229,,SWAP_ENTRY,0
2025-01-17,2025-01-27,HLGYO,2.553118097,2.919803023,8068,0.1436223911580381,SWAP,6
2025-01-27,,ASELS,86.59110265000001,,254,,SWAP_ENTRY,0
2025-01-27,2025-01-28,ASELS,86.59110265000001,87.78048802,254,0.01373565335930027,SWAP,1
2025-01-23,2025-01-28,TCELL,104.5543516,104.4916961,229,-0.000599262479669016,SWAP,3
2025-01-28,,FROTO,90.94591460000001,,239,,SWAP_ENTRY,0
2025-01-28,,TEZOL,16.461190079999998,,1445,,SWAP_ENTRY,0
2025-01-15,2025-01-29,TTKOM,45.172250000000005,50.483315000000005,391,0.11757362097305313,SWAP,10
2025-01-28,2025-01-29,TEZOL,16.461190079999998,16.450093215,1445,-0.0006741228882036765,SWAP,1
2025-01-29,,PAPIL,12.96234,,1544,,SWAP_ENTRY,0
2025-01-29,,TKFEN,65.13692,,362,,SWAP_ENTRY,0
2025-01-22,2025-01-29,TUKAS,2.2136961840000002,2.0924963179260003,10601,-0.054749999999999965,STOP_LOSS,5
2025-01-28,2025-01-30,FROTO,90.94591460000001,91.89918505,239,0.01048172921447521,SWAP,2
2025-01-30,,TUKAS,2.118195533,,10226,,SWAP_ENTRY,0
2025-01-30,,TRALT,23.087590000000002,,1090,,ENTRY,0
2025-01-29,2025-01-30,PAPIL,12.96234,12.252651884999999,1544,-0.054750000000000076,STOP_LOSS,1
2025-01-16,2025-01-31,KRDMA,28.94862,34.45685,750,0.190276082245026,SWAP,11
2025-01-31,,PAPIL,12.262410000000001,,2055,,SWAP_ENTRY,0
2025-01-31,,TUREX,14.936688,,1276,,ENTRY,0
2025-01-31,2025-01-31,TUREX,14.936688,14.118904332,1276,-0.054750000000000076,STOP_LOSS,0
2025-01-30,2025-02-03,TRALT,23.087590000000002,21.8235444475,1090,-0.054750000000000076,STOP_LOSS,2
2025-01-29,2025-02-03,TKFEN,65.13692,61.57067363,362,-0.054750000000000076,STOP_LOSS,3
