symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,total_debt
HALKB,2022/3,2022-05-12 18:15:35,0.033538826151067125,0.0022017773621368403,,0.0,,,,144941392.0,,65829267978.0,65829267978.0,4321600027.0,,,,,273038639.0,,,0
HALKB,2022/6,2022-08-12 18:14:05,0.0768413862741103,0.00473253023868775,,0.0,,,,309022390.0,,65297499311.0,65297499311.0,4021561882.0,,,,,445453720.0,,,0
HALKB,2022/9,2022-11-11 18:15:20,0.13819446652970085,0.00849806703571995,,0.0,,,,559582365.0,,65848193789.0,65848193789.0,4049238577.0,,,,,778359273.0,,,0
HALKB,2022/12,2023-02-17 18:15:40,0.18985441031765107,0.012355587651545461,,0.0,,,,918785986.0,,74361981956.0,74361981956.0,4839423980.0,,,,,1243212981.0,,,0
HALKB,2023/3,2023-05-10 18:27:21,0.03603567419422604,0.002671308468585283,,0.0,,,0.5540461554281195,225245613.0,,84320330523.0,84320330523.0,6250628524.0,,,,,247969172.0,,,0
HALKB,2023/6,2023-08-10 18:15:17,0.05544109735661181,0.0033199565572886685,,0.0,,,-0.19028867131601693,250218930.0,,75368133794.0,75368133794.0,4513239130.0,,,,,360895271.0,,,0
HALKB,2023/9,2023-11-09 18:16:22,0.0809967569587502,0.004524559918708212,,0.0,,,-0.351947325931188,362638848.0,,80148976810.0,80148976810.0,4477202071.0,,,,,370378717.0,,,0
HALKB,2023/12,2024-02-14 18:25:58,0.09746456466983522,0.00570086617071522,,0.0,,,-0.5381256446373356,424363685.0,,74438457647.0,74438457647.0,4354030477.0,,,,,279192025.0,,,0
HALKB,2024/3,2024-05-10 18:17:20,0.03781367308984052,0.002084057623360194,,0.0,,,-0.30918743798131154,155602499.0,,74663242156.0,74663242156.0,4114979749.0,,,,,-204818721.0,,,0
HALKB,2024/6,2024-08-12 18:19:11,0.06310664829182891,0.0032889539016180726,,0.0,,,0.04363648665590569,261137605.0,,79398377968.0,79398377968.0,4138036357.0,,,,,-65235772.0,,,0
HALKB,2024/9,2024-11-13 18:18:01,0.11557051408889582,0.005544341170190036,,0.0,,,0.2862081091764333,466429027.0,,84127042814.0,84127042814.0,4035882601.0,,,,,57283767.0,,,0
HALKB,2024/12,2025-02-25 18:57:47,0.10645111296917843,0.005398720662283851,,0.0,,,0.0828126398233157,459506362.0,,85113935457.0,85113935457.0,4316595188.0,,,,,258885634.0,,,0
HALKB,2025/3,2025-05-09 18:22:21,0.04650924001467314,0.0022920883424538373,,0.0,,,0.2498416622473396,194478486.0,,84847727026.0,84847727026.0,4181502126.0,,,,,143164591.0,,,0
HALKB,2025/6,2025-08-08 18:38:02,0.0759295576911079,0.00350124217857766,,0.0,,,0.22922830666230548,320997736.0,,91681100486.0,91681100486.0,4227572842.0,,,,,252870831.0,,,0
HALKB,2025/9,2025-11-07 18:59:29,0.10984435422378945,0.005396768537335259,,0.0,,,0.1210872945949824,522907656.0,,96892733565.0,96892733565.0,4760441806.0,,,,,340950844.0,,,0
