Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
DOAS,20.05.2025,"11,88","27,2727","2.727,27","2.318,18",6.000.000.000,63
DOAS,02.09.2024,"4,18","10,0000","1.000,00","900,00",2.200.000.000,8
DOAS,19.04.2024,"10,52","40,9091","4.090,91","3.681,82",9.000.000.000,32
DOAS,24.11.2023,"2,14","5,6818","568,18","511,36",1.250.000.000,8
DOAS,24.08.2023,"3,46","11,3636","1.136,36","1.022,73",2.500.000.000,16
DOAS,06.04.2023,"6,83","9,0909","909,09","818,18",2.000.000.000,13
DOAS,14.11.2022,"2,81","4,0909","409,09","368,18",900.000.000,39
DOAS,08.04.2022,"7,99","5,6818","568,18","511,36",1.250.000.000,54
DOAS,12.07.2021,"5,11","1,3636","136,36","115,91",300.000.000,29
DOAS,27.04.2021,"4,94","1,3636","136,36","115,91",300.000.000,29
