Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
KOZAL,14.07.2023,"1,47","0,4000","40,00","36,00",1.281.000.000,A/D
KOZAL,07.07.2022,"0,09","0,1755","17,55","15,79",2.676.271.300,89
