Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
CEMTS,28.05.2025,"1,96","0,2200","22,00","18,70",110.000.000,A/D
CEMTS,29.04.2024,"1,35","0,1500","15,00","13,50",75.000.000,63
CEMTS,29.05.2023,"1,31","0,5000","50,00","45,00",50.487.840,10
CEMTS,16.05.2022,"0,95","0,2778","27,78","25,00",28.048.802,7
CEMTS,05.05.2021,"1,19","0,1765","17,65","15,00",17.819.239,13
CEMTS,11.01.2021,"0,24","0,0386","3,86","3,28",3.897.459,3
CEMTS,28.04.2020,"1,82","0,1379","13,79","11,72",13.921.769,25
