Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
JANTS,06.05.2025,"0,14","0,0307","3,07","2,61",21.474.950,17
JANTS,07.05.2024,"0,93","2,8000","280,00","252,00",247.086.000,34
JANTS,03.05.2023,"2,20","2,0000","200,00","180,00",176.490.000,30
JANTS,05.04.2022,"1,38","0,9000","90,00","81,00",79.420.500,22
JANTS,06.04.2021,"0,66","6,0000","600,00","510,00",66.600.000,44
JANTS,02.04.2020,"8,77","4,7000","470,00","399,50",52.170.000,66
