Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
AGHOL,28.05.2025,"1,93","5,1327","513,27","436,28",1.250.000.000,19
AGHOL,29.05.2024,"0,85","2,8743","287,43","258,69",700.000.000,2
AGHOL,24.05.2023,"0,89","0,8212","82,12","73,91",200.000.000,1
AGHOL,25.05.2022,"0,70","0,2464","24,64","22,17",60.000.000,5
AGHOL,31.05.2021,"0,71","0,1642","16,42","13,96",40.000.000,A/D
AGHOL,05.02.2021,"0,41","0,1232","12,32","12,32",30.000.000,A/D
