Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
ULKER,19.06.2025,"7,45","8,0698","806,98","685,94",2.979.999.983,32
ULKER,25.05.2021,"3,55","0,8088","80,88","68,75",276.599.990,26
