Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
BIMAS,17.09.2025,"0,76","4,0000","400,00","340,00",2.400.000.000,10
BIMAS,18.06.2025,"0,80","4,0000","400,00","340,00",2.400.000.000,10
BIMAS,18.12.2024,"0,77","4,0000","400,00","360,00",2.428.800.000,11
BIMAS,02.10.2024,"0,83","4,0000","400,00","360,00",2.428.800.000,11
BIMAS,17.07.2024,"0,34","2,0000","200,00","180,00",1.214.400.000,5
BIMAS,20.12.2023,"0,98","3,0000","300,00","270,00",1.821.600.000,11
BIMAS,14.06.2023,"1,21","2,0000","200,00","180,00",1.214.400.000,7
BIMAS,14.12.2022,"1,13","1,5000","150,00","135,00",1.639.440.000,56
BIMAS,15.06.2022,"1,79","1,5000","150,00","135,00",1.639.440.000,56
BIMAS,17.11.2021,"3,01","2,0000","200,00","170,00",1.214.400.000,47
BIMAS,20.05.2021,"3,05","2,0000","200,00","170,00",1.214.400.000,47
BIMAS,08.01.2021,"2,60","2,0000","200,00","170,00",1.214.400.000,47
BIMAS,13.05.2020,"0,97","0,5000","50,00","42,50",303.600.000,25
