Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
ALARK,17.04.2025,"2,72","2,6000","260,00","225,07",1.131.000.000,51
ALARK,30.05.2024,"0,81","0,9686","96,86","89,03",421.341.000,4
ALARK,15.11.2023,"0,23","0,2300","23,00","20,70",100.050.000,1
ALARK,25.08.2023,"0,30","0,3500","35,00","31,50",152.250.000,1
ALARK,01.06.2023,"1,03","0,7000","70,00","63,00",304.500.000,2
ALARK,31.05.2023,"0,49","0,3300","33,00","29,70",96.385.000,1
ALARK,06.05.2022,"0,85","0,2300","23,00","20,70",100.050.000,8
ALARK,11.05.2021,"1,37","0,1380","13,80","11,73",60.030.000,7
ALARK,23.10.2020,"1,26","0,0790","7,90","6,72",34.365.000,9
