Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
KCHOL,10.04.2025,"4,46","6,8800","688,00","584,80",17.446.978.584,1.065
KCHOL,24.04.2024,"3,70","8,0000","800,00","720,00",20.287.184.400,19
KCHOL,27.03.2023,"2,20","1,7330","173,30","155,97",4.394.711.321,6
KCHOL,07.04.2022,"2,27","0,9020","90,20","81,18",2.287.380.041,15
KCHOL,14.04.2021,"3,16","0,5850","58,50","49,73",1.483.500.359,16
KCHOL,06.04.2020,"1,53","0,2095","20,95","17,81",531.270.642,12
