Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
ASTOR,18.08.2025,"1,35","1,5121","151,21","128,53",1.509.063.425,24
ASTOR,31.07.2024,"1,36","1,3205","132,05","118,84",1.317.841.635,20
ASTOR,02.05.2023,"1,07","0,5290","52,90","47,61",527.975.233,26
