Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
FROTO,03.04.2025,"1,64","17,1000","1.710,00","1.453,50",6.000.561.000,12
FROTO,22.11.2024,"1,40","14,2500","1.425,00","1.282,50",5.000.467.500,7
FROTO,08.04.2024,"3,55","43,3000","4.330,00","3.897,00",15.194.403.000,21
FROTO,30.10.2023,"3,51","29,7600","2.976,00","2.678,40",10.443.081.600,38
FROTO,13.03.2023,"2,32","14,2500","1.425,00","1.282,50",5.000.467.500,18
FROTO,30.11.2022,"1,29","5,7000","570,00","513,00",2.000.187.000,23
FROTO,24.03.2022,"4,11","13,0000","1.300,00","1.170,00",4.561.830.000,52
FROTO,19.11.2021,"1,67","3,7700","377,00","320,45",1.322.930.700,32
FROTO,24.03.2021,"3,06","6,4200","642,00","545,70",2.252.842.200,54
FROTO,23.03.2020,"6,68","3,1200","312,00","265,20",1.094.839.200,56
