Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
VAKBN,16.08.2018,"1,41","0,0500","5,00","4,25",125.000.000,3
VAKBN,13.06.2017,"0,73","0,0480","4,80","4,08",120.000.000,4
VAKBN,31.05.2016,"0,90","0,0400","4,00","3,40",100.000.000,5
VAKBN,29.05.2015,"0,86","0,0400","4,00","3,40",100.000.000,6
VAKBN,30.05.2014,"0,78","0,0400","4,00","3,40",100.000.000,6
VAKBN,31.05.2013,"0,65","0,0400","4,00","3,40",100.000.000,7
VAKBN,31.05.2012,"0,49","0,0148","1,48","1,26",37.000.000,3
VAKBN,31.05.2011,"0,38","0,0137","1,37","1,17",34.314.770,3
VAKBN,31.05.2010,"1,42","0,0483","4,83","4,11",120.764.144,10
VAKBN,30.05.2008,"2,77","0,0569","5,69","4,83",142.200.000,14
VAKBN,30.05.2007,"7,96","0,3009","30,09","25,58",384.864.827,48
VAKBN,30.05.2006,"4,46","0,3122","31,22","28,10",399.352.105,65
