Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
SDTTR,23.12.2024,"0,26","0,5612","56,12","50,51",32.548.028,7
SDTTR,25.11.2024,"0,36","0,8418","84,18","75,76",48.822.045,10
SDTTR,13.08.2024,"0,29","0,8418","84,18","75,76",48.822.045,10
SDTTR,24.11.2023,"0,12","0,3871","38,71","34,84",22.454.207,20
SDTTR,27.10.2023,"0,12","0,3871","38,71","34,84",22.454.207,20
SDTTR,16.06.2023,"0,34","0,3871","38,71","34,84",22.454.207,20
