Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
NUHCM,25.03.2025,"3,65","10,1000","1.010,00","858,50",1.517.157.360,66
NUHCM,06.01.2025,"0,96","2,9000","290,00","246,50",435.619.440,19
NUHCM,27.02.2024,"1,78","6,0000","600,00","540,00",901.281.600,32
NUHCM,05.12.2023,"0,29","1,0000","100,00","90,00",150.213.600,7
NUHCM,27.02.2023,"2,82","4,6000","460,00","414,00",690.982.560,32
NUHCM,28.03.2022,"4,46","2,1500","215,00","193,50",322.959.240,50
NUHCM,30.03.2021,"2,46","1,5000","150,00","127,50",225.320.400,40
NUHCM,02.04.2020,"7,53","0,7000","70,00","59,50",105.149.520,65
