Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
PAPIL,17.07.2024,"0,04","0,0582","5,82","5,24",2.000.000,3
PAPIL,09.08.2023,"0,23","0,0582","5,82","5,24",2.000.000,A/D
PAPIL,25.05.2022,"0,06","0,0087","0,87","0,79",300.000,1
PAPIL,11.08.2021,"0,10","0,0145","1,45","1,24",500.000,5
PAPIL,20.04.2020,"0,56","0,0560","5,60","4,76",1.925.399,23
