Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
TOASO,03.04.2025,"6,71","12,0000","1.200,00","1.020,00",6.000.000.000,92
TOASO,04.04.2024,"7,27","20,0000","2.000,00","1.800,00",10.000.000.000,46
TOASO,21.03.2023,"3,28","6,0000","600,00","540,00",3.000.000.000,32
TOASO,22.03.2022,"7,96","6,4000","640,00","576,00",3.200.000.000,98
TOASO,23.03.2021,"8,87","3,0000","300,00","255,00",1.500.000.000,84
TOASO,25.03.2020,"13,25","2,4000","240,00","204,00",1.200.000.000,81
