Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
TLMAN,23.12.2022,"2,60","1,8543","185,43","166,89",38.940.026,63
TLMAN,20.12.2021,"7,26","2,8936","289,36","245,95",60.764.943,104
TLMAN,13.10.2020,"1,75","0,6196","61,96","52,67",13.011.711,25
