Kod,Dagitim_Tarihi,Temettu_Verim,Hisse_Basi_TL,Brut_Oran,Net_Oran,Toplam_Temettu_TL,Dagitma_Orani
KFEIN,20.05.2025,"0,29","0,3038","30,38","25,82",6.000.000,2
KFEIN,01.07.2024,"0,17","0,2025","20,25","18,23",4.000.000,3
KFEIN,24.04.2023,"0,43","0,1013","10,13","9,11",2.000.000,A/D
KFEIN,25.04.2022,"0,25","0,0506","5,06","4,56",1.000.000,14
KFEIN,19.04.2021,"0,19","0,0506","5,06","4,30",1.000.000,3
KFEIN,08.06.2020,"0,31","0,0506","5,06","4,30",1.000.000,6
