FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,EREGL,4058078250,4253828313,3996260462,3835381759,3250585076,3840538185,4514808814,4919757807,4622420568,4838157734,4606594510,4305798900,4411401463,4097959613,4435031138,4561281327,4705268554,4631854506,5259599356,6489281949,5045696006,5335463097,5527585374
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,EREGL,1950340652,2112598060,1979953001,1821972769,981229259,1182946331,1461041992,1736663521,1077430150,719063230,613285235,810722720,1046608418,592584230,712699409,816273511,755355217,864580861,1399478359,1961090246,1860494903,2107302298,2349742506
1AB,Finansal Yatırımlar,Short-Term Financial Investments,EREGL,25987389,26652615,27540238,5253542,1165116,1116158,1092136,738561,26144781,27180943,20161599,37379191,69301535,59456157,61493036,58926700,56569058,36946021,132266569,56292063,42424954,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,EREGL,500585125,503322004,478155984,514998453,588362507,622435286,776424869,854763574,869396324,932750458,938582856,832914211,649086607,605920269,656859112,690141194,712616159,745495829,688888964,939162689,680474498,655858401,639252602
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,EREGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,EREGL,4493353,23231566,5935850,6258829,5740097,6034223,5870032,3892833,3613598,3673868,3341401,3265215,4019950,4021632,4504047,4335041,4261152,4961122,4757785,6944198,6054417,10932524,6436188
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,EREGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,EREGL,1421235888,1418617898,1369668306,1359758634,1533785608,1861741050,2085585811,2168815772,2486188563,2956795296,2819912894,2357057869,2316242665,2343731329,2285149566,2281239009,2415862675,2510253213,2528529043,2795153639,2013718457,2121367463,2107954456
1AG,Canlı Varlıklar,Short-Term Live Assets,EREGL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,EREGL,155435843,169406170,135007082,127139532,140302489,166265136,184793974,154883547,159647151,198693938,211310525,264459695,326142288,492245995,714325968,710365871,760604293,469617458,505678637,730639114,442528777,440002411,424199622
