FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
1A,Dönen Varlıklar,CURRENT ASSETS,TKFEN,1299221910,1155988331,1185491746,1212641032,1269765011,1200567049,1338296138,1153848349,1267092031,1204327738,1253708906,1977445014,1146725315,879962234,877208270,1341883945,890814844,806814473,776962539,964871631,800117779,664348394
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,TKFEN,597956393,439757859,379107285,438483458,409218660,365050311,431494182,379248708,221296348,207496495,223459932,365180493,288946779,99464970,142159156,322769427,335339542,200857800,222982257,311638479,219082670,187874431
1AB,Finansal Yatırımlar,Short-Term Financial Investments,TKFEN,13077414,598789,603255,11048206,9048053,455157,0,3882648,135881815,154864182,166414692,155609171,61691022,78591126,64770765,53849779,2102332,507734,0,81405,0,69878
1AC,Ticari Alacaklar,Short-Term Trade Receivables,TKFEN,237761756,180631026,174686591,274308259,291538342,289049552,264380010,210755635,309382480,260530812,254049784,365250854,241681381,191297894,150355429,293522869,147840562,176641630,162604227,199426170,179067287,143197823
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,TKFEN,12189622,10613960,12716515,10984165,9380635,10042204,10537636,7613196,8538616,6656362,6404881,9630152,6191955,5345811,4937176,8524989,6567142,5991735,7290924,9236981,3529076,6031739
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TKFEN,47394059,156652761,250720043,84986882,161613035,141639968,181628310,139554482,111337061,130671064,110509646,207190850,144276103,144034813,157371800,52952837,56767243,54465856,57135084,66561428,49092581,59626825
1AF,Stoklar,Inventories,TKFEN,227749297,262181023,246050578,273594387,255696576,279822675,330856597,295981128,355410441,337641121,406334162,713984091,292605041,260370435,270541822,483649992,260023992,279567101,240472288,281299157,260569519,193608901
1AG,Canlı Varlıklar,Short-Term Live Assets,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,TKFEN,158755451,101103785,116956555,110151089,124485541,105572856,115475519,113091665,121481638,102915274,83266530,137407271,91340487,80927073,83305951,120444165,78431653,86140920,83727258,93628454,86116161,69386548
1AI,(Ara Toplam),(Subtotal),TKFEN,1294883993,1151539202,1180840823,1203556447,1260980841,1191632723,1334372253,1150127462,1263328400,1200775309,1250439627,1954252883,1126732768,860032123,873442099,1335714058,887072466,804172776,774212038,961872073,797457293,659796144
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,TKFEN,4337917,4449128,4650923,9084586,8784169,8934325,3923886,3720887,3763631,3552428,3269279,23192131,19992547,19930111,3766171,6169887,3742379,2641697,2750501,2999558,2660485,4552250
1AK,Duran Varlıklar,LONG TERM ASSETS,TKFEN,624707893,699313836,696631557,659765092,604027911,636586782,618551802,487249008,492151055,473067388,473913789,1313752562,526318077,505671097,500346715,1240462848,883201715,954986757,979444511,1209697929,1054851918,1068620731
1B,Ticari Alacaklar,Trade Receivables,TKFEN,68739649,78863832,82042054,39475157,13400273,16314585,19415481,13834869,16155420,22948165,23682171,31062673,19473311,31798404,31909247,48877025,36039557,34009269,36574914,44333340,44610836,49361882
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,TKFEN,1543113,1662607,1618552,1746741,1668905,1704941,1732419,1050326,1047158,1079178,2636144,5693572,3198334,3353009,3339495,5563505,3850808,3877629,3912353,4714619,4023212,3998654
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,TKFEN,117718605,176115236,197943782,190364201,186031556,215875298,198544606,139765221,152194701,146914639,148406973,183030269,108305329,110977750,118287428,153041982,124373075,120419640,117822570,154038255,130231143,121328355
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,TKFEN,19055838,18253811,18947233,15582224,13333014,18794719,14445894,7161312,9748423,7474927,8846168,92727952,58395387,55899627,55690367,84751232,57832987,56771719,55423097,61726550,52186437,51501115
1BE,Canlı Varlıklar,Long-Term Live Assets,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,TKFEN,20265441,19228357,18253071,18434620,17409002,17012385,16637360,12583240,12255601,11738800,12406197,89442184,12150585,11113160,10857216,79188269,55559338,58694006,60584714,76458928,66853837,66516939
1BFA,Stoklar,Stoklar,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,TKFEN,7552382,7232441,7982668,8441212,7128573,7356340,7061780,4657680,3933167,3000228,2325613,12923233,6588822,13870528,12914169,19780918,13651634,13264407,12479953,13319634,11095584,9056952
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,TKFEN,338828838,351232149,329996395,346707791,327361284,323156890,316742369,257734217,251968016,240644524,228071108,833026319,241944308,214011852,204572559,756418571,544239510,578287046,604453068,731840578,641951038,652378480
1BGA,Şerefiye,Goodwill,TKFEN,13235737,12973671,11859854,12355941,11215351,9896848,9663163,7165955,6772735,6111950,5547135,16752616,5697787,4859526,4654999,11778864,8559406,22116478,23174812,13208749,11495307,11579583
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,TKFEN,7144572,6270148,5562180,5954364,5722832,5297439,4898870,4119823,3830873,3557461,3165086,9328796,2951198,2439814,2254685,7299068,5024858,5024950,5067037,16448463,14135625,13889014
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,TKFEN,23389349,20505288,16261235,14989573,13942787,16429122,25214683,32691156,27614894,22066453,31611246,27998932,60274393,51743784,48694888,64678702,29060494,54768270,50600951,76663432,63639163,70126920
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,TKFEN,7234369,6976296,6164533,5713267,6814334,4748215,4195177,6485209,6630068,7531064,7215949,11766015,7338621,5603643,7171662,9084713,5010048,7753343,9351042,16945380,14629735,18882835
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,TKFEN,1923929803,1855302166,1882123304,1872406124,1873792922,1837153831,1956847940,1641097356,1759243087,1677395126,1727622695,3291197576,1673043392,1385633330,1377554984,2582346794,1774016560,1761801230,1756407050,2174569560,1854969696,1732969125
1BM,KAYNAKLAR,LIABILITIES,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,TKFEN,1015265213,927348261,988544333,1005625412,1014731561,948904311,1030969813,979052123,1148393903,1057502486,1126138820,1608906150,981706188,815600048,807197513,1343366722,870866416,795445503,734658144,895767816,801268763,797849263
2AA,Finansal Borçlar,Short-Term Financial Loans,TKFEN,66650612,133271680,228484973,280606105,271937344,257712140,273655742,237906613,298433594,284689002,279664081,239637786,162251378,185670478,218392219,347533374,232293529,213640806,201399225,230743480,246212530,271795345
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,TKFEN,533968396,533069069,526180243,459871514,502732831,465534792,503316094,511690107,539398029,510822759,544831259,929455157,509907598,397386005,366556297,539984945,331441893,320666894,287918994,364780381,326722895,286757493
2AAGAB,Diğer Borçlar,Other Short-Term Loans,TKFEN,132455671,44503975,18406042,15839870,8909097,9338884,10516049,8781697,32687694,12264100,11773276,20804986,15901041,17759842,9101072,24828814,25019540,16079373,16088759,18225981,16895228,20060509
2AAGAC,Müşteri Söz. Doğan Yük.,None,TKFEN,90750893,89885348,73565965,58541580,53763068,41122368,45665748,34277016,60722133,55335143,60547809,93051142,55421257,38480881,41456866,74639029,39841545,47358425,38875419,51499598,48126538,50549176
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,TKFEN,90271519,57564291,71827921,79393760,71783282,79519199,107372421,65974388,98941112,104189822,137573860,185835842,144060549,116081733,107320244,154000332,123177383,85094951,94110173,115563105,82292374,92970331
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),TKFEN,17045202,8872876,13742371,18509828,27024506,22922987,27404239,37394219,29770996,9812179,12916058,33951794,35480722,4528327,5173558,30676945,8301395,3730664,4470679,15344504,11742124,5684259
2AAGE,Borç Karşılıkları,Short-Term Provisions,TKFEN,66521766,47327255,46096032,80256703,63109894,58389931,47201641,58206246,58313840,48046359,47122806,59694587,30711650,41645097,38097681,147215586,91261672,80888391,68207709,63522950,45923211,40847676
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,TKFEN,17601155,12853767,10240787,12606052,15471538,14364011,15837877,24821838,30126505,32343123,31709672,46474856,27971993,14047685,21099577,24487696,19529459,27986000,23587186,36087817,23353862,29184475
2AAGG,(Ara Toplam),(Subtotal),TKFEN,1015265213,927348261,988544333,1005625412,1014731561,948904311,1030969813,979052123,1148393903,1057502486,1126138820,1608906150,981706188,815600048,807197513,1343366722,870866416,795445503,734658144,895767816,801268763,797849263
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,TKFEN,88535136,98167894,91958873,84978675,78697367,92933911,91952667,83489104,83442834,83339564,80096323,330014094,151351275,135852970,135594290,160379502,125278169,129696278,161121188,259372857,185568395,121899785
2BA,Finansal Borçlar,Long-Term Financial Loans,TKFEN,45940287,49279702,43925858,36677520,32822511,33170000,30859745,24323073,21446517,19921337,15516357,175681614,105397179,93622360,90742070,101923483,78517079,83455617,116395553,203476703,133696704,77391039
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,TKFEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,TKFEN,11414267,10945372,9488810,9044896,9239401,10512195,13118219,16331536,18638047,17650946,17602104,31586163,1697381,1658008,1733793,3798001,3269982,4227786,5029650,6783493,4903406,4596081
