FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,TTKOM,2187821165,2004119466,1948799155,1787972742,1650107064,1632471165,1759299904,1556158242,1746069151,1472133554,1473699473,2345774877,1686742566,1670294361,1621632903,2361547168,1675808568,1505047179,1598160930,2110537373,1406443805,1420691292,1546492704
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,TTKOM,985239687,755998833,706005769,673769559,446399266,474825492,542886728,576415038,575451427,313383778,313914543,450803224,354823429,348249606,436402027,665366803,428716500,213329512,236797045,267307600,209209594,240929384,349319242
1AB,Finansal Yatırımlar,Short-Term Financial Investments,TTKOM,0,0,0,0,0,0,0,0,228517885,258590232,285034956,429335148,375159685,318425063,286838256,383244414,270296133,282585441,283800307,374009732,25190848,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,TTKOM,917779837,925039749,863243800,713066853,780106465,790762773,820875822,492960159,483636444,450874822,450199870,770399797,481863424,438674429,472776781,653168426,455440829,510058354,584280202,775690394,623888491,650836448,719920975
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,TTKOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881334,63846,212770,1976830,4532830,4796597,6512870,7565774
1AE,Diğer Alacaklar,Short-Term Other Receivables,TTKOM,12436071,13777113,10915248,9202040,11519878,12779816,12519310,8456602,6558325,7059683,8769519,13847427,10137535,12716664,10351382,12780651,24908575,13816933,6559117,101762356,8108380,9892521,10152736
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TTKOM,0,0,0,121438508,0,0,0,71270501,56600198,55033670,66698325,122715780,99792472,92671475,106725115,174372747,136842343,172847655,205415900,269927427,230148069,219038616,206451099
1AF,Stoklar,Inventories,TTKOM,39498898,47139231,40455950,33496038,31892384,32785106,46941593,32946379,38329867,50998119,57671153,74559310,43972159,36818582,39050390,64805146,71371152,97707760,87630425,97486071,69177532,62676854,60549931
1AG,Canlı Varlıklar,Short-Term Live Assets,TTKOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,TTKOM,227190002,256714755,323367670,231973173,375709764,317021585,331875991,369884445,354427115,333954911,289397265,459630205,319046738,421294338,268126705,383474550,271853102,197092683,173472420,196321554,216660940,211399062,172558776
1AI,(Ara Toplam),(Subtotal),TTKOM,2182144496,1998669681,1943988437,1782946170,1645627758,1628174772,1755099443,1551933124,1743521260,1469895216,1471685631,2321290893,1684795443,1668850156,1620270656,2339094072,1659492481,1487651109,1579932246,2087037965,1387180450,1401285755,1526518532
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,TTKOM,5676669,5449785,4810718,5026572,4479307,4296393,4200461,4225118,2547891,2238338,2013842,24483985,1947123,1444205,1362248,22453096,16316087,17396071,18228684,23499407,19263355,19405537,19974171
1AK,Duran Varlıklar,LONG TERM ASSETS,TTKOM,4235656765,4100698126,3814043805,4229022428,3787035776,3657943629,3675476980,2812720288,2588831179,2435611932,2641252688,7653374333,2928293760,2341651166,2743065813,7171284955,5070096928,5342987627,5518519769,7480454915,6136992417,6315893264,6790471964
1B,Ticari Alacaklar,Trade Receivables,TTKOM,37610119,38731384,37362545,27464044,32013955,22368358,20453201,9574702,16448801,10420276,9904431,16336536,9471279,7587284,7483337,11922092,5925314,3938538,1737439,2163091,2098552,4012343,5747686
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,TTKOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194890,1664653,4615341,5157783,7148351,8878350
