FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,27050048450,30993509922,33206707349,31652287989,30412670271,33240220098,31387755969,32426385192,32217622755,32501969626,34517669533,35950197806,36421683276,41175275681,41257246067,40135580466,40986042098,43105125230,46119619658,53233081300,57518948300,58845481367,63267023259,70906148281,81163796508,92105306683,107927410217,181923002692,173590312228,199515150453,217695516911,198929414284,239711339346,317998115402,424679207384,523502241797,487229059324,503308357029,593529535764,629465902640,692589964891,767144044426,759227924925,ISCTR
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),1662303553,1620621865,2389202110,1592286077,1463582041,1663812541,1640063719,2584947644,2505925236,2190840595,2584125650,2431663792,376246183,431154772,473030458,2718479644,3757596863,3705206256,3315050177,3372765882,3385667648,3637894760,4479919455,4181361456,5925144225,8124021628,7779156662,10572195313,10298299105,10885514343,11685032945,14310926827,15776383068,20735595117,19372960752,23275102070,27977938426,27947372463,32185839377,33142493229,38049021341,41347391383,49992313009,ISCTR
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),1662303553,1620621865,2389202110,1592286077,1463582041,1663812541,1640063719,2584947644,2505925236,2190840595,2584125650,2431663792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISCTR
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,354799343,418789864,344842418,271589966,245821159,376228183,333139505,461406545,278189917,200057502,209435432,132686006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISCTR
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,0,0,67999,56254579,69852477,79275406,106153205,163104779,164535768,185048614,195914533,221587341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISCTR
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,1303249241,1197628032,2041517713,1263415540,1146926412,1205490973,1195445049,1959434328,2060135574,1804532488,2178763685,2077382445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISCTR
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,4254968,4203969,2773979,1025992,981993,2817979,5325960,1001992,3063977,1201991,12000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISCTR
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,0,0,0,0,0,0,0,0,0,0,0,0,376246183,431154772,473030458,2718479644,3757596863,3705206256,3315050177,3372765882,3385667648,3637894760,4479919455,4181361456,5925144225,8124021628,7779156662,10572195313,10298299105,10885514343,11685032945,14310926827,15776383068,20735595117,19372960752,23275102070,27977938426,27947372463,32185839377,33142493229,38049021341,41347391383,49992313009,ISCTR
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,0,0,0,0,0,0,0,0,0,0,0,0,141186943,195307538,221101344,444366673,226887301,174923690,256597079,269298192,308138693,276372931,753536358,733986798,2456772630,4424111728,4098264705,6483922219,8074871775,8217564347,8821033537,9651954418,11011933786,14775995269,14929886084,18940825271,23277702067,22008047590,26544117147,26748956901,31497348203,32918989497,41821205814,ISCTR
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,0,0,0,0,0,0,0,0,0,0,0,0,233602251,234333245,230941271,144201920,291000821,210031427,191585565,137668587,111226167,331081521,687872849,409177772,424166727,457337628,450092650,665280202,750903747,771435686,632647102,832125001,778031066,989691812,1397245323,675052190,788281054,765569081,418504498,496964404,565459321,600748279,263129684,ISCTR
