FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,1305446858,1520018453,1541850141,2703907111,1723923952,1600723823,1672783016,2837565824,1983417987,2159389788,2247633614,2953290639,2447799343,2488255343,2466493281,DOHOL
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,373055819,229255665,276819551,620103139,233549756,336193177,329494421,593501202,293693992,576487884,629945060,916958893,681867621,734902769,279139571,DOHOL
1AB,Finansal Yatırımlar,Short-Term Financial Investments,427882566,508832692,506094674,883519218,599912861,630817330,729994166,1089027340,842073641,693386528,720622716,959738950,804880834,819301122,1325064187,DOHOL
1AC,Ticari Alacaklar,Short-Term Trade Receivables,152870733,236622153,211896066,448383995,217428679,164657281,147534857,264920773,211916113,187268840,210808542,264231215,177831193,199084255,196070137,DOHOL
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,101816279,99596439,90116052,161879244,117514410,98739988,131706228,233846117,187787043,197284258,190825247,288209681,267795563,287355949,289272924,DOHOL
1AE,Diğer Alacaklar,Short-Term Other Receivables,5769291,8758223,13201524,18860826,3399556,5348788,11316050,27528424,20088797,24914628,24906253,19294419,10367688,11845204,11147022,DOHOL
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,728860,0,0,0,0,0,0,0,0,0,0,0,DOHOL
1AF,Stoklar,Inventories,188145054,346716153,260032287,412403427,156215147,124680629,164364144,396084845,278613976,308877188,268971433,263025425,263836659,188002833,161476374,DOHOL
1AG,Canlı Varlıklar,Short-Term Live Assets,498721,903998,886638,2363816,1329334,1453675,1281157,2885631,1538573,1126126,352227,391686,754750,962740,2155208,DOHOL
1AH,Diğer Dönen Varlıklar,Other Current Assets,55408395,89333130,82887113,155664585,137380315,173820198,157091993,229771492,147705852,170044336,201202136,241440370,240465035,204456978,202167858,DOHOL
1AI,(Ara Toplam),(Subtotal),1305446858,1520018453,1441933905,2703907111,1466730058,1535711066,1672783016,2837565824,1983417987,2159389788,2247633614,2953290639,2447799343,2445911852,2466493281,DOHOL
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,99916236,0,257193894,65012756,0,0,0,0,0,0,0,42343491,0,DOHOL
1AK,Duran Varlıklar,LONG TERM ASSETS,518041259,609195454,545446661,1770018044,593286620,492115727,493800809,1735829007,1260892510,1341109554,1593421400,2003291452,1611742996,1581468688,1615729938,DOHOL
1B,Ticari Alacaklar,Trade Receivables,1562997,969481,643862,1128123,0,6803,0,0,0,0,0,0,0,0,0,DOHOL
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOHOL
1BB,Diğer Alacaklar,Other Receivables,0,0,0,0,0,0,1554510,2356220,1556537,1556410,1626446,10665444,9787412,10453828,8225561,DOHOL
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOHOL
1BC,Finansal Yatırımlar,Financial Investments,49265728,50896989,51161001,80790519,48868552,45362897,44216692,91563207,69070944,62203507,76999020,49706050,40193003,45581075,43409369,DOHOL
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,18425887,27147154,24865002,73600790,29148782,28164564,30195836,110598075,69325740,70454732,65259212,62589094,47563706,49206956,51301970,DOHOL
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOHOL
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,125505507,113807470,79960005,232310752,136529149,106445751,100920404,267012034,194944811,206727018,216188137,254083051,208332888,211354327,216834706,DOHOL
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOHOL
1BFAA,Kullanım Hakkı Varlıkları,None,25700685,27352169,25703020,100349028,21265961,19121749,19876796,56118482,39023980,42753875,41874877,64083157,48111366,50918558,48433851,DOHOL
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,158772258,184184730,177181397,598028080,152560273,128048404,135616204,573851983,444095493,487095754,594536152,794148103,625350468,597820855,619111049,DOHOL
1BGA,Şerefiye,Goodwill,9428036,24678936,22203740,63336590,22711671,16765586,15824437,60717466,44121866,47042387,127661376,65942041,54055168,50996348,52267205,DOHOL
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,93518328,138240591,125948922,516475123,119708721,97777971,92863378,460875207,332130221,348779607,401331120,643750171,546102443,537067773,530633982,DOHOL
