FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,25628670,18314461,18719498,34068546,21273830,17892894,19625757,41962714,29601652,21532387,47676413,57231974,52680230,46076222,31626873,MPARK
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),2683057,2452880,4079161,4492740,9243842,5140590,3858237,11202456,7334372,5026592,8398332,12251279,19598242,6355834,6674298,MPARK
2AAGE,Borç Karşılıkları,Short-Term Provisions,5191394,3628755,3691280,6657591,5343656,3930753,4268687,6142354,5268214,5661192,5950501,8031670,7462712,7401689,6795794,MPARK
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,9040475,6967780,7311841,14556801,12006118,11256803,12273208,16933774,16540459,16471128,14723323,18490961,23476953,17656082,15392313,MPARK
2AAGG,(Ara Toplam),(Subtotal),255520306,242465581,236207437,425370009,290948780,215638201,260823999,435073768,299875740,316672738,384488203,467689279,371018986,309797199,301157387,MPARK
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,112926723,86523899,70900761,253632127,109267295,79264465,76739007,324865604,248370620,232048392,269982944,375439774,394156823,597170454,646100294,MPARK
2BA,Finansal Borçlar,Long-Term Financial Loans,93763153,69164180,59257874,121942451,86286078,62794245,60972034,146539352,108385616,76773543,81096643,138960722,194281791,395175297,427104657,MPARK
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2BBA,Ticari Borçlar,Long-Term Trade Payables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2BBB,Diğer Borçlar,Other Long-Term Loans,6087292,5137196,4484182,25868887,15058006,10890891,10131736,13327456,8253472,10060787,29215417,34501601,26984963,26732375,26627787,MPARK
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,1071913,703117,489864,6033739,3506603,2120017,1608656,1648893,712351,390935,74892,37369,27806,26449,25324,MPARK
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,3197804,2765556,2807984,5402893,4251243,3002791,3675272,5523392,5152457,5386297,5599210,7226260,6995113,7117858,6706428,MPARK
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,8806561,8753849,3860857,94384155,165365,456520,351309,157826512,125866725,139436830,153996782,194713822,165867150,168118476,185636099,MPARK
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2N,Özkaynaklar,SHAREHOLDERS EQUITY,58905718,67210719,79738035,528347213,97704166,91701766,95798257,631161631,468757034,534340146,620356527,835168040,719426649,746867860,811588900,MPARK
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,47961946,68782247,80428092,528062140,96905013,89657397,91175673,620523782,461464401,518063025,599913113,802992032,690251654,715224252,773905045,MPARK
2OA,Ödenmiş Sermaye,Share Capital,14187404,12463724,11213663,11105968,10842150,8041756,7585393,7054182,6432092,6326140,6086067,5404399,5048726,4797802,4593666,MPARK
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0,0,29978385,141249306,28985189,21498670,20278641,129532845,94128297,100358823,105162115,135569057,111131055,111951327,115231881,MPARK
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0,0,0,0,0,0,0,0,0,0,0,0,0,-1004134,-1286002,MPARK
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,699697,2930132,8677293,3447096,569372,422310,413330,3207183,2330569,2484849,2603759,3356637,2753920,2775593,2853089,MPARK
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),-13365022,-9334627,-14439444,39184444,76099032,55540093,40232407,247861471,341256817,363624325,377605412,390874968,471978131,470216365,483420816,MPARK
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),11595935,34557616,55978730,253128176,12757377,36023557,59104755,221752585,21116635,54467042,118239187,184895203,30918625,57381595,97996133,MPARK
