FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,25083872000,25549214000,32948561000,25151523000,27560904000,25255847000,31304460000,23785134000,31069808000,36218045000,36794456000,33412503000,33584323000,30763811000,42075853000,41366447000,48203825000,55181502000,44666176000,41676508000,58304823000,44280061000,45050805000,55166589000,65504197000,72890051000,76902337000,123113150000,130292028000,146899805000,148729164000,137893408000,184138762000,190089392000,316619431000,328445091000,371040102000,350411026000,361787302000,359995256000,547811877000,529760307000,569655583000,GARAN
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),2320949000,2130048000,2738487000,1848467000,2251221000,1839807000,1585922000,3506428000,3015093000,2541402000,2555042000,2650150000,534623000,411712000,690241000,4444636000,4521462000,4754501000,4652250000,4890878000,6349103000,6756347000,7369529000,7507953000,7480695000,6291105000,5758751000,6270163000,1607008000,1673863000,2376778000,2465432000,2763092000,4149112000,6302617000,5248157000,6076618000,4366967000,4180699000,9366226000,6044243000,6961032000,9028439000,GARAN
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),2121030000,1932928000,2542217000,1650349000,2051795000,1839807000,1585922000,3506428000,3015093000,2522511000,2555042000,2650150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,105557000,68518000,37676000,88444000,187360000,63259000,92892000,71437000,299673000,380638000,84244000,801900000,0,0,0,0,0,0,0,0,0,0,0,2595599000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,58233000,64756000,47923000,45474000,31708000,32060000,31036000,21137000,24610000,20146000,26950000,28116000,0,0,0,0,0,0,0,0,0,0,0,83107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,1931532000,1772500000,2420832000,1483489000,1829223000,1739009000,1456483000,3390985000,2683401000,2102199000,2440150000,1814316000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,25708000,27154000,35786000,32942000,3504000,5479000,5511000,22869000,7409000,19528000,3698000,5818000,0,0,0,0,0,0,0,0,0,0,0,4829247000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,199919000,197120000,196270000,198118000,199426000,0,0,0,0,18891000,0,0,534623000,411712000,690241000,4444636000,4521462000,4754501000,4652250000,4890878000,6349103000,6756347000,7369529000,7507953000,7480695000,6291105000,5758751000,6270163000,1607008000,1673863000,2376778000,2465432000,2763092000,4149112000,6302617000,5248157000,6076618000,4366967000,4180699000,9366226000,6044243000,6961032000,9028439000,GARAN
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,0,0,0,0,0,0,0,0,0,0,0,0,392272000,287445000,566513000,234569000,260339000,427369000,715228000,431163000,1673507000,2085408000,2455790000,0,2580606000,1297664000,840273000,1195978000,902788000,955310000,1770152000,1715700000,2070418000,3342303000,5317871000,4036438000,4797486000,2799588000,2894753000,7863024000,4196088000,5329778000,3867170000,GARAN
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,0,0,0,0,0,0,0,0,0,0,0,0,132793000,111165000,112670000,111512000,50749000,47358000,49270000,60506000,55833000,46428000,59109000,0,132244000,166154000,131717000,136964000,131149000,146783000,131880000,154792000,162244000,182444000,201255000,206855000,232420000,246674000,270434000,271681000,330777000,336747000,477122000,GARAN
1ABC,2.2.3 Krediler,2.2.3 Loans,199919000,197120000,196270000,198118000,199426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1ABD,2.2.4 Diğer Menkul Değerler,2.2.4 Other Marketable Securities,0,0,0,0,0,0,0,0,0,18891000,0,0,9558000,13102000,11058000,4098555000,4210374000,4279774000,3887752000,4399209000,4619763000,4624511000,4854630000,0,4767845000,4827287000,4786761000,4937221000,573071000,571770000,474746000,594940000,530430000,624365000,783491000,1004864000,1046712000,1320705000,1015512000,1231521000,1517378000,1294507000,4684147000,GARAN
1AC,III. BANKALAR,III. BANKS,10270751000,8285418000,12424070000,11847495000,14007622000,10713230000,9069061000,12318926000,10322598000,8282120000,8878704000,14318473000,12672305000,19377763000,36856279000,16253511000,21174431000,20180364000,13759643000,11869488000,6373331000,15103351000,16310368000,21683409000,20164219000,18717366000,15007569000,44161226000,48468205000,63706489000,72853852000,23106430000,20512103000,48620199000,53527006000,65425020000,69273559000,112225256000,99306705000,99736978000,122851601000,159177861000,131693351000,GARAN
1AD,IV. PARA PİYASALARINDAN ALACAKLAR,IV. RECEIVABLES FROM MONEY MARKETS,0,0,120201000,61069000,7010000,200996000,299204000,351691000,174044000,0,0,0,0,0,0,0,225466000,0,10679688000,10376446000,1306215000,215693000,5744989000,8243300000,267237000,11780010000,10412785000,33451159000,17438824000,23516395000,36433249000,69733029000,65049395000,119593695000,22580592000,38539074000,13338433000,26991342000,62858059000,20243465000,50111127000,13925165000,14525284000,GARAN
1ADA,4.1 Bankalararası Para Piyasasından Alacaklar,4.1 Interbank Money Market Placements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1ADB,4.2 İMKB Takasbank Piyasasından Alacaklar,4.2 Receivables From Istanbul Stock Exchange Money Market,0,0,120201000,61069000,7010000,200996000,299204000,351691000,174044000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1ADC,4.3 Ters Repo İşlemlerinden Alacaklar,4.3 Receivables From Reverse Repurchase Agreements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AE,V. SATILMAYA HAZIR FİNANSAL VARLIKLAR (Net),V.AVAILABLE VAILABLE FOR SALE FINANCIAL ASSETS (Net),19588525000,19706301000,19076017000,20519801000,20299599000,19762637000,19340074000,19912569000,21215483000,20663233000,21470827000,22744702000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AEA,5.1 Sermayede Payı Temsil Eden Menkul Değerler,5.1 Securities Representing Share in Equity,100216000,101757000,97615000,334569000,344007000,169078000,180020000,194907000,213918000,220129000,233142000,258341000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AEB,5.2 Devlet Borçlanma Senetleri,5.2 Government Debt Securities,17466027000,17887559000,17517992000,18761559000,18594678000,18214692000,17741800000,18011130000,19299229000,19285744000,20391420000,22144398000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AEC,5.3 Diğer Menkul Değerler,5.3 Other Marketable Securities,2022282000,1716985000,1460410000,1423673000,1360914000,1378867000,1418254000,1706532000,1702336000,1157360000,846265000,341963000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AF,VI. KREDİLER,VI. LOANS,145121425000,149078647000,159579227000,159139923000,163989598000,168319713000,172133118000,186048228000,195913261000,201495235000,202056656000,209679877000,217418161000,230761637000,250889207000,230611464000,247179953000,240000701000,236723730000,251165373000,270020307000,298954842000,314396192000,315084523000,333511454000,351480081000,371314144000,424854600000,491238751000,553047913000,602238697000,669400786000,737719590000,884238113000,966427681000,1066130856000,1222326159000,1309100992000,1437075398000,1562025645000,1705622001000,1895684698000,2084878020000,GARAN
1AFA,6.1 Krediler,6.1 Short Term,144473387000,148385499000,158860757000,158303596000,163131362000,167318475000,171080231000,185042945000,194851017000,200460821000,201037348000,208631000000,217418161000,230761637000,250889207000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066130856000,0,0,1437075398000,1562025645000,1705622001000,1895684698000,2084878020000,GARAN
1AFB,6.1.1 Bankanın Dahil Olduğu Risk Grubuna Kullandırılan Krediler,6.1.1 Loans Granted To The Bank's Risk Group,2821776000,2950410000,2838701000,3132513000,2750438000,2796929000,2632298000,2964089000,3039020000,3210877000,3171624000,3438463000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AFC,6.1.2 Diğer,6.1.2 Other,141651611000,145435089000,156022056000,155171083000,160380924000,164521546000,168447933000,182078856000,191811997000,197249944000,197865724000,205192537000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AFD,6.2 Takipteki Krediler,6.3 Loans Under Follow-Up,3413624000,3662377000,3756369000,4404025000,4477559000,4841052000,5328320000,5272774000,5368437000,5290468000,5445869000,5408114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AFE,6.3 Özel Karşılıklar (-),6.4 Specific Provisions (-),2765586000,2969229000,3037899000,3567698000,3619323000,3839814000,4275433000,4267491000,4306193000,4256054000,4426561000,4359237000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AG,VII. FAKTORİNG ALACAKLARI,VII. FACTORING RECEIVABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AH,VIII. VADEYE KADAR ELDE TUTULACAK YATIRIMLAR (Net),VIII. HELD TO MATURITY INVESTMENT (Net),19558499000,20735216000,21752920000,21755812000,21109676000,21549906000,21758116000,23640184000,23657581000,23357952000,23561222000,24885343000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AHA,8.1 Devlet Borçlanma Senetleri,8.1 Government Debt Securities,16495443000,17040917000,17632975000,17776978000,17209766000,17540641000,17926786000,19108804000,18929877000,18975890000,19180750000,20232556000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
1AHB,8.2 Diğer Menkul Değerler,8.2 Other Marketable Securities,3063056000,3694299000,4119945000,3978834000,3899910000,4009265000,3831330000,4531380000,4727704000,4382062000,4380472000,4652787000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GARAN
