FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,SOKM,871548,10381850,19739629,41815458,15034009,33188194,51585007,33713849,22556672,53635465,86441380,436176397,97866848,113562255,392136430,342810265,13283617,20395863,1212826,-40224110,-9012022,-25034708,-1428593
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,SOKM,-701,-1801650,-3536608,-3123194,-3725914,-8576476,-13330697,2019312,-4642560,-12641081,27013669,-17636821,-43020391,-37355517,-107376587,-85327049,-13740797,-13362019,7449100,42560884,-840495,5752489,-11841406
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),SOKM,-32382,-52006,-70941,-110845,-40200,0,0,-1910055,-6251935,-13405666,-8001128,-23108905,-14505260,-14850335,-35607963,-36958294,3943385,0,0,0,0,0,0
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,SOKM,31681,-1749644,-3465668,-3012349,-3685714,-8576476,-13330697,3929367,1609375,764584,35014798,5472084,-28515131,-22505182,-71768623,-48368755,-17684182,-13362019,7449100,42560884,-840495,5752489,-11841406
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,SOKM,870847,8580201,16203020,38692265,11308095,24611717,38254310,35733161,17914112,40994383,113455050,418539576,54846457,76206738,284759843,257483216,-457180,7033845,8661927,2336774,-9852517,-19282219,-13269998
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,SOKM,870847,8580201,16203020,38692265,11308095,24611717,38254310,35733161,17914112,40994383,113455050,418539576,54846457,76206738,284759843,257483216,-457180,7033845,8661927,2336774,-9852517,-19282219,-13269998
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
