FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,I. NAKİT DEĞERLER VE MERKEZ BANKASI,I. CASH AND BALANCES WITH THE CENTRAL BANK OF TURKEY,24117151000,23364486000,29055697000,25473423000,31998696000,35084041000,34663603000,35012272000,33264180000,39823612000,34900608000,35363166000,36130029000,43359039000,33931152000,30113792000,36637176000,32791544000,35728883000,29893917000,44686810000,42732155000,43109503000,47676314000,50099906000,51603183000,71501476000,91886725000,96112894000,136718735000,143595464000,127532743000,131950015000,172765380000,240235714000,297399525000,282686840000,346302403000,316689321000,456549119000,446229551000,429829704000,455676433000,AKBNK
1AA,II. GERÇEĞE UYGUN DEĞ./ZAR. YANS.(Net),II.FINANCIAL ASSETS WHERE FAIR VAL. Chng. (Net),2156260000,2344585000,3650375000,2727912000,3477324000,4710231000,4467566000,7725711000,7676143000,6998746000,7587228000,8277507000,111773000,121170000,190200000,6833795000,6994414000,7170201000,6395641000,7240109000,7731849000,7678907000,7922512000,9021102000,9007380000,9108276000,9077844000,9807583000,2277424000,2697944000,2970394000,3135928000,3874727000,4472377000,4256665000,6701586000,8190184000,10767828000,11813585000,13422216000,22265394000,23738071000,27467802000,AKBNK
1AAA,2.1 Alım Satım Amaçlı Finansal Varlıklar,2.1 Trading Financial Assets (Net),2156260000,2344585000,3650375000,2727912000,3477324000,4710231000,4467566000,7725711000,7676143000,6998746000,7587228000,8277507000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKBNK
1AAB,2.1.1 Devlet Borçlanma Senetleri,2.1.1 Public Sector Debt Securities,5228000,4593000,1900000,1655000,305000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179943000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKBNK
1AAC,2.1.2 Sermayede Payı Temsil Eden Menkul Değerler,2.1.2 Share Certificates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158714000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKBNK
1AAD,2.1.3 Alım Satım Amaçlı Türev Finansal Varlıklar,2.1.3 Trading Derivative Financial Assets,2151032000,2336852000,3621518000,2716299000,3469707000,4695513000,4451319000,7725711000,7674015000,6989354000,7587228000,8277507000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKBNK
1AAE,2.1.4 Diğer Menkul Değerler,2.1.4 Other Marketable Securities,0,3140000,26957000,9958000,7312000,14718000,16247000,0,2128000,9392000,0,0,0,0,0,0,0,0,0,0,0,0,0,8682445000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AKBNK
1AB,2.2 Gerçeğe Uyg. Değ. Kar/Zarara Yans.,2.2 Reclassed as Financial Assets Designated at Fair Value,0,0,0,0,0,0,0,0,0,0,0,0,111773000,121170000,190200000,6833795000,6994414000,7170201000,6395641000,7240109000,7731849000,7678907000,7922512000,9021102000,9007380000,9108276000,9077844000,9807583000,2277424000,2697944000,2970394000,3135928000,3874727000,4472377000,4256665000,6701586000,8190184000,10767828000,11813585000,13422216000,22265394000,23738071000,27467802000,AKBNK
1ABA,2.2.1 Devlet Borçlanma Senetleri,2.2.1 Government Debt Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262864000,248329000,110809000,169036000,0,123326000,154143000,135610000,470711000,212694000,213153000,479853000,311666000,908311000,757751000,445301000,708654000,1017716000,1974463000,2357001000,3086396000,10705462000,11522321000,15267321000,AKBNK
1ABB,2.2.2 Sermayede Payı Temsil Eden Menkul Değerler,2.2.2 Securities Representing Share in Equity,0,0,0,0,0,0,0,0,0,0,0,0,92924000,118859000,177503000,137461000,173245000,196940000,191445000,220294000,208681000,258737000,303422000,0,172404000,198498000,193418000,282498000,317466000,320829000,470777000,555909000,617946000,877556000,901089000,1096752000,1289361000,1232937000,1585618000,1884417000,2431973000,2386932000,2600120000,AKBNK
