FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2015/3,2015/6,2015/9,2015/12,2016/3,2016/6,2016/9,2016/12,2017/3,2017/6,2017/9,2017/12,2018/3,2018/6,2018/9,2018/12,2019/3,2019/6,2019/9,2019/12,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1ABC,2.2.3 Krediler,2.2.3 Loans,18906000,16381000,14412000,11657000,9927000,8907000,8235000,7086000,5928000,5018000,4349000,3681000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1ABD,2.2.4 Diğer Menkul Değerler,2.2.4 Other Marketable Securities,0,0,0,0,0,0,0,0,0,0,0,0,2736000,2645000,2774000,0,0,0,0,0,0,0,0,35638000,37877000,43609000,42434000,61956000,69625000,70337000,70525000,83211000,92497000,131309000,134830000,164711000,192871000,184158000,199932000,237566000,281998000,300633000,300431000,SKBNK
1AC,III. BANKALAR,III. BANKS,161550000,79456000,112491000,86606000,103291000,366591000,131075000,75747000,65312000,117315000,133403000,396868000,379828000,188727000,2048709000,116794000,647652000,403611000,298897000,465908000,304774000,456286000,288112000,1267159000,1154333000,583278000,1102485000,1232932000,1212351000,1808222000,1427386000,1102487000,808824000,1461091000,1248245000,1637125000,972398000,975766000,950719000,1177698000,1366917000,1162742000,1186919000,SKBNK
1AD,IV. PARA PİYASALARINDAN ALACAKLAR,IV. RECEIVABLES FROM MONEY MARKETS,10111000,15213000,4451000,0,0,1050000,0,0,4551000,817985000,963181000,2433052000,562032000,1286961000,137432000,45365000,15649000,501000,0,0,3751000,9697000,370000,1301000,0,0,25014000,0,550191000,0,1859410000,78603000,1343768000,399021000,1441261000,5773661000,2618115000,3698625000,2704957000,14008038000,2681505000,8010282000,15522939000,SKBNK
1ADA,4.1 Bankalararası Para Piyasasından Alacaklar,4.1 Interbank Money Market Placements,0,0,0,0,0,0,0,0,0,817985000,960829000,2433052000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1ADB,4.2 İMKB Takasbank Piyasasından Alacaklar,4.2 Receivables From Istanbul Stock Exchange Money Market,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1ADC,4.3 Ters Repo İşlemlerinden Alacaklar,4.3 Receivables From Reverse Repurchase Agreements,10111000,15213000,4451000,0,0,1050000,0,0,4551000,0,2352000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AE,V. SATILMAYA HAZIR FİNANSAL VARLIKLAR (Net),V.AVAILABLE VAILABLE FOR SALE FINANCIAL ASSETS (Net),1234368000,1343391000,1436860000,1723768000,1641235000,1409902000,1412067000,1412165000,1236877000,1279818000,1267375000,1393895000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AEA,5.1 Sermayede Payı Temsil Eden Menkul Değerler,5.1 Securities Representing Share in Equity,0,0,0,0,0,0,0,15669000,0,0,0,16862000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AEB,5.2 Devlet Borçlanma Senetleri,5.2 Government Debt Securities,1227644000,1336155000,1429624000,1716532000,1633996000,1400263000,1402428000,1396496000,1229638000,1202775000,1188290000,1316114000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AEC,5.3 Diğer Menkul Değerler,5.3 Other Marketable Securities,6724000,7236000,7236000,7236000,7239000,9639000,9639000,0,7239000,77043000,79085000,60919000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AF,VI. KREDİLER,VI. LOANS,14891261000,15455050000,16506359000,16725908000,15868719000,16135532000,16260658000,17605982000,16753464000,18543307000,19425124000,20672599000,21451000000,22154038000,22730697000,22056150000,22826863000,21911940000,21073926000,21821692000,21594428000,23062535000,24971947000,25926705000,26477127000,27201261000,27346030000,30764344000,32359848000,33685737000,35306346000,35770986000,36128289000,38375954000,39541439000,42568781000,46338576000,51755743000,55794890000,59887210000,72247069000,84095963000,97717077000,SKBNK
1AFA,6.1 Krediler,6.1 Short Term,14520266000,15023445000,16083622000,16261169000,15333757000,15618212000,15690244000,17022283000,16199979000,18033475000,18980534000,20215821000,21451000000,22154038000,22730697000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42568781000,0,0,0,59887210000,72247069000,84095963000,97717077000,SKBNK
1AFB,6.1.1 Bankanın Dahil Olduğu Risk Grubuna Kullandırılan Krediler,6.1.1 Loans Granted To The Bank's Risk Group,383028000,386534000,437905000,424574000,420097000,432846000,423157000,497522000,529686000,521171000,542241000,578219000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AFC,6.1.2 Diğer,6.1.2 Other,14137238000,14636911000,15645717000,15836595000,14913660000,15185366000,15267087000,16524761000,15670293000,17512304000,18438293000,19637602000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AFD,6.2 Takipteki Krediler,6.3 Loans Under Follow-Up,732712000,851237000,915576000,1009425000,1182980000,1029695000,1044392000,1079118000,1144297000,1086390000,1113921000,1016788000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AFE,6.3 Özel Karşılıklar (-),6.4 Specific Provisions (-),361717000,419632000,492839000,544686000,648018000,512375000,473978000,495419000,590812000,576558000,669331000,560010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AG,VII. FAKTORİNG ALACAKLARI,VII. FACTORING RECEIVABLES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AH,VIII. VADEYE KADAR ELDE TUTULACAK YATIRIMLAR (Net),VIII. HELD TO MATURITY INVESTMENT (Net),1223197000,1246267000,1249521000,1268303000,1292954000,1178597000,1059788000,1061618000,1090361000,1575311000,1465643000,1351143000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
1AHA,8.1 Devlet Borçlanma Senetleri,8.1 Government Debt Securities,1223197000,1246267000,1249521000,1268303000,1292954000,1178597000,1059788000,1061618000,1090361000,1216714000,1093639000,959580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SKBNK
