FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,690113615,643308111,607527396,1017421845,685398899,518436968,434548640,591834507,397003797,425222029,450744299,466448831,444894182,452221092,IPEKE
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,360043168,198170974,52966726,46116539,73653780,26816070,41680158,52390095,50909175,43340459,106746435,33458908,76506316,130542369,IPEKE
1AB,Finansal Yatırımlar,Short-Term Financial Investments,277477478,379713625,502118898,858564382,497315690,433967437,328714322,434546832,283151288,256716253,264751203,311262020,273203070,228212090,IPEKE
1AC,Ticari Alacaklar,Short-Term Trade Receivables,2395745,2258588,1049046,3886985,2670290,2900354,2829395,4106940,2473256,1595242,1297594,2849984,2702115,1450126,IPEKE
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1AE,Diğer Alacaklar,Short-Term Other Receivables,5345586,17464982,6570254,7959695,34630130,4309460,3369358,7520523,2407617,1647940,650479,174530,7299286,5525690,IPEKE
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1AF,Stoklar,Inventories,37644764,42844099,42367171,75365311,57743983,46146365,51807044,76159749,52692805,54179770,67043809,100443473,50436093,55001331,IPEKE
1AG,Canlı Varlıklar,Short-Term Live Assets,942476,908672,903078,2647448,1068856,931518,934879,2290709,0,0,0,0,0,0,IPEKE
1AH,Diğer Dönen Varlıklar,Other Current Assets,6264398,1947170,1552223,22855541,18316170,3365765,5213484,14819659,5369656,11839424,10254779,18259917,8157939,4703861,IPEKE
1AI,(Ara Toplam),(Subtotal),690113615,643308111,607527396,1017395900,685398899,518436968,434548640,591834507,397003797,369319088,450744299,466448831,418304818,425435467,IPEKE
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,25945,0,0,0,0,0,55902941,0,0,26589363,26785625,IPEKE
1AK,Duran Varlıklar,LONG TERM ASSETS,214338187,190810298,141406364,581487401,148243780,143643427,213555094,734284382,539583998,546437223,572729876,696515385,596227490,624975636,IPEKE
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1BB,Diğer Alacaklar,Other Receivables,12228595,213943,196474,315396,189131,20185391,24307008,38275254,28406578,33757576,43550472,11828190,8096327,1546302,IPEKE
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1BC,Finansal Yatırımlar,Financial Investments,59294439,52403513,15348667,97606716,15075152,10296178,15140123,116104919,91401978,94362101,78215373,91365573,79074899,72938808,IPEKE
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,15021721,13102136,11703365,88772101,5794880,4260677,3983920,43099931,31033435,32782885,34032795,86325035,49077225,49029071,IPEKE
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
1BFAA,Kullanım Hakkı Varlıkları,None,2178743,1614005,1177926,3276105,802228,444576,304674,512965,145160,86939,82615,88899,60713,71259,IPEKE
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,98345143,90645961,84721244,330440530,90450547,73114119,79913513,329659662,247084307,242516596,280140452,356621148,335304028,380698074,IPEKE
1BGA,Şerefiye,Goodwill,765984,672921,605430,5085042,585372,434178,409538,4663240,3388677,3612982,3785885,0,0,0,IPEKE
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,261875,228441,193401,438661,330106,319448,261394,625269,2106754,1875519,1497842,1292716,993929,830018,IPEKE
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,17052545,15175060,14283882,0,17619425,16870419,17571720,75360666,42705079,67755289,60862605,66319522,56668790,60252760,IPEKE
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,9189143,16754317,13175975,55552851,17396940,17718442,71663203,125982476,93312031,69687338,70561837,82674300,66951580,59609343,IPEKE
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,904451802,834118408,748933760,1598909246,833642679,662080396,648103734,1326118889,936587795,971659252,1023474175,1162964216,1041121672,1077196728,IPEKE
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,78996147,68761518,71004954,101740017,101867593,84509811,73607781,102336418,81549426,66311726,58250947,71918774,69368235,64641770,IPEKE
2AA,Finansal Borçlar,Short-Term Financial Loans,1604460,1443438,1341304,1436739,13389393,14505675,13896959,18914053,14501,19614,14774,693729,544488,526595,IPEKE
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,11354452,12041830,10598692,15140455,12406164,6045629,10531612,16045173,12227396,7015657,8828494,7419783,8591811,19284092,IPEKE
2AAGAB,Diğer Borçlar,Other Short-Term Loans,1233062,1253100,986842,8655349,22389331,24158124,4480967,2976844,10894644,18232250,2192818,5898431,2624010,5855889,IPEKE
2AAGAC,Müşteri Söz. Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,430184,298896,145698,181241,209560,537851,82331,357631,363843,63007,4059007,1044704,2291053,51542,IPEKE
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),20637501,13313922,15264364,3426489,8950062,9740429,10010027,10095994,14179590,64497,2583018,542076,926872,2466191,IPEKE
2AAGE,Borç Karşılıkları,Short-Term Provisions,40592423,37705285,39894837,68338672,40734477,24963896,30555458,46492627,38854116,32462194,35361954,49289436,49079709,31277265,IPEKE
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,3144065,2705046,2773217,4561072,3788605,4558207,4050427,7454097,5015335,4848367,5210883,7030615,5310292,5180195,IPEKE
2AAGG,(Ara Toplam),(Subtotal),78996147,68761518,71004954,101740017,101867593,84509811,73607781,102336418,81549426,62705586,58250947,71918774,69368235,64641770,IPEKE
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,3606140,0,0,0,0,IPEKE
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,30833498,28843776,27072353,71438287,30868990,27809011,26609276,32435939,30164082,31890237,32054823,36185001,36014506,35838106,IPEKE
2BA,Finansal Borçlar,Long-Term Financial Loans,819245,392358,42098,533152,159372,46657,85102,103115,18242,52546,50552,59783,37083,23962,IPEKE
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2BBA,Ticari Borçlar,Long-Term Trade Payables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2BBB,Diğer Borçlar,Other Long-Term Loans,5575204,5483902,5775465,9031764,5479263,5481337,5481368,7913893,5481332,5481355,5476369,6384983,5481330,0,IPEKE
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,12616,11084,9972,16389,20638,15308,14439,19396,0,1034,995,1122,370,352,IPEKE
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,24426433,22956433,21244819,35238682,25209717,22265710,21028367,23291445,21850320,26355302,26246296,29739113,30495722,35813792,IPEKE
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0,0,0,26618300,0,0,0,1108090,2814189,0,280611,0,0,0,IPEKE
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2N,Özkaynaklar,SHAREHOLDERS EQUITY,794622157,736513115,650856453,1425730942,700906097,549761573,547886677,1191346533,824874287,873457289,933168405,1054860441,935738931,976716852,IPEKE
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,160091520,148156356,148489821,378218877,150807180,126872893,121749471,332757898,230311777,244833679,250333738,281454243,255778711,255067492,IPEKE
2OA,Ödenmiş Sermaye,Share Capital,17716507,15564063,14003051,13868567,13539124,10042134,9472253,8808903,8032068,7899761,7599971,7350257,6866524,6525253,IPEKE
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,-19798883,-12978554,-12242033,-2434277,-2955299,-3433236,-3597572,-4314028,-3699770,-3790327,IPEKE
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0,14319,12883,3448110,12456,9239,8714,3162085,2297827,2449909,2567162,3078421,2750960,2771247,IPEKE
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,3355543,2947865,16831302,31407645,16273674,12070384,22783308,57161061,47484355,51772646,54691962,65794447,61366084,61819031,IPEKE
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),125083711,109886828,85214288,246083013,125014749,94752953,76607052,129700251,89924436,93868598,97478447,116470978,80501405,80873271,IPEKE
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),14443073,20422733,33345982,-50341821,17227978,24568954,26593087,8782149,-5715659,-5653894,-12033935,-32927297,-2889910,-5770313,IPEKE
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,-507314,-679452,-917686,133753363,-1461919,-1592216,-1472909,127577726,91244048,97929896,103627704,124775889,110883419,112639328,IPEKE
2ODA,Azınlık Payları,Minority Interests,634530637,588356759,502366632,1047512065,550098917,422888680,426137206,858588635,594562510,628623610,682834667,773406198,679960221,721649361,IPEKE
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,904451802,834118408,748933760,1598909246,833642679,662080396,648103734,1326118889,936587795,971659252,1023474175,1162964216,1041121672,1077196728,IPEKE
3B,Sürdürülen Faaliyetler,Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3C,Satış Gelirleri,Net Sales,104857984,187340779,301991783,698709932,170245309,296886015,443344363,521451567,134430694,231371490,245318494,328388810,121458816,207537233,IPEKE
3CA,Satışların Maliyeti (-),Cost Of Sales,-37740266,-72963529,-119897167,-314367417,-150522327,-247447124,-312161469,-320154762,-94794897,-162782886,-167262175,-225137274,-86448345,-133194936,IPEKE
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,67117718,114377250,182094616,384342515,19722981,49438891,131182894,201296805,39635797,68588603,78056320,103251537,35010470,74342297,IPEKE
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),67117718,114377250,182094616,384342515,19722981,49438891,131182894,201296805,39635797,68588603,78056320,103251537,35010470,74342297,IPEKE
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-504269,-2607381,-3219166,-7635445,-198479,-7866649,-6937850,-6824423,-184655,-3696296,-4303872,-6629887,-916877,-3920769,IPEKE
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-4622017,-11656936,-18021472,-51439148,-21137104,-32100205,-46012078,-58975383,-11837532,-22781975,-27825093,-37383785,-9756756,-19881750,IPEKE
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),-6966232,-9279225,-12404349,-32549001,-15799344,-24789392,-32196562,-37387527,-13103374,-21253763,-21797398,-38619123,-10184717,-19835143,IPEKE
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,5231921,10256615,11069288,23941363,1361248,4777987,6618825,8164539,2929547,3861244,3882280,8422912,804370,9116837,IPEKE
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-3652697,-25818945,-32715566,-62378353,-34287681,-60978269,-62962202,-91571135,-8871875,-21205252,-19095105,-49324355,-3482929,-10160864,IPEKE
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
