FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,SYMBOL
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,56604423,75271379,126803351,254281931,-50338379,-71517637,-10306972,14702876,8567907,3512562,8917131,-20282702,11473562,29660608,IPEKE
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,55025199,90833709,148449629,292718920,-17411946,-15317355,46036404,98109472,14510235,20856570,24129957,20618741,14152121,30704635,IPEKE
3HA,Yatırım Faaliyetlerinden Gelirler,None,33997822,73990225,112036739,266595675,149247193,281157717,328547196,440199237,52385010,97570073,164819579,228837431,30619023,61244505,IPEKE
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,-3443646,-9797611,-11266232,0,0,0,0,0,0,-621436,-450774,-6167567,-2648,-260807,IPEKE
3HAB,Diğer Gelir ve Giderler,None,-379240,224296,302140,553897,2646,11565,7793,36007,0,8633,6196,12245,0,0,IPEKE
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,86779359,139688289,227875998,521431502,98911460,209651646,318248017,454938120,60952916,100469833,173292131,202399407,42089937,90644306,IPEKE
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-147287,146306,0,-628771969,-118166719,-165427794,-360504333,-472379142,-48532284,-127907343,-188791450,-212969236,-31298723,-42491351,IPEKE
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,30174936,64416910,101072647,267149572,149249839,281169283,328554989,440235244,52385010,96957271,164375000,222682108,30616375,60983698,IPEKE
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,86632072,139834595,227875998,-107340466,-19255259,44223852,-42256316,-17441022,12420632,-27437510,-15499318,-10569829,10791214,48152955,IPEKE
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-16109712,-29930902,-45588962,-115073654,-9711282,-30542743,-63835261,52594630,-32584311,6566582,-9984820,-16721319,-3298461,-5055768,IPEKE
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-18128364,-31888704,-47973974,-99619677,-13068328,-41560930,-49777076,-68764949,-11646127,-1688923,-5555050,-4162406,-1083499,-6404727,IPEKE
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,2018652,1957803,2385012,-15453977,3357046,11018187,-14058185,121359579,-20938184,8255505,-4429771,-12558912,-2214962,1348959,IPEKE
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,70522359,109903693,182287036,-222414121,-28966541,13681108,-106091577,35153609,-20163679,-20870927,-25484139,-27291148,7492754,43097187,IPEKE
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0,0,0,0,0,0,0,0,0,0,0,,0,0,IPEKE
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,70522359,109903693,182287036,-222414121,-28966541,13681108,-106091577,35153609,-20163679,-20870927,-25484139,-27291148,7492754,43097187,IPEKE
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0,0,0,0,0,0,0,0,0,0,0,,0,0,IPEKE
3LB,Azınlık Payları,Minority Interests,55365220,87004960,143411085,-165658033,-19362861,15590323,-70891810,24284413,-11917473,-12930362,-12740954,8110795,10508445,49225981,IPEKE
3Z,Ana Ortaklık Payları,Parent Shares,15157140,22898733,38875951,-56756087,-9603680,-1909215,-35199767,10869195,-8246205,-7940565,-12743185,-35401942,-3015692,-6128794,IPEKE
3ZD,Hisse Başına Kazanç,Earnings per Share,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,IPEKE
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
4B,Amortisman Giderleri,Depreciation & Amortization,5193989,10787361,14796651,67761437,13740192,25336744,33962141,51897735,17353801,37886145,33388569,48562339,5352400,11683738,IPEKE
4BA,Kıdem Tazminatı,Severance Payments,148790,265608,358069,920794,288086,365490,701700,1350566,74999,866551,652354,814260,136420,542315,IPEKE
4BB,Finansman Giderleri,Financial Expenses,-147287,146306,0,-628771969,-118166719,-165427794,-360504333,-472379142,-48532284,-127907343,-188791450,-212969236,-31298723,-42491351,IPEKE
4BC,Yurtiçi Satışlar,Domestic Sales,102495732,182595904,295982279,351760953,157057576,295579604,441100293,518903949,133954764,230640035,240391760,316054669,117225274,194888382,IPEKE
4BD,Yurtdışı Satışlar,Export Sales,2290039,4771342,6009503,5755639,0,1322067,2163030,2589920,492112,757860,4949597,12388337,4245264,12685400,IPEKE
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,-4950586,-90878984,-9826289,-10818892,-16578387,-11076114,-5113800,-23594568,-12546890,-13874991,-8106784,-3650717,910202,-2092001,IPEKE
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-4950586,-90878984,-9826289,-10818892,-16578387,-11076114,-5113800,-23594568,-12546890,-13874991,-8106784,-3650717,910202,-2092001,IPEKE
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),-4950586,-90878984,-9826289,-10818892,-16578387,-11076114,-5113800,-23594568,-12546890,-13874991,-8106784,-3650717,910202,-2092001,IPEKE
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,26312974,12733744,76791437,134366690,11517704,26136661,8070155,-64710356,185239918,50636062,91392379,35672960,115268203,99080635,IPEKE
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,70522359,109903693,182287036,-222414121,-26720765,13681108,-106091577,35153609,-20163679,-20870927,-25484139,-27291148,7492754,43097187,IPEKE
4CAA,Düzeltmeler:,Adjustments:,-4861985,-251502,-2316578,605911797,15441712,10701583,166411897,25267646,95615622,106722361,106385967,34546157,38900811,36332758,IPEKE
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,5193989,10787361,14796651,67761437,13740192,25336744,33962141,51897735,17353801,37886145,33388569,48562339,5352400,11683738,IPEKE
4CAC,Karşılıklardaki Değişim,Change in Provisions,9982259,35418324,43618576,74499380,3912469,31585378,42652100,45130135,20188775,43980586,42709727,63925695,17232878,22077903,IPEKE
4CAD,Diğer Gelir/ Gider,Other Income / Expense,-20038233,-46457187,-60731805,463650980,-127612357,-248631015,-261981536,-486841550,-17533191,-101934007,-97483829,-202671560,-25392313,-50633552,IPEKE
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),65660375,109652192,179970458,383497676,-11279053,24382692,60320320,60421255,75451943,85851434,80901828,7255010,46393564,79429945,IPEKE
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,-11796155,-48320273,-20264400,-54496384,24396233,29731514,22081131,-42899154,115613444,572799,60374411,96125044,78207434,45902858,IPEKE
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),53864220,61331918,159706058,329001293,13117180,54114206,82401451,17522101,191065387,86424232,141276239,103380053,124600998,125332803,IPEKE
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,-27551246,-48598174,-82914621,-194634602,-1599475,-27977545,-74331296,-82232457,-5825470,-35788170,-49883860,-67707093,-9332795,-26252169,IPEKE
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),-5618532,-13196980,-21174341,-44483510,-2193748,-14700208,-39090716,-61433990,-26875247,-53791341,-100708024,-149937374,-26089445,-44672484,IPEKE
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,-300128127,-394579201,-479162289,-1004864715,131565951,108452443,240773690,330734892,-77891025,86690092,144436927,182470987,-36021843,59805747,IPEKE
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,-305746659,-407776181,-500336630,-1049348225,129372203,93752234,201682974,269300901,-104766273,32898751,43728903,32533614,-62111287,15133262,IPEKE
4CB,Serbest Nakit Akım,Free Cash Flow,-279433685,-395042437,-423545192,-914981535,140889908,119888895,209753129,204590545,80473645,83534813,135121283,68206574,53156915,114213897,IPEKE
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,0,0,0,0,21537925,31385941,25134067,21155686,-17099315,-16371265,-11875341,-12895555,0,0,IPEKE
4CBB,Temettü Ödemeleri,Dividends Paid,0,0,-88183855,-160045277,0,0,-52991867,-50784825,0,0,0,0,0,0,IPEKE
4CBC,Sermaye Artırımı,Rights Issue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,-453528,-858760,-1196622,-2688051,-81325964,-133091134,-127314784,-128288792,-37322037,-45350363,-38034882,-47193267,-42449,-105352,IPEKE
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,-453528,-858760,-89380477,-162733329,-59788039,-101705193,-155172583,-157917932,-54421351,-61721628,-49910223,-60088822,-42449,-105352,IPEKE
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,-279887213,-395901196,-512925669,-1077714863,81101869,18183702,54580545,46672613,26052294,7909606,85211059,8117751,53114467,102338982,IPEKE
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,0,0,0,-359234496,0,0,0,0,0,0,0,0,0,0,IPEKE
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,-279887213,-395901196,-512925669,-1436949359,81101869,18183702,54580545,46672613,26052294,7909606,85211059,8117751,53114467,102338982,IPEKE
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IPEKE
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,654042895,613890705,574289216,1488773400,52438921,54241978,52731990,52172070,54854937,56933464,44981939,54766357,30769123,31548734,IPEKE
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,374155682,217989508,61363547,51824041,125689440,60004622,76835828,64756729,72828659,64843070,112359882,35220294,78910137,133887717,IPEKE
