FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
2BBB,Diğer Borçlar,Other Long-Term Loans,1937336,1591874,1304689,2058355,1091828,6124155,4746678,5931213,3381841,2956783,2494856,2616619,1820256,1369686,1018574,ODAS
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,0,0,0,91318,54104,40130,37852,50823,32097,31568,30370,36842,54970344,55327292,55418875,ODAS
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,185223,201240,241807,484533,375592,320457,358869,501365,285173,244716,309556,417616,508697,515621,579277,ODAS
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,13144267,1419698,565462,38087944,838740,3747564,8465264,45555610,16764807,25049742,33188343,38758683,31852372,28028606,32803777,ODAS
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,200460,144115,97801,126721,41286,2290057,1816735,2252973,1273514,1106337,925180,952868,584059,435648,302809,ODAS
2N,Özkaynaklar,SHAREHOLDERS EQUITY,272442875,286657808,338561102,809142875,290775349,198726337,348337881,870215994,641654131,733080545,736987847,945003362,810003984,783465707,807002849,ODAS
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,265976584,271438697,312844740,648624833,254481937,169053139,279843727,575675800,431303247,368639438,352693266,465533535,418980680,413734635,375441403,ODAS
2OA,Ödenmiş Sermaye,Share Capital,95475159,83875529,75463155,74738416,72963029,54117574,51046452,47471627,43285225,42572213,40956630,39610908,37004047,35164923,33668738,ODAS
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,17652727,0,13952639,51023394,3831511,2841879,2680605,29397303,34713659,40604034,20639713,26607550,21811209,21972203,22616059,ODAS
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0,0,0,0,0,0,0,1371895,0,347810,1671975,15189525,48892838,50280653,37040390,ODAS
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,43595,919041,826865,1660322,2222618,1837783,1733491,3307795,2667256,7921191,8301497,12540456,10131387,10098407,10293341,ODAS
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),-32432467,-29553317,-26589240,242015488,43624913,18323143,3105923,132347288,231187768,192602823,201627916,255431909,122844673,124711675,90397537,ODAS
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),26442844,54709312,117782416,74845399,16724277,26236524,168312553,186373688,7126612,-63596813,-82010287,-105701609,-10054972,-21367179,-6132979,ODAS
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,158794726,161488132,131408904,204341814,115115590,65696236,52964704,175406204,112322728,148188180,161505821,211781906,188351499,192873953,187558317,ODAS
2ODA,Azınlık Payları,Minority Interests,6466290,15219110,25716363,160518043,36293412,29673197,68494154,294540194,210350884,364441107,384294580,479469828,391023304,369731072,431561446,ODAS
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,519282844,512980681,566919512,1285450069,584141151,466658217,498582780,1104543360,774813526,932576238,943438992,1212215000,1031388237,1012795247,972768033,ODAS
3B,Sürdürülen Faaliyetler,Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3C,Satış Gelirleri,Net Sales,76647857,177789914,302486089,951234751,159187397,265900554,361364201,450861381,69797274,127630098,220277042,297788037,37983962,97811637,169960470,ODAS
3CA,Satışların Maliyeti (-),Cost Of Sales,-38543323,-88333926,-138401836,-576039765,-124889131,-201106530,-270782325,-344075892,-52816308,-100532609,-157437174,-230609481,-30240534,-80162483,-137013303,ODAS
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,38104535,89455987,164084252,375194986,34298266,64794024,90581876,106785489,16980966,27097489,62839868,67178556,7743428,17649155,32947166,ODAS
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),38104535,89455987,164084252,375194986,34298266,64794024,90581876,106785489,16980966,27097489,62839868,67178556,7743428,17649155,32947166,ODAS
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-18155,-666657,-625744,-1517456,-1704847,-2652169,-5223829,-8578740,-2240116,-2864870,-4772413,-6538536,-224744,-841987,-1454746,ODAS
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-1476775,-3220338,-4297226,-14670003,-9256354,-14985897,-26533017,-24485871,-6884578,-16920945,-28650847,-19045918,-4089337,-9888410,-16434636,ODAS
