FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,87757608,90110673,80174478,153922704,93372902,73165713,96440767,135516305,92712522,92574092,92488973,27270183,80569647,TSPOR
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,1614710,208153,384557,1253766,1550996,843462,596804,605635,2402677,576676,473433,557062,5219052,TSPOR
1AB,Finansal Yatırımlar,Short-Term Financial Investments,1537,15476,13924,91492,0,0,0,0,0,0,0,0,0,TSPOR
1AC,Ticari Alacaklar,Short-Term Trade Receivables,49875440,11280715,10270365,18048261,8171776,5051087,5095188,7537304,9379646,6297736,6121481,9532374,24373838,TSPOR
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1AE,Diğer Alacaklar,Short-Term Other Receivables,25388222,69532652,62727072,119654745,70110091,56905350,83150571,113422240,70596160,75119412,77278677,7210880,40782364,TSPOR
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,4212073,2606003,2563076,2465809,2517531,0,TSPOR
1AF,Stoklar,Inventories,6314561,6384776,4957309,10999993,7174963,5389651,4476466,6796800,6831004,6809353,5711700,6532554,7748010,TSPOR
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1AH,Diğer Dönen Varlıklar,Other Current Assets,4563137,2688900,1821250,3874447,6365076,4976163,3121738,2942254,897032,1207839,437872,919782,2446382,TSPOR
1AI,(Ara Toplam),(Subtotal),87757608,90110673,80174478,153922704,93372902,73165713,96440767,135516305,92712522,92574092,92488973,27270183,80569647,TSPOR
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1AK,Duran Varlıklar,LONG TERM ASSETS,87430308,54941879,49865602,151968394,70868017,57811392,52769419,136737696,232677188,254904979,257176249,488871129,484894942,TSPOR
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BB,Diğer Alacaklar,Other Receivables,5346732,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BC,Finansal Yatırımlar,Financial Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,954752,838755,754632,2788291,1551507,1150772,1085466,1657479,1116140,1097755,1056096,1573346,1469802,TSPOR
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BFAA,Kullanım Hakkı Varlıkları,None,7367896,4264493,3726288,30510413,0,0,0,20837430,15086397,28186162,21503063,31684730,27927220,TSPOR
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,18192030,16079394,14432596,53069140,28232393,20827341,19523393,55933999,37637916,37110965,35923403,60250882,58609974,TSPOR
1BGA,Şerefiye,Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,54220040,32486560,29771805,62746451,41084117,35811797,32138430,56822577,177814434,187878614,198320479,394624840,396711576,TSPOR
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,1348857,1272677,1180282,2854099,0,21482,22130,1486211,1022301,631484,373207,737330,176370,TSPOR
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,175187916,145052552,130040080,305891098,164240919,130977105,149210186,272254002,325389711,347479071,349665222,516141313,565464589,TSPOR
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,104832463,98958044,95985877,186541760,138419828,112643944,95594412,174212611,260155070,121732350,124166042,281550072,158890158,TSPOR
2AA,Finansal Borçlar,Short-Term Financial Loans,12139447,14381596,8983366,21241508,12107006,4701251,2331856,6278296,86088371,378166,541061,1336681,651673,TSPOR
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,22625,6251,10505,10136,8573,6222,4307,357,3207,0,TSPOR
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,46567615,39578220,45868517,59438951,41762718,36706055,17951713,27772008,27977420,26315009,22587077,37887657,33299026,TSPOR
2AAGAB,Diğer Borçlar,Other Short-Term Loans,13104696,17158237,23659921,62515385,31925354,25274565,16430133,18036329,38111310,10852666,17171003,182136594,61485314,TSPOR
2AAGAC,Müşteri Söz. Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,12151771,8228920,6572306,13183587,37447770,30361644,19782346,67446418,60169236,34198173,28133542,16047974,23869171,TSPOR
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),560365,12277,75735,0,0,450084,424542,0,0,0,0,0,1068757,TSPOR
2AAGE,Borç Karşılıkları,Short-Term Provisions,413779,231560,231438,333402,702372,334907,533827,800819,294652,450177,677599,1210265,1513554,TSPOR
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,19894791,19367234,10594595,29806302,14468357,14804934,38129859,53870168,47507858,49533850,55055402,42927693,37002664,TSPOR
2AAGG,(Ara Toplam),(Subtotal),104832463,98958044,95985877,186541760,138419828,112643944,95594412,174212611,260155070,121732350,124166042,281550072,158890158,TSPOR
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,106807073,80973769,76635342,172296721,104412752,72660343,65028873,77416943,60074827,64510203,80509510,88335931,110820099,TSPOR
2BA,Finansal Borçlar,Long-Term Financial Loans,77954035,58007811,57078830,102900630,60820828,41403409,34973405,39706691,26524481,1820256,2004709,1198440,1060537,TSPOR
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BBA,Ticari Borçlar,Long-Term Trade Payables,14299843,10619438,7767917,13534529,9670304,7646700,7795653,3817580,10287430,12642439,16936976,5866526,26406457,TSPOR
2BBB,Diğer Borçlar,Other Long-Term Loans,7614227,5910927,5200941,36405293,22197199,15969572,14597006,17793731,11585403,11005668,10213873,10046129,8464930,TSPOR
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,5100326,4587954,4881660,14257420,8293008,6347461,6032371,12108804,8980045,36571938,48736380,62766126,61582333,TSPOR
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,312645,541304,544114,489973,224886,113049,527724,616310,320028,336740,828925,1150929,845988,TSPOR
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,1525997,1306334,1161882,4708876,3206527,1180151,1102713,3373827,2377439,2133163,1788646,3989514,6874012,TSPOR
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0,0,0,0,0,0,0,0,0,0,0,3318266,5585842,TSPOR
2N,Özkaynaklar,SHAREHOLDERS EQUITY,-36451620,-34879260,-42581139,-52947383,-78591661,-54327182,-11413098,20624448,5159813,161236517,144989670,146255310,295754331,TSPOR
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,-36451620,-34879260,-42581139,-52947383,-78591661,-54327182,-11413098,20624448,5159813,161236517,144989670,146255310,295754331,TSPOR
2OA,Ödenmiş Sermaye,Share Capital,34098271,29955546,26951127,26692291,26058224,38655410,91154379,84770763,77295044,228065427,219410517,212201291,198235964,TSPOR
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,115822,101750,91545,403036,88512,223694,561041,1076505,779394,850680,888163,971565,1113504,TSPOR
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,901110,791631,712234,5193326,688637,510770,481785,4466534,3233791,3444847,3596635,3934378,3675450,TSPOR
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),-96114845,-68342602,-61488118,-222093617,-99411991,-73814283,-69625391,-221453754,-185064691,-197500765,-205829666,-225158123,-77322298,TSPOR
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),17974716,-2847632,-13789646,-35394964,-23414473,-33004170,-46144450,-34158813,-9942076,-14518274,-38503614,-46179415,-17671336,TSPOR
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,6573306,5462046,4941719,172252544,17399429,13101395,12159538,185923213,118858350,140894601,165427635,188674141,187723047,TSPOR
2ODA,Azınlık Payları,Minority Interests,0,0,0,0,0,0,0,0,0,0,0,0,0,TSPOR
