FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,829917,639316,626196,1029048,613449,572613,640358,939354,563611,480432,506820,755108,655490,606764,15385883,AVTUR
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,631433,465182,533676,828986,403785,154982,146931,56920,95368,80729,72722,53123,21544,48026,97121,AVTUR
1AB,Finansal Yatırımlar,Short-Term Financial Investments,0,0,0,0,83776,291629,357273,558879,334341,315839,349697,432130,354134,357450,545060,AVTUR
1AC,Ticari Alacaklar,Short-Term Trade Receivables,185063,170430,89519,179793,116058,113382,125569,210472,130833,79208,75008,229252,154112,184977,66918,AVTUR
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1AE,Diğer Alacaklar,Short-Term Other Receivables,169,1059,938,1531,914,673,634,106598,538,555,3633,28015,87558,5236,506,AVTUR
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1AF,Stoklar,Inventories,0,0,0,0,0,3529,5608,4711,2263,2228,3246,8836,32871,8123,5579,AVTUR
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1AH,Diğer Dönen Varlıklar,Other Current Assets,13251,2645,2064,18739,8916,8419,4343,1774,270,1873,2514,3753,5271,2951,3428,AVTUR
1AI,(Ara Toplam),(Subtotal),829917,639316,626196,1029048,613449,572613,640358,939354,563611,480432,506820,755108,655490,606764,718613,AVTUR
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14667270,AVTUR
1AK,Duran Varlıklar,LONG TERM ASSETS,8751746,7790429,6989631,28963376,12333470,9140920,8616765,32812217,23811673,25401736,26577664,35301872,28896614,29068712,15228613,AVTUR
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BB,Diğer Alacaklar,Other Receivables,1949,1729,1555,2538,1504,1115,1052,1413,892,877,844,1024,763,725,677,AVTUR
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BC,Finansal Yatırımlar,Financial Investments,0,0,0,0,0,0,0,0,0,48654,46808,56781,43540,40188,38479,AVTUR
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,7021618,6168431,5549762,18497672,10959481,8128782,7667481,23498580,17075888,18206115,19077483,25660475,21034901,21190132,7160637,AVTUR
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BFAA,Kullanım Hakkı Varlıkları,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1728178,1500448,1330509,10243751,1268252,933712,875309,9111010,6588675,6990194,7289172,9373000,7644780,7663762,7848268,AVTUR
1BGA,Şerefiye,Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,172630,0,0,AVTUR
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,0,119822,107805,219415,104233,77311,72924,201215,146218,155896,163358,210591,0,173904,180553,AVTUR
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,9581663,8429746,7615827,29992424,12946919,9713533,9257123,33751571,24375284,25882168,27084484,36056980,29552104,29675476,30614496,AVTUR
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,111030,111718,111810,178447,94850,58516,66566,82323,55598,64060,50397,110566,67919,58670,2455515,AVTUR
2AA,Finansal Borçlar,Short-Term Financial Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,3114,10520,9884,29179,11935,6688,6557,12799,10332,20528,15446,17455,11204,13660,10635,AVTUR
2AAGAB,Diğer Borçlar,Other Short-Term Loans,67845,66603,57429,101838,43147,22296,13445,6506,5199,335,766,321,1173,2619,1970,AVTUR
2AAGAC,Müşteri Söz. Doğan Yük.,None,1625,12660,13778,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AVTUR
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,0,0,0,4777,2200,1027,5773,2430,0,57,0,40187,24347,12888,3717,AVTUR
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),6562,5634,13119,2272,3644,2094,6268,5547,0,0,0,0,1033,1987,0,AVTUR
2AAGE,Borç Karşılıkları,Short-Term Provisions,19137,8326,9370,14843,11352,8354,13516,17774,17632,15207,15780,19631,9164,7206,6814,AVTUR
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,12746,7975,8229,25538,22573,18057,21007,37266,22435,27933,18404,32971,20998,20310,18376,AVTUR
2AAGG,(Ara Toplam),(Subtotal),111030,111718,111810,178447,94850,58516,66566,82323,55598,64060,50397,110566,67919,58670,41513,AVTUR
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414002,AVTUR
