FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,FROTO,1572989896,1714507476,2103654297,2368523148,2332991440,1860524500,2900469616,2457414214,2557576772,2398775597,2586247972,4875137412,3563697610,3196481237,3534412565,5038617830,4203221132,4153791147,4556217831,5464093537,5013938790,5329161467,5051516969
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,FROTO,558539391,757777113,879855657,1093017746,1109782635,578846353,1527636292,1061479143,1034882395,811300250,390957681,889723735,1109316701,1004594659,1114118975,745337913,804461099,542943808,881645696,792460628,1305323429,1431410264,1311387176
1AB,Finansal Yatırımlar,Short-Term Financial Investments,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,FROTO,515226468,554589745,759606757,774171163,675801602,646047333,669616392,854246087,757785044,725946655,1177920936,2273936366,1314727587,1161828710,1135605192,2231910292,1814238675,1660336807,1794277072,2421251720,1951455078,1909886015,1908484354
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,FROTO,422092,1853840,2685870,196026,1378885,744834,3304964,61409,1017833,3695436,15672673,24939195,16552810,27417393,29420149,68411667,53858290,68167145,79867037,106469470,100547078,111342823,116912793
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55451913,25696923,21036937,24108360,5483601,93423905,42162316,25830439
1AF,Stoklar,Inventories,FROTO,363164324,316548319,343627257,329495742,401624185,531719776,527408511,394615892,616078153,696914279,823963702,1242525731,909794088,782809900,1072079523,1436984501,1109246837,1554915753,1344996124,1417370703,1174975908,1433585591,1355285511
1AG,Canlı Varlıklar,Short-Term Live Assets,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,FROTO,135637621,83738458,117878757,171642472,144404134,103166205,172503457,147011683,147813346,160918976,177732979,444012385,213306424,219830573,183188726,500521544,395719308,306390697,431323543,721057416,388213392,400774457,333616696
1AI,(Ara Toplam),(Subtotal),FROTO,1572989896,1714507476,2103654297,2368523148,2332991440,1860524500,2900469616,2457414214,2557576772,2398775597,2586247972,4875137412,3563697610,3196481237,3534412565,5038617830,4203221132,4153791147,4556217831,5464093537,5013938790,5329161467,5051516969
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,FROTO,949136519,914738385,823496948,907430274,837693986,859807150,923601552,747322774,854556279,1377258528,1711083705,4430176383,2418262646,2197041315,2416114964,5585280676,3996401359,4313182364,4657103459,6132465685,4997590455,5149433845,5251360482
1B,Ticari Alacaklar,Trade Receivables,FROTO,487883,497994,515052,531435,511462,519900,505818,2814274,2324616,1814288,1073463,1379618,883843,691816,591993,817122,450352,21317,20508,26510,22097,20998,20105
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,FROTO,0,0,0,0,0,0,0,0,0,0,58002868,101429052,60168128,57933095,53753190,483474448,330452763,376781571,405613252,608308730,499549053,543701033,508105364
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,FROTO,2215300,3070236,2494785,6022980,6117399,4494877,5086851,3737962,4095202,3580826,4272832,12837551,6723752,5328919,9353278,17038042,10128650,17254640,12106195,19832814,14943159,13040912,15883444
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFA,Stoklar,Stoklar,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,FROTO,13486439,13449931,10557544,9272404,7315485,8624984,7435494,5149929,4012207,4285321,4861875,17634903,7700205,7971789,9011449,47761882,36413634,40384822,45642595,73607505,57725493,53030639,53277604
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,FROTO,666424675,634968274,546421545,592432494,524563951,510383169,517863736,385612447,365498346,389242664,842085263,2557936579,1127788230,1024663195,1176282870,2800186224,2044252835,2315779786,2540201682,3452384869,2858409249,2983015995,3075705384
1BGA,Şerefiye,Goodwill,FROTO,0,0,0,0,0,0,0,0,0,0,29094496,44328369,27401682,27475415,26623022,40098232,27079639,26844335,27957054,32772746,27035474,28810597,28817530
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,FROTO,127531718,125128729,112819912,121737592,114372362,120482411,132636910,111344043,121612030,128533676,317841969,722479554,389963935,363039011,373226026,879211971,535876371,536519904,601309237,742240209,635783812,655818011,673958626
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,FROTO,108887336,109814310,115160825,128384840,132842773,135298474,129149474,128508275,154948205,160569754,118570404,260874600,386883593,323579607,381371509,637088429,456079410,519236711,520834462,766168459,592071460,597866896,596116552
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,FROTO,30103168,27808913,35527285,49048529,51970554,80003335,130923267,110155845,202065673,689232000,335280534,711276158,410749278,386358467,385901626,679604324,555667706,480359279,503418474,437123842,312050659,274128764,299475874
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,FROTO,2522126415,2629245861,2927151245,3275953422,3170685426,2720331651,3824071168,3204736988,3412133051,3776034125,4297331677,9305313795,5981960256,5393522552,5950527529,10623898506,8199622491,8466973511,9213321290,11596559222,10011529245,10478595312,10302877451
1BM,KAYNAKLAR,LIABILITIES,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,FROTO,1390424371,1454712712,1613189848,1679171903,1804265898,1380234938,2050158750,1556365161,1788629795,2100395413,2236356854,4068042281,3127042600,2718836356,2828139102,4608463920,3631215573,3525330710,3772637402,4379312462,4163867927,4197537727,3891547487
2AA,Finansal Borçlar,Short-Term Financial Loans,FROTO,730472537,855342718,666240117,529132213,775803760,589978726,813909157,618356849,730556484,1048993434,734333849,1162752990,863246698,909897138,916814519,1662750472,1231140164,1411570641,1604909676,1591924862,1398239136,1296248028,1389712565
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,FROTO,588942186,526475531,863765162,1042392805,940975566,717494336,1156951824,852143189,968390971,971828726,1389040109,2651765642,2015161353,1606856851,1713196164,2573398935,2079510259,1771046790,1813625247,2347518905,2251710750,2552433840,2136850073
2AAGAB,Diğer Borçlar,Other Short-Term Loans,FROTO,22589379,22883524,25599650,23705518,33512972,17332881,21576705,19396465,33434173,23331356,31428248,64684337,48203390,43883709,57479144,79759454,86041443,49454285,51607255,68221924,223969398,62268640,68484787
2AAGAC,Müşteri Söz. Doğan Yük.,None,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,FROTO,4347945,4066808,6310165,5790224,7798533,6340804,5483276,4847600,5042998,4980349,6412589,16938661,9141642,12710633,13757858,28658859,83393252,122878672,125467359,144915325,98774003,67070636,51271620
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),FROTO,0,0,0,2361457,0,0,1731969,981427,0,723067,0,0,86297960,32030685,1836542,3613472,2741841,2959894,11439128,17583877,10315512,12661633,35442960
2AAGE,Borç Karşılıkları,Short-Term Provisions,FROTO,24838867,14314492,18593263,36762549,25344811,25259605,23475856,29218977,27483275,24365841,26427143,50659086,32524260,28796077,39930686,62359238,43833865,45763274,48791282,87723205,63301131,79970612,85305351
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,FROTO,19233457,31629640,32681492,39027137,20830256,23828586,27029962,31420655,23721894,26172640,48714916,121241565,72467297,84661263,85124189,197923489,104554750,121657154,116797455,121424364,117557997,126884338,124480131
2AAGG,(Ara Toplam),(Subtotal),FROTO,1390424371,1454712712,1613189848,1679171903,1804265898,1380234938,2050158750,1556365161,1788629795,2100395413,2236356854,4068042281,3127042600,2718836356,2828139102,4608463920,3631215573,3525330710,3772637402,4379312462,4163867927,4197537727,3891547487
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,FROTO,521316265,569204143,699344338,649090640,641270741,537907980,761570634,888352505,1057809391,976560205,1217988368,2507096359,1705094904,1619723537,1645448297,2441242739,1788439506,2285962421,2474896307,3128146379,2547798682,2753036114,2593013929
2BA,Finansal Borçlar,Long-Term Financial Loans,FROTO,440663375,482170812,619353609,558073513,551603923,446727308,671528360,808755186,978900672,888219742,1114080994,2172675368,1516573552,1438372839,1388138081,2045948670,1526623783,2041709487,2178689154,2800004765,2266802718,2411572374,2273014266
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBBA,Müşteri Söz.Doğan Yük.,None,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,FROTO,1849882,1906936,1887538,2965275,3554455,4044780,4252291,4731746,5756675,5166553,21583163,48510997,26688886,19966177,109682564,184032037,98446431,61901032,104772267,122218169,99900882,104591409,102359986
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,FROTO,68735547,74908030,72581571,85367498,83555654,84962914,83923998,73729873,72188495,82327426,81874127,235484305,129942047,128120729,117717531,157541343,121362959,142523316,125967118,153493339,130033594,136985261,124345335
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,FROTO,0,0,0,0,0,0,0,0,0,0,0,49947256,30368411,32896759,29711806,45731351,39235614,35603598,38469568,46556487,38804029,37591429,36973685
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,FROTO,10067462,10218365,5521619,2684354,2556709,2172978,1865985,1135700,963549,846484,450084,478433,1522009,367033,198315,7989339,2770718,4224988,26998201,5873619,12257458,62295642,56320656
2N,Özkaynaklar,SHAREHOLDERS EQUITY,FROTO,610385778,605329006,614617059,947690879,725148787,802188733,1012341784,760019322,565693866,699078507,842986454,2730175155,1149822752,1054962659,1476940130,3574191846,2779967412,2655680380,2965787581,4089100382,3299862636,3528021471,3818316034
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,FROTO,610385778,605329006,614617059,947690879,725148787,802188733,1012341784,760019322,565693866,699078507,842986454,2730175155,1149822752,1054962659,1476940130,3574191846,2779967412,2655680380,2965787581,4089100382,3299862636,3528021471,3818316034
2OA,Ödenmiş Sermaye,Share Capital,FROTO,53317633,51186638,45184260,47211646,42071504,40353500,39452471,26279488,23930849,21023401,18914840,18733184,18288183,13564570,12794793,11898763,10849442,10670725,10265779,9928474,9275064,88140881,84390692
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,FROTO,1216,0,1030,1076,0,0,0,599,0,479,431,427,417,309,292,271,247,243,234,284,211,201,192
2OCB,Değer Artış Fonları,Market Value Surpluses,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,FROTO,0,0,0,0,0,0,0,0,0,0,12410940,2377536,115393114,256447452,258820025,-30235629,-78037572,-139871523,-149749521,-289096217,-239917983,-193886980,-223618379
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,FROTO,62370736,59877908,52856352,55227979,76014651,72910567,71282590,57389051,83250520,73136106,65800853,286367766,100014332,74181858,69972107,287983304,209270644,271610720,284608996,329450321,285877379,287987135,296426809
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),FROTO,526920763,505860842,446541294,466577287,589592125,566711899,554058126,260079832,494942749,434810321,391200619,1234925155,947089817,702468148,662603734,1588078179,2899199069,2557174148,2679544943,3312503968,3671562337,3698656700,3807050234
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),FROTO,95636101,132658012,291996858,564386158,218129436,324127117,529626286,659103198,191071640,389780426,556388279,1480350577,278967208,466941391,914965617,2401592504,277428363,477499916,750840079,1379206838,171463431,326218992,537824470
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,FROTO,-127860670,-144254394,-221962736,-185713267,-200658930,-201914350,-182077688,-242832847,-227501892,-219672226,-201729508,-292579490,-309930320,-458641069,-442216437,-685125545,-538742781,-521403849,-609722928,-655418056,-598397804,-679095458,-683757984
2ODA,Azınlık Payları,Minority Interests,FROTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
