FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,785762710,713700641,608241953,1078032792,773363310,450339491,490601341,713059063,541966370,452785778,580076399,725847544,647224434,790465417,934891976,GUBRF
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,170878771,105731298,109920558,95297642,141675443,52008577,95019229,110989428,39559522,91416956,95484556,183854064,151511928,145853031,154198467,GUBRF
1AB,Finansal Yatırımlar,Short-Term Financial Investments,16021878,19856515,26083501,39373335,65756337,30670454,32609503,2189143,0,15038472,26847892,22001539,0,0,49136764,GUBRF
1AC,Ticari Alacaklar,Short-Term Trade Receivables,132935320,121301736,146343015,137552170,185610704,123473357,97987684,192321621,226557978,105237826,175589940,171268452,209394432,128501916,130557684,GUBRF
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1AE,Diğer Alacaklar,Short-Term Other Receivables,21684774,19504727,23556876,40277171,31296111,46523456,49732014,63893389,59583888,58329477,74196751,49126266,39661933,6384316,5093698,GUBRF
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1AF,Stoklar,Inventories,333527054,365889696,282620382,705492180,289774993,157668018,169561841,285410121,180833024,159103329,186677905,250264400,201198496,141350493,174437351,GUBRF
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1AH,Diğer Dönen Varlıklar,Other Current Assets,110714912,81416670,19717622,60040294,59249723,39995628,45691070,58255362,35431958,23659717,21279354,49332823,45457645,19529725,21564270,GUBRF
1AI,(Ara Toplam),(Subtotal),785762710,713700641,608241953,1078032792,773363310,450339491,490601341,713059063,541966370,452785778,580076399,725847544,647224434,441619481,534988234,GUBRF
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,348845936,399903742,GUBRF
1AK,Duran Varlıklar,LONG TERM ASSETS,299801463,329096530,337073530,806335216,455023052,413059649,436494212,798671353,615089684,669216413,668853654,830425888,672706466,531729329,543609291,GUBRF
1B,Ticari Alacaklar,Trade Receivables,0,0,77580,99700,50406,24269,21877,14687,0,0,0,0,0,0,0,GUBRF
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1BB,Diğer Alacaklar,Other Receivables,1541276,1426886,716990,3023431,997897,968807,1900985,1587917,16056471,16028043,998088,976728,1373094,159501,126662,GUBRF
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1BC,Finansal Yatırımlar,Financial Investments,1767150,1634942,1613199,9166334,3372527,9460449,11893119,20485199,3642302,3633800,5710749,6579619,5118705,1974928,2031548,GUBRF
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,4262952,7573832,6204289,19587270,11800398,8758355,12474925,19593756,15789522,17411348,17284309,22344053,17895622,20809827,21254812,GUBRF
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,13052242,11461222,10306928,27865801,13965319,10358248,9770428,29328894,21312612,18925116,20152655,31339892,25557341,21514373,22144873,GUBRF
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1BFAA,Kullanım Hakkı Varlıkları,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,238488336,259062236,270252336,671325461,388252658,332419469,338805779,638030898,489396899,515535973,523068365,639204244,520961427,400317555,409552803,GUBRF
1BGA,Şerefiye,Goodwill,9463284,10171527,9952721,14662575,8133966,7990227,8163286,10882869,7444289,7270086,6886140,6419504,5116321,0,0,GUBRF
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,8978178,10683205,11862400,29751861,19025214,18013224,30772300,46584831,44125583,49708661,51419954,70908588,58085853,58800046,60710245,GUBRF
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,0,0,0,14395418,0,13661091,15505633,19500169,12014758,36933287,40532278,34396577,21734080,9558972,0,GUBRF
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,22248046,27082680,26087087,16457366,9424667,11405510,7185881,12662133,5307247,3770099,2801115,18256682,16864022,18594127,27788348,GUBRF
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,1085564172,1042797172,945315483,1884368008,1228386362,863399140,927095553,1511730415,1157056054,1122002191,1248930053,1556273431,1319930899,1322194746,1478501267,GUBRF
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,696445641,632299776,514199752,1075671262,827013753,523175735,553217395,647047062,558047293,489123273,581914251,685743972,579689571,565615504,641431157,GUBRF
2AA,Finansal Borçlar,Short-Term Financial Loans,203249329,267815535,237277689,485204223,395548626,322719162,261937891,312997924,251289552,244487250,265339113,359991977,284850063,236125075,206530691,GUBRF
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,430584537,290585707,211542363,453800453,233442887,98093070,175599326,221611195,187098956,141698884,211319098,231923257,212976002,85509427,159177613,GUBRF
2AAGAB,Diğer Borçlar,Other Short-Term Loans,13344139,18579238,16097955,36893347,35989735,40871135,45667697,40987390,42032778,36455775,31071156,36877785,40611201,1275623,1166510,GUBRF
2AAGAC,Müşteri Söz. Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,14454673,9303568,7832195,6778025,108619804,8362047,11947169,8986527,13391289,2521737,5629515,3016052,3388389,514115,452295,GUBRF
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),6557204,925014,4609908,50181720,25801007,20120247,21347644,30757826,16309646,10021459,9190407,8413103,6456018,1415716,1788937,GUBRF
2AAGE,Borç Karşılıkları,Short-Term Provisions,22752597,26848057,29848310,36636829,24118466,30197729,34416183,25671799,43853904,49816040,53110608,39787363,28934955,21087367,31397858,GUBRF
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,5503163,18242658,6991332,6176666,3493227,2812345,2301484,6034402,4071168,4122128,6254355,5734436,2472942,4275333,1826048,GUBRF
2AAGG,(Ara Toplam),(Subtotal),696445641,632299776,514199752,1075671262,827013753,523175735,553217395,647047062,558047293,489123273,581914251,685743972,579689571,350202657,402339953,GUBRF
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,215412847,239091203,GUBRF
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,32117234,32464768,36574298,50251195,34848685,25407885,36921567,50051139,36370246,40935976,40610220,43544129,33843013,19118604,25144652,GUBRF
2BA,Finansal Borçlar,Long-Term Financial Loans,453092,2899413,2791798,3941751,2169322,1487630,871632,483527,273204,207630,119009,1203357,833882,629739,475315,GUBRF
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
2BBA,Ticari Borçlar,Long-Term Trade Payables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GUBRF
