FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,ASELS,2138408266,2181293122,2021791996,2636223849,2312821192,2216936602,1971967958,1735575676,1665318853,1657182501,1619829723,3892706652,2010210967,1673404227,1831804127,3568134026,2310148685,2547561707,2712186060,3765993511,2951368092,3051383514,3355786526
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,ASELS,277136823,240474364,249972445,549148223,377501079,288642234,147382989,186631918,146917653,133179242,72862641,500247117,190193613,49447769,62973201,323603198,95033330,58346191,105224164,590430335,339171559,396654635,347210449
1AB,Finansal Yatırımlar,Short-Term Financial Investments,ASELS,399605,0,0,2410161,926770,339470,244983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,ASELS,745160678,795270075,683531199,961497033,857428664,803528329,673967508,734168352,679583319,667995375,671561602,1309628070,727315065,682080318,734144279,1008165323,601768449,777271030,785666847,1006289759,731655297,659627930,695073326
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,ASELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,ASELS,58892654,63276639,60650382,90463896,75089800,61910786,55074484,54108290,46139462,29836682,32003493,90307015,53640907,30747634,39992197,80802779,56304740,41094045,57341534,88204570,83877231,71918498,92203835
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,ASELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,ASELS,761311251,782791627,772923051,744373243,702608862,766453731,822366069,572077735,600996283,596428520,616218703,1475978860,756147917,660932021,720450230,1575239104,1122390705,1148393811,1233086345,1542743473,1229092344,1330189865,1575050311
1AG,Canlı Varlıklar,Short-Term Live Assets,ASELS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,ASELS,295507255,299480417,254714918,288331293,299266018,296062052,272931924,188589381,191682136,229742682,227183284,516545590,282913466,250196485,274244221,580323621,434651461,522456630,530867169,538325374,567571662,592992585,646248605
