FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
1A,Dönen Varlıklar,CURRENT ASSETS,TRENJ,860927296,878804318,829920424,943245792,934911160,939765637,957600427,730742230,690113615,643308111,607527396,1017421845,685398899,518436968,434548640,591834507,397003797,425222029,450744299,466448831,444894182,452221092
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,TRENJ,768908456,802400554,748215858,832832753,835146868,866516289,888164146,687425298,360043168,198170974,52966726,46116539,73653780,26816070,41680158,52390095,50909175,43340459,106746435,33458908,76506316,130542369
1AB,Finansal Yatırımlar,Short-Term Financial Investments,TRENJ,0,0,0,0,0,0,0,0,277477478,379713625,502118898,858564382,497315690,433967437,328714322,434546832,283151288,256716253,264751203,311262020,273203070,228212090
1AC,Ticari Alacaklar,Short-Term Trade Receivables,TRENJ,4070349,3971847,4049728,2829389,3556853,3401028,3392434,2068898,2395745,2258588,1049046,3886985,2670290,2900354,2829395,4106940,2473256,1595242,1297594,2849984,2702115,1450126
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,TRENJ,19248500,2432791,3493600,4388984,3459380,3626537,4883018,4203475,5345586,17464982,6570254,7959695,34630130,4309460,3369358,7520523,2407617,1647940,650479,174530,7299286,5525690
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,TRENJ,61379321,63322588,65559089,57016562,51870444,55340908,56054753,33774433,37644764,42844099,42367171,75365311,57743983,46146365,51807044,76159749,52692805,54179770,67043809,100443473,50436093,55001331
1AG,Canlı Varlıklar,Short-Term Live Assets,TRENJ,1713287,1670192,1433005,1582332,1242806,1296473,621957,986819,942476,908672,903078,2647448,1068856,931518,934879,2290709,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,TRENJ,5607384,5006345,7169143,43153766,39634807,9584402,4484119,2283307,6264398,1947170,1552223,22855541,18316170,3365765,5213484,14819659,5369656,11839424,10254779,18259917,8157939,4703861
1AI,(Ara Toplam),(Subtotal),TRENJ,860927296,878804318,829920424,941803786,934911160,939765637,957600427,730742230,690113615,643308111,607527396,1017395900,685398899,518436968,434548640,591834507,397003797,369319088,450744299,466448831,418304818,425435467
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,TRENJ,0,0,0,1442006,0,0,0,0,0,0,0,25945,0,0,0,0,0,55902941,0,0,26589363,26785625
1AK,Duran Varlıklar,LONG TERM ASSETS,TRENJ,224979868,235366786,232177642,218620421,206689526,255704527,262433864,189280986,214338187,190810298,141406364,581487401,148243780,143643427,213555094,734284382,539583998,546437223,572729876,696515385,596227490,624975636
1B,Ticari Alacaklar,Trade Receivables,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,TRENJ,275013,15592006,14218537,15787803,15458110,16441656,17301591,12299558,12228595,213943,196474,315396,189131,20185391,24307008,38275254,28406578,33757576,43550472,11828190,8096327,1546302
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,TRENJ,40730229,39978703,35670341,42046766,37506234,32010948,31494969,21983300,59294439,52403513,15348667,97606716,15075152,10296178,15140123,116104919,91401978,94362101,78215373,91365573,79074899,72938808
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,TRENJ,32363291,30986070,29497566,30568838,27161303,26009039,25163640,16616640,15021721,13102136,11703365,88772101,5794880,4260677,3983920,43099931,31033435,32782885,34032795,86325035,49077225,49029071
1BFA,Stoklar,Stoklar,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,TRENJ,2469650,2138429,1617908,603146,448878,4175646,4176401,2767393,2178743,1614005,1177926,3276105,802228,444576,304674,512965,145160,86939,82615,88899,60713,71259
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,TRENJ,100009724,103031726,90485437,96691377,91198806,141144447,146048232,107061559,98345143,90645961,84721244,330440530,90450547,73114119,79913513,329659662,247084307,242516596,280140452,356621148,335304028,380698074
1BGA,Şerefiye,Goodwill,TRENJ,2396566,2300780,2030980,1511160,1346633,1291643,1262803,841159,765984,672921,605430,5085042,585372,434178,409538,4663240,3388677,3612982,3785885,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,TRENJ,194181,150098,104942,159027,372866,353040,348642,303003,261875,228441,193401,438661,330106,319448,261394,625269,2106754,1875519,1497842,1292716,993929,830018
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,TRENJ,22087518,21643644,19237079,19400756,20729546,21505307,22583282,16441024,17052545,15175060,14283882,0,17619425,16870419,17571720,75360666,42705079,67755289,60862605,66319522,56668790,60252760
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,TRENJ,24453696,19545329,39314852,11851548,12467149,12772801,14054303,10967348,9189143,16754317,13175975,55552851,17396940,17718442,71663203,125982476,93312031,69687338,70561837,82674300,66951580,59609343
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,TRENJ,1085907164,1114171103,1062098066,1161866213,1141600686,1195470164,1220034291,920023216,904451802,834118408,748933760,1598909246,833642679,662080396,648103734,1326118889,936587795,971659252,1023474175,1162964216,1041121672,1077196728
1BM,KAYNAKLAR,LIABILITIES,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,TRENJ,75378257,75823062,74389019,90199793,100598264,107424418,104216876,89367333,78996147,68761518,71004954,101740017,101867593,84509811,73607781,102336418,81549426,66311726,58250947,71918774,69368235,64641770
2AA,Finansal Borçlar,Short-Term Financial Loans,TRENJ,899643,774852,499215,484077,408234,1862372,2050930,1458099,1604460,1443438,1341304,1436739,13389393,14505675,13896959,18914053,14501,19614,14774,693729,544488,526595
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,TRENJ,11098230,10129531,12192707,14775654,12758009,19078071,16813199,16161387,11354452,12041830,10598692,15140455,12406164,6045629,10531612,16045173,12227396,7015657,8828494,7419783,8591811,19284092
2AAGAB,Diğer Borçlar,Other Short-Term Loans,TRENJ,2911039,2826052,2432077,2562595,2301578,2275900,2138513,1344791,1233062,1253100,986842,8655349,22389331,24158124,4480967,2976844,10894644,18232250,2192818,5898431,2624010,5855889
2AAGAC,Müşteri Söz. Doğan Yük.,None,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,TRENJ,662007,598206,246324,82473,331863,412493,79712,85898,430184,298896,145698,181241,209560,537851,82331,357631,363843,63007,4059007,1044704,2291053,51542
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),TRENJ,18101649,14454234,18762458,16073970,21823087,31083039,20242622,31929978,20637501,13313922,15264364,3426489,8950062,9740429,10010027,10095994,14179590,64497,2583018,542076,926872,2466191
2AAGE,Borç Karşılıkları,Short-Term Provisions,TRENJ,39194712,44444023,37613247,52356748,60199022,48838648,58959132,36333783,40592423,37705285,39894837,68338672,40734477,24963896,30555458,46492627,38854116,32462194,35361954,49289436,49079709,31277265
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,TRENJ,2510978,2596164,2642991,3864275,2776472,3873895,3932767,2053396,3144065,2705046,2773217,4561072,3788605,4558207,4050427,7454097,5015335,4848367,5210883,7030615,5310292,5180195
2AAGG,(Ara Toplam),(Subtotal),TRENJ,75378257,75823062,74389019,90199793,100598264,107424418,104216876,89367333,78996147,68761518,71004954,101740017,101867593,84509811,73607781,102336418,81549426,62705586,58250947,71918774,69368235,64641770
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3606140,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,TRENJ,31409101,31360659,29018181,27071858,25227196,26563208,23372871,31150678,30833498,28843776,27072353,71438287,30868990,27809011,26609276,32435939,30164082,31890237,32054823,36185001,36014506,35838106
2BA,Finansal Borçlar,Long-Term Financial Loans,TRENJ,1777710,1603676,1320852,178804,87042,2943111,2323571,1547742,819245,392358,42098,533152,159372,46657,85102,103115,18242,52546,50552,59783,37083,23962
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,TRENJ,5436603,5480709,5520718,5423197,5481489,5624375,5591770,5430465,5575204,5483902,5775465,9031764,5479263,5481337,5481368,7913893,5481332,5481355,5476369,6384983,5481330,0
2BBBA,Müşteri Söz.Doğan Yük.,None,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,TRENJ,0,0,0,0,15706,15065,25409,16775,12616,11084,9972,16389,20638,15308,14439,19396,0,1034,995,1122,370,352
