FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,TRENJ,24194788,24240974,22155752,21436221,19642960,17980658,5161617,24155695,24426433,22956433,21244819,35238682,25209717,22265710,21028367,23291445,21850320,26355302,26246296,29739113,30495722,35813792
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,TRENJ,0,35300,20860,33635,0,0,0,0,0,0,0,26618300,0,0,0,1108090,2814189,0,280611,0,0,0
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,TRENJ,0,0,0,0,0,0,10270504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,TRENJ,979119806,1006987382,958690866,1044594562,1015775225,1061482538,1092444544,799505205,794622157,736513115,650856453,1425730942,700906097,549761573,547886677,1191346533,824874287,873457289,933168405,1054860441,935738931,976716852
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,TRENJ,182077642,189993290,182504185,199005476,198832606,213574558,220661870,160229162,160091520,148156356,148489821,378218877,150807180,126872893,121749471,332757898,230311777,244833679,250333738,281454243,255778711,255067492
2OA,Ödenmiş Sermaye,Share Capital,TRENJ,39472157,37894537,33450851,34951767,31146413,29874539,29207488,19455254,17716507,15564063,14003051,13868567,13539124,10042134,9472253,8808903,8032068,7899761,7599971,7350257,6866524,6525253
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,-19798883,-12978554,-12242033,-2434277,-2955299,-3433236,-3597572,-4314028,-3699770,-3790327
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,TRENJ,36314,0,30774,32155,28654,0,0,17899,0,14319,12883,3448110,12456,9239,8714,3162085,2297827,2449909,2567162,3078421,2750960,2771247
2OCB,Değer Artış Fonları,Market Value Surpluses,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,TRENJ,7476107,7177303,6335660,0,5899194,5658299,5531958,3684865,3355543,2947865,16831302,31407645,16273674,12070384,22783308,57161061,47484355,51772646,54691962,65794447,61366084,61819031
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),TRENJ,123299096,118371089,104490356,109178764,140712641,134966593,131953005,87894556,125083711,109886828,85214288,246083013,125014749,94752953,76607052,129700251,89924436,93868598,97478447,116470978,80501405,80873271
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),TRENJ,12229887,27028371,38633566,48725631,21625024,43640336,54305357,49465214,14443073,20422733,33345982,-50341821,17227978,24568954,26593087,8782149,-5715659,-5653894,-12033935,-32927297,-2889910,-5770313
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,TRENJ,-435919,-478010,-437022,6117158,-579321,-565209,-335938,-288624,-507314,-679452,-917686,133753363,-1461919,-1592216,-1472909,127577726,91244048,97929896,103627704,124775889,110883419,112639328
2ODA,Azınlık Payları,Minority Interests,TRENJ,797042164,816994092,776186681,845589086,816942619,847907980,871782675,639276043,634530637,588356759,502366632,1047512065,550098917,422888680,426137206,858588635,594562510,628623610,682834667,773406198,679960221,721649361
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,TRENJ,1085907164,1114171103,1062098066,1161866213,1141600686,1195470164,1220034291,920023216,904451802,834118408,748933760,1598909246,833642679,662080396,648103734,1326118889,936587795,971659252,1023474175,1162964216,1041121672,1077196728
3B,Sürdürülen Faaliyetler,Continuing Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,TRENJ,117213973,224787747,351712315,473791356,118752135,259129236,366550143,465676651,104857984,187340779,301991783,698709932,170245309,296886015,443344363,521451567,134430694,231371490,245318494,328388810,121458816,207537233
3CA,Satışların Maliyeti (-),Cost Of Sales,TRENJ,-45137209,-80348930,-120140508,-181205674,-48849005,-86889055,-134364902,-183949376,-37740266,-72963529,-119897167,-314367417,-150522327,-247447124,-312161469,-320154762,-94794897,-162782886,-167262175,-225137274,-86448345,-133194936
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,TRENJ,72076764,144438817,231571807,292585682,69903130,172240181,232185241,281727275,67117718,114377250,182094616,384342515,19722981,49438891,131182894,201296805,39635797,68588603,78056320,103251537,35010470,74342297
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),TRENJ,72076764,144438817,231571807,292585682,69903130,172240181,232185241,281727275,67117718,114377250,182094616,384342515,19722981,49438891,131182894,201296805,39635797,68588603,78056320,103251537,35010470,74342297
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),TRENJ,-273276,-599683,-1026657,-1204688,-258065,-494814,-765798,-926147,-504269,-2607381,-3219166,-7635445,-198479,-7866649,-6937850,-6824423,-184655,-3696296,-4303872,-6629887,-916877,-3920769
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),TRENJ,-6929052,-15142082,-24401137,-37173153,-11291400,-36327899,-28076243,-31529681,-4622017,-11656936,-18021472,-51439148,-21137104,-32100205,-46012078,-58975383,-11837532,-22781975,-27825093,-37383785,-9756756,-19881750
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),TRENJ,-6521836,-7837396,-11643658,-18688177,-8139925,-16173983,-25611278,-33129095,-6966232,-9279225,-12404349,-32549001,-15799344,-24789392,-32196562,-37387527,-13103374,-21253763,-21797398,-38619123,-10184717,-19835143
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,TRENJ,5344671,8794636,12411052,5874882,646176,14497395,14689592,30559389,5231921,10256615,11069288,23941363,1361248,4777987,6618825,8164539,2929547,3861244,3882280,8422912,804370,9116837
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),TRENJ,-7381079,-10688592,-10620566,-12693765,-678586,-1548956,-22406428,-23205671,-3652697,-25818945,-32715566,-62378353,-34287681,-60978269,-62962202,-91571135,-8871875,-21205252,-19095105,-49324355,-3482929,-10160864
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,TRENJ,56316191,118965700,196290842,228700782,50181329,132191924,170015087,223496069,56604423,75271379,126803351,254281931,-50338379,-71517637,-10306972,14702876,8567907,3512562,8917131,-20282702,11473562,29660608
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,TRENJ,58352599,120859656,194500355,235519664,50213739,119243485,177731923,216142352,55025199,90833709,148449629,292718920,-17411946,-15317355,46036404,98109472,14510235,20856570,24129957,20618741,14152121,30704635
3HA,Yatırım Faaliyetlerinden Gelirler,None,TRENJ,29074577,50473093,71266216,91884010,68157712,109083699,147069417,221211177,33997822,73990225,112036739,266595675,149247193,281157717,328547196,440199237,52385010,97570073,164819579,228837431,30619023,61244505
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,TRENJ,-612787,-578233,-556390,-533188,0,0,0,0,-3443646,-9797611,-11266232,0,0,0,0,0,0,-621436,-450774,-6167567,-2648,-260807
3HAB,Diğer Gelir ve Giderler,None,TRENJ,0,0,0,0,0,0,0,-674275,-379240,224296,302140,553897,2646,11565,7793,36007,0,8633,6196,12245,0,0
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,TRENJ,84777982,168860560,267000668,320051604,118339042,241275623,317084504,444032971,86779359,139688289,227875998,521431502,98911460,209651646,318248017,454938120,60952916,100469833,173292131,202399407,42089937,90644306
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),TRENJ,0,0,0,1407462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),TRENJ,0,-87962,-139580,0,0,0,-664119,-1270792,-147287,146306,0,-628771969,-118166719,-165427794,-360504333,-472379142,-48532284,-127907343,-188791450,-212969236,-31298723,-42491351
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,TRENJ,28461791,49894860,70709826,91350822,68157712,109083699,147069417,220536902,30174936,64416910,101072647,267149572,149249839,281169283,328554989,440235244,52385010,96957271,164375000,222682108,30616375,60983698
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,TRENJ,84777982,168772598,266861088,321459066,118339042,241275623,316420385,442762180,86632072,139834595,227875998,-107340466,-19255259,44223852,-42256316,-17441022,12420632,-27437510,-15499318,-10569829,10791214,48152955
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,TRENJ,-24044232,-40265668,-62819241,-80475189,-22316902,-54998513,-75651326,-116514960,-16109712,-29930902,-45588962,-115073654,-9711282,-30542743,-63835261,52594630,-32584311,6566582,-9984820,-16721319,-3298461,-5055768
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),TRENJ,-22449220,-39108893,-61891923,-78811592,-26130758,-60330820,-82726377,-124978239,-18128364,-31888704,-47973974,-99619677,-13068328,-41560930,-49777076,-68764949,-11646127,-1688923,-5555050,-4162406,-1083499,-6404727
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,TRENJ,-1595012,-1156775,-927317,-1663597,3813856,5332307,7075052,8463279,2018652,1957803,2385012,-15453977,3357046,11018187,-14058185,121359579,-20938184,8255505,-4429771,-12558912,-2214962,1348959
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,TRENJ,60733751,128506931,204041847,240983877,96022139,186277110,240769060,326247220,70522359,109903693,182287036,-222414121,-28966541,13681108,-106091577,35153609,-20163679,-20870927,-25484139,-27291148,7492754,43097187
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,TRENJ,60733751,128506931,204041847,240983877,96022139,186277110,240769060,326247220,70522359,109903693,182287036,-222414121,-28966541,13681108,-106091577,35153609,-20163679,-20870927,-25484139,-27291148,7492754,43097187
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
3LB,Azınlık Payları,Minority Interests,TRENJ,47570203,99912713,159489641,189449094,71664753,138178237,181166290,252241818,55365220,87004960,143411085,-165658033,-19362861,15590323,-70891810,24284413,-11917473,-12930362,-12740954,8110795,10508445,49225981
3Z,Ana Ortaklık Payları,Parent Shares,TRENJ,13163548,28594218,44552206,51534783,24357387,48098873,59602770,74005402,15157140,22898733,38875951,-56756087,-9603680,-1909215,-35199767,10869195,-8246205,-7940565,-12743185,-35401942,-3015692,-6128794
3ZD,Hisse Başına Kazanç,Earnings per Share,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,-0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,TRENJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4B,Amortisman Giderleri,Depreciation & Amortization,TRENJ,8071874,14752118,26904819,33801705,5282032,11230785,17792886,26489987,5193989,10787361,14796651,67761437,13740192,25336744,33962141,51897735,17353801,37886145,33388569,48562339,5352400,11683738
4BA,Kıdem Tazminatı,Severance Payments,TRENJ,466091,709404,972458,1221052,327747,597098,852052,1148777,148790,265608,358069,920794,288086,365490,701700,1350566,74999,866551,652354,814260,136420,542315
4BB,Finansman Giderleri,Financial Expenses,TRENJ,0,-87962,-139580,0,0,0,-664119,-1270792,-147287,146306,0,-628771969,-118166719,-165427794,-360504333,-472379142,-48532284,-127907343,-188791450,-212969236,-31298723,-42491351
4BC,Yurtiçi Satışlar,Domestic Sales,TRENJ,115976461,222766015,349087317,469856411,116450209,253576646,358520127,454996265,102495732,182595904,295982279,351760953,157057576,295579604,441100293,518903949,133954764,230640035,240391760,316054669,117225274,194888382
4BD,Yurtdışı Satışlar,Export Sales,TRENJ,1220340,1963554,2480963,3668991,2137444,5256386,7486825,10200394,2290039,4771342,6009503,5755639,0,1322067,2163030,2589920,492112,757860,4949597,12388337,4245264,12685400
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,TRENJ,131376754,37940081,12664079,71708543,201016602,189677943,143746601,73362611,-4950586,-90878984,-9826289,-10818892,-16578387,-11076114,-5113800,-23594568,-12546890,-13874991,-8106784,-3650717,910202,-2092001
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,TRENJ,131376754,37940081,12664079,71708543,201016602,189677943,143746601,73362611,-4950586,-90878984,-9826289,-10818892,-16578387,-11076114,-5113800,-23594568,-12546890,-13874991,-8106784,-3650717,910202,-2092001
