FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082209,THYAO
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,5219149589,5429143152,0,563474269,0,696609147,693283745,990631135,1169443105,1173290193,1164543260,1452399377,1216190856,1447111955,1171383497,THYAO
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,16230777,24803192,22315533,3149690,18397106,24894084,25304456,24210530,22075465,21711829,20887881,32365446,25929264,29513418,27199531,THYAO
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),1304736250,1135674659,1021771120,1030909673,3463085919,2557364629,2410413476,2240932071,7082885022,6966212867,6701850362,8122875157,9044211906,8351217209,7996950574,THYAO
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),151396324,681488671,2074859450,2532137519,230094122,702484770,2534164661,5526985925,213890847,1134519071,2598727419,4022861658,-49003930,628271594,1949516132,THYAO
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,388856685,731634255,6591490990,5481795857,6183981488,6354485574,6802960694,6675256771,7404308735,7619665930,7570189424,10448644732,8686699953,8399644332,9116652558,THYAO
2ODA,Azınlık Payları,Minority Interests,681965,599111,539023,266923,2762172,4677305,4521257,-4916704,3617408,3618638,3071747,4436053,2378832,1180537,288589,THYAO
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,27222900399,29310722887,30412567849,30886771300,32012841493,32999814454,34651061037,35567879341,36049666704,37519590820,39601228699,49669815837,40570866714,41509404105,43154808858,THYAO
3B,Sürdürülen Faaliyetler,Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
3C,Satış Gelirleri,Net Sales,3049806648,7697062618,14021127411,18728185335,4343088969,9579912061,16162068018,21167813977,4755684551,10439369216,17098141264,28442295037,4874047825,10885685167,17879798880,THYAO
3CA,Satışların Maliyeti (-),Cost Of Sales,-2535374533,-6202495830,-10520747172,-14175615295,-3696418227,-7586660075,-11810826910,-16155084529,-4234373825,-8814357700,-13618432466,-22989561045,-4550484880,-9387808315,-14807964928,THYAO
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THYAO
