FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
2OCB,Değer Artış Fonları,Market Value Surpluses,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,LOGO,7270214,8074552,9879617,10090472,10407687,11076054,10647344,13436756,13618269,13278092,12748286,24848014,14421038,16879387,16503282,26065619,15185354,18218292,19834330,21527741,772644,2383629,1632453
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,LOGO,2621057,2516299,2221226,2320891,2068206,1952472,1908876,1271475,2218557,3278148,2949363,14726404,2851656,3624641,4540327,19018253,14875277,17981469,18842068,20136666,16506765,16628613,17115888
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),LOGO,47824828,45913370,40529359,42347883,51468339,38287251,37432358,24933947,39693030,28346075,25503079,43388426,46321517,27260607,24592212,39512365,32058398,20261302,21231039,28841693,33878738,21728607,22365349
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),LOGO,3148681,7529064,10679800,15408669,6561554,13777922,18927229,19819516,6314925,14343735,19018844,17009022,3229292,12758179,16615000,6861447,-1098053,5782280,9315322,12487065,19300544,26392079,32931585
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,LOGO,-5756701,-5817814,-4704625,-5954222,-5412620,-5759914,-6743217,-10091290,-10433595,-11510582,-11590701,15698164,-12360771,-12977897,-13591191,8456358,5024023,3511812,3195495,6948989,7058205,7547925,8498519
2ODA,Azınlık Payları,Minority Interests,LOGO,4293785,4490504,4662667,4772014,4359274,4316295,4135671,5561522,5492532,5271633,5023380,9562994,7227405,6794461,6557500,9429188,9091752,6059759,6470416,9712366,0,0,0
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,LOGO,119568277,123107817,122692743,147661008,135841025,139660156,140627186,135360668,125264747,118457503,114736544,261630258,141809796,134732543,130593488,261575041,166843085,173496882,182892533,257877544,154104515,158386257,166042264
3B,Sürdürülen Faaliyetler,Continuing Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,LOGO,16636328,33756756,50293824,77555377,18822367,40199774,59994790,85910754,19261217,42780522,64074139,173780508,46478891,96867663,137980692,131598522,29877564,70272878,110587608,155829307,28845950,64201975,102537195
3CA,Satışların Maliyeti (-),Cost Of Sales,LOGO,-3311344,-6454779,-10123713,-14169002,-3727310,-7822483,-11864514,-15992232,-4336746,-8746799,-14896065,-36439158,-9490997,-18901804,-24351013,-5139133,-810777,-2348560,-3599195,-5550031,-723831,-2034510,-3452193
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,LOGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
