FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6
1A,Dönen Varlıklar,CURRENT ASSETS,KOZAA,862410697,877873240,829222013,942648163,934058723,939074621,956946315,730456826,689856310,643239453,607386280,1017216635,688568465,524617698,443658754,600219048,409004007,437274375,463083010,483814509,461589033,467102335
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KOZAA,768815316,801817373,747767763,832558962,834921231,866076887,887805160,687336554,359975517,198136645,52952712,46102819,73605155,26756618,41591847,52247239,50702921,43007696,106228450,32672021,75689901,129520175
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KOZAA,0,0,0,0,0,0,0,0,277477546,379713625,502118898,858564328,500628524,440274144,337997594,443187109,295551639,269200038,277806100,329649690,290988325,244216701
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KOZAA,4032515,3881555,4049084,2818491,3140586,3366759,3296644,2005991,2292563,2165726,984201,3792975,2637874,2891618,2804383,4066487,2362817,1568482,1185373,2753625,2573473,1449021
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KOZAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KOZAA,21066930,2391073,3485875,4385351,3455784,3621592,4879532,4200929,5342926,17601759,6567343,7952808,34631016,4305362,3364508,7518828,2406535,1646754,649133,173011,7297409,5522074
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KOZAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KOZAA,61290891,63251696,65489042,56912562,51818171,55272715,55994154,33724032,37577250,42774543,42316072,75282832,57697860,46103767,51757128,76089118,52624692,54122845,66965874,100345562,50345010,54925124
1AG,Canlı Varlıklar,Short-Term Live Assets,KOZAA,1713287,1670192,1433005,1582332,1242806,1296473,621957,986819,942476,908672,903078,2647448,1068908,931518,934952,2290709,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KOZAA,5491757,4861352,6997244,42948457,39480146,9440196,4348867,2202501,6248031,1938483,1543976,22847480,18299128,3354671,5208342,14819557,5355403,11825618,10248080,18220600,8105551,4683616
1AI,(Ara Toplam),(Subtotal),KOZAA,862410697,877873240,829222013,941206157,934058723,939074621,956946315,730456826,689856310,643239453,607386280,1017190690,688568465,524617698,443658754,600219048,409004007,381371433,463083010,483814509,434999670,440316710
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KOZAA,0,0,0,1442006,0,0,0,0,0,0,0,25945,0,0,0,0,0,55902941,0,0,26589363,26785625
