FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,7647285,8487862,8984372,18426560,8842487,6874774,6380180,11839464,7270126,7497649,8814390,11691579,9226488,9287988,9766831,SNPAM
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,2190519,1618705,2640181,5296401,1180499,569590,215232,1848461,868743,934770,391644,2068679,1679930,503495,2423990,SNPAM
1AB,Finansal Yatırımlar,Short-Term Financial Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1AC,Ticari Alacaklar,Short-Term Trade Receivables,1612126,1879265,2213569,2501188,2746035,3034165,3006925,3397307,3470673,2878006,3141695,5568639,4572701,4650675,3348833,SNPAM
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1AE,Diğer Alacaklar,Short-Term Other Receivables,41575,60622,51334,1191705,260998,204782,173857,1043139,441268,341606,345301,338522,261802,312514,82272,SNPAM
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1AF,Stoklar,Inventories,3077423,4763253,3976720,3484191,2863033,2778362,2571521,3551050,940676,2660427,2850570,2722678,1816629,3241690,3256662,SNPAM
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1AH,Diğer Dönen Varlıklar,Other Current Assets,725643,166016,102569,5953075,1791923,287875,412646,1999507,1548767,682841,2085179,993061,895427,579615,655074,SNPAM
1AI,(Ara Toplam),(Subtotal),7647285,8487862,8984372,18426560,8842487,6874774,6380180,11839464,7270126,7497649,8814390,11691579,9226488,9287988,9766831,SNPAM
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1AK,Duran Varlıklar,LONG TERM ASSETS,14201428,13627030,13571022,44637875,18519173,15229043,17852159,206292922,36469601,37218554,41603623,221753511,177523593,179316177,185523030,SNPAM
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,284132,0,0,0,0,0,SNPAM
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1BB,Diğer Alacaklar,Other Receivables,0,0,0,0,493422,318643,270741,319416,148354,0,0,0,0,0,0,SNPAM
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1BC,Finansal Yatırımlar,Financial Investments,3384745,2973519,3266442,13016872,3158224,2342493,2209559,0,8674421,9248597,9691247,0,0,0,0,SNPAM
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,5993846,5915243,5185748,14604201,7821484,6355795,6285915,45273322,9859413,7745472,10777751,54570585,40686181,41121503,43251462,SNPAM
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,211020,177821,155658,1130021,142170,102655,94593,122192323,1355698,1445082,1513941,127886468,104833346,105607147,108701776,SNPAM
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1BFAA,Kullanım Hakkı Varlıkları,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,3746698,3384708,3089374,13733065,3195392,2890259,6047646,38315535,15213759,16531052,17171994,39255614,31971361,32555373,33537518,SNPAM
1BGA,Şerefiye,Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,5362,4609,4056,17107,3745,2712,2497,14220,9996,10358,10540,40844,32704,32155,32274,SNPAM
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,855498,1146789,1846844,2136609,1814803,1906936,1713640,0,1180491,1953861,2419298,0,0,0,0,SNPAM
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,4259,24341,22900,0,1889933,1309549,1227568,178106,27469,0,18851,0,0,0,0,SNPAM
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,21848713,22114892,22555394,63064434,27361661,22103817,24232339,218132386,43739727,44716203,50418012,233445089,186750081,188604166,195289861,SNPAM
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,2339542,2270282,2191443,4771773,3306955,2390312,2210546,5416129,3251830,3381987,4383939,4690601,3252095,3167842,2191368,SNPAM
2AA,Finansal Borçlar,Short-Term Financial Loans,1015785,960544,910770,2792691,1730330,1577792,1499882,2682838,1336949,1062995,574869,0,0,0,0,SNPAM
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,397853,274560,279513,777603,292883,205077,169703,380111,334044,241435,477994,808432,237355,214334,993021,SNPAM
2AAGAB,Diğer Borçlar,Other Short-Term Loans,39722,55031,45509,45960,27782,26710,26534,1885041,991857,975908,939251,1140943,850478,808208,776741,SNPAM
2AAGAC,Müşteri Söz. Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,0,0,140085,0,0,0,0,152879,193122,755919,2061266,2343200,1605600,1732683,45632,SNPAM
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),387532,533283,164449,231773,118665,118938,173777,0,0,0,0,0,125169,109515,43256,SNPAM
2AAGE,Borç Karşılıkları,Short-Term Provisions,196482,140927,129440,135572,132969,89221,43303,79244,73036,59715,76979,87444,66948,57154,48197,SNPAM
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,302168,305936,521678,788174,1004325,372574,297348,236016,322822,286015,253580,310582,366546,245947,284521,SNPAM
2AAGG,(Ara Toplam),(Subtotal),2339542,2270282,2191443,4771773,3306955,2390312,2210546,5416129,3251830,3381987,4383939,4690601,3252095,3167842,2191368,SNPAM
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,2111915,1736923,1519823,5396379,2515332,1658410,1307617,17962606,554025,1137833,994485,22046792,17526154,18497711,16941590,SNPAM
2BA,Finansal Borçlar,Long-Term Financial Loans,1777696,1422293,1105503,4331682,2161482,1383964,981663,319416,364253,247894,123935,0,0,0,0,SNPAM
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2BBA,Ticari Borçlar,Long-Term Trade Payables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2BBB,Diğer Borçlar,Other Long-Term Loans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,0,0,0,0,0,0,0,0,0,687693,661596,470399,350349,332936,318771,SNPAM
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,334219,314630,414320,1064697,353849,274446,325955,487992,189772,202246,208954,222309,255808,249420,472038,SNPAM
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0,0,0,0,0,0,0,17155198,0,0,0,21354084,16919996,17915355,16150781,SNPAM
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2N,Özkaynaklar,SHAREHOLDERS EQUITY,17397256,18107688,18844128,52896282,21539374,18055095,20714175,194753651,39933872,40196383,45039588,206707697,165971832,166938613,176156904,SNPAM
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,17397256,18107688,18844128,52896282,21539374,18055095,20714175,194753651,39933872,40196383,45039588,206707697,165971832,166938613,176156904,SNPAM
2OA,Ödenmiş Sermaye,Share Capital,8865551,7788442,7007293,6939996,6775138,5025203,4740028,4408080,4019342,3953134,3803116,3678156,3436090,3265314,9379148,SNPAM
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30706,SNPAM
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SNPAM
