FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,CCOLA,940253134,992950769,1070662615,1038239536,1057027503,1191705171,1091822699,802321875,1320704129,1449930084,1475543146,2483685191,1842550840,1860730471,1834593853,2362366698,1788107261,2117418603,1800758692,2156178471,1929746152,1989886744,2001625623
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,CCOLA,396381068,434345270,593619016,627039434,553529637,559911453,509069987,310162735,533511167,606706867,688205594,1232277386,692391051,657697722,770113724,1065031145,580683536,691850006,529129847,825234723,577574702,564262064,729281918
1AB,Finansal Yatırımlar,Short-Term Financial Investments,CCOLA,66325610,47789658,28599959,3116499,818507,92917,10737085,5515165,37624101,56228717,47642639,66881433,74051845,56419929,27764384,18396408,14966701,84247186,25176977,3397627,6720596,8159091,44031615
1AC,Ticari Alacaklar,Short-Term Trade Receivables,CCOLA,186974246,239067756,206781695,146970818,217440054,306169459,264648491,140060361,270462986,363012090,288204300,326857944,422761129,518466463,457990411,431526721,537443265,682749466,580503415,458833178,639118722,735696014,627454667
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,CCOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,CCOLA,4447314,4344833,4292189,4557698,5128045,3504755,4394064,1737812,1921642,2377032,2163421,7142644,2595034,3536274,2857580,5901130,4953345,8739346,13255174,20926993,14694307,12877747,6091565
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,CCOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,CCOLA,173874497,183238859,140877778,140060140,168239378,211024161,182347181,187281585,342475944,324864841,322186222,597528828,472247730,495524902,440682965,635578221,441219314,492015277,456289300,545862832,449827508,459781726,401215514
1AG,Canlı Varlıklar,Short-Term Live Assets,CCOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,CCOLA,111339512,84157392,96491978,116494948,111871883,111002426,120625892,157564218,134708289,96740537,127140971,252996957,178504049,129085181,135184788,205933072,208841100,157817323,196403979,301923119,241810317,209110101,193550344
1AI,(Ara Toplam),(Subtotal),CCOLA,939342247,992943768,1070662615,1038239536,1057027503,1191705171,1091822699,802321875,1320704129,1449930084,1475543146,2483685191,1842550840,1860730471,1834593853,2362366698,1788107261,2117418603,1800758692,2156178471,1929746152,1989886744,2001625623
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,CCOLA,910887,7002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,CCOLA,1630213629,1650812486,1601147150,1537854077,1546724655,1524304097,1740265333,1688646446,1629266069,1655811316,1602799845,3242304025,1592475479,1649713641,1667295632,3030578577,2281836778,2383199515,2453396855,3107713242,2557893730,2611287589,2674970251
1B,Ticari Alacaklar,Trade Receivables,CCOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
