FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,1442141,1257233,946728,3427184,2556433,1873874,2239041,4464179,3284849,3395092,2992249,2981940,1986640,3069859,3294009,SMART
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,126732,225879,132011,188898,292033,67702,52860,54590,168234,76775,49112,34758,59811,27457,14489,SMART
1AB,Finansal Yatırımlar,Short-Term Financial Investments,7845,0,0,20942,12785,11753,13754,43013,101651,13712,111918,14528,65799,87738,11807,SMART
1AC,Ticari Alacaklar,Short-Term Trade Receivables,1184377,935709,661493,2640552,1218460,1231937,1041664,3327789,2564598,3037394,2583917,1656726,1574990,2233059,2707915,SMART
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1AE,Diğer Alacaklar,Short-Term Other Receivables,17356,30229,28076,144774,517370,30497,22426,661716,17085,16804,16166,785916,143841,202207,9434,SMART
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,66096,0,275405,322555,905674,0,0,0,0,0,0,0,0,SMART
1AF,Stoklar,Inventories,0,0,5970,9336,158767,129760,122396,0,278349,154907,151333,348351,65469,91007,169457,SMART
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1AH,Diğer Dönen Varlıklar,Other Current Assets,105832,65416,53082,422683,81613,79671,80267,377070,154930,95500,79803,141659,76729,428393,380907,SMART
1AI,(Ara Toplam),(Subtotal),1442141,1257233,946728,3427184,2556433,1873874,2239041,4464179,3284849,3395092,2992249,2981940,1986640,3069859,3294009,SMART
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1AK,Duran Varlıklar,LONG TERM ASSETS,4763902,4550639,4424688,9796659,4709549,3958364,4465507,10282798,8028912,8967619,9923410,12901982,11041931,11019894,11338173,SMART
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1BB,Diğer Alacaklar,Other Receivables,5198,4567,4197,0,4058,7691,7214,0,0,0,0,0,0,0,0,SMART
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1BC,Finansal Yatırımlar,Financial Investments,0,0,0,0,0,0,0,0,0,0,0,83611,68539,69045,71068,SMART
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
1BFAA,Kullanım Hakkı Varlıkları,None,187740,155200,123349,369154,102589,61107,43506,792487,550089,369198,320870,915305,720612,700449,586774,SMART
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,48770,49589,49747,129258,47527,35275,41040,102682,81756,91324,84774,108094,82786,74591,69607,SMART
1BGA,Şerefiye,Goodwill,702051,616756,554898,1953626,242650,179976,169763,1791606,1301916,1388092,1454528,1875095,1537086,1548431,1593806,SMART
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,3486600,3370072,3377883,7344621,3962695,3383699,3741391,7596022,6095151,7119005,8063238,9919877,8632909,8627378,9016918,SMART
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,333169,354455,314614,0,341752,280189,327067,0,0,0,0,0,0,0,0,SMART
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,373,0,0,0,8278,10427,135526,0,0,0,0,0,0,0,0,SMART
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,6206042,5807871,5371417,13223843,7265983,5832238,6704548,14746977,11313761,12362711,12915659,15883921,13028571,14089753,14632181,SMART
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,933136,1130786,1047827,2822865,1948490,1350504,1483097,3259780,2641063,2682399,2592418,3417189,2716428,3402625,3610308,SMART
2AA,Finansal Borçlar,Short-Term Financial Loans,388898,680229,684903,1146838,857859,533840,609969,1328453,1152850,1339167,1480126,2073483,1633299,1966522,2122366,SMART
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,5551,3295,6486,120113,10341,3233,6339,9225,0,9150,29408,5581,11394,15019,9948,SMART
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,190678,165389,83424,806848,389162,382164,367501,890928,736604,586034,471720,733777,492718,986322,1012970,SMART
2AAGAB,Diğer Borçlar,Other Short-Term Loans,10428,8207,6446,21377,242054,49628,17268,5047,647,700,613,743,554,526,1223,SMART
2AAGAC,Müşteri Söz. Doğan Yük.,None,38494,8890,2049,0,6164,4530,4280,0,0,0,0,0,0,0,0,SMART
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,8886,9400,8457,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,0,0,0,17886,0,0,0,9954,6061,5961,5735,0,0,0,0,SMART
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2AAGE,Borç Karşılıkları,Short-Term Provisions,103257,91411,90366,402732,173103,128393,121106,324156,246534,227019,193257,242476,91821,183789,214551,SMART
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,186945,163966,165695,307071,269807,248716,356633,692017,498367,514368,411559,361128,486642,250448,249251,SMART
2AAGG,(Ara Toplam),(Subtotal),933136,1130786,1047827,2822865,1948490,1350504,1483097,3259780,2641063,2682399,2592418,3417189,2716428,3402625,3610308,SMART
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,288425,288897,299372,456732,264912,203062,273037,195551,61266,77142,102366,179593,117489,86036,59618,SMART
2BA,Finansal Borçlar,Long-Term Financial Loans,112745,84880,141529,95652,122817,91095,137527,60575,28759,27664,67030,135657,66103,39467,18851,SMART
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,101211,0,0,0,0,0,15163,0,0,0,0,0,SMART
2BBA,Ticari Borçlar,Long-Term Trade Payables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2BBB,Diğer Borçlar,Other Long-Term Loans,0,0,0,0,0,0,2995,0,0,0,0,0,0,0,0,SMART
2BBBA,Müşteri Söz.Doğan Yük.,None,0,0,0,0,11819,11450,10801,0,0,0,0,0,0,0,0,SMART
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,28829,29750,24652,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,146850,174266,133191,259870,130276,100517,121715,134977,32507,34315,35335,43936,51387,46568,40768,SMART
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2N,Özkaynaklar,SHAREHOLDERS EQUITY,4984481,4388188,4024218,9944247,5052580,4278672,4948414,11291645,8611431,9603169,10220876,12287140,10194654,10601092,10962255,SMART
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,4984481,4388188,4024218,9944247,5052580,4278672,4948414,11291645,8611431,9603169,10220876,12287140,10194654,10601092,10962255,SMART
2OA,Ödenmiş Sermaye,Share Capital,2172912,1908917,1717461,1700966,1660560,1231658,1161763,1080403,985125,968898,932129,901502,842172,800316,766264,SMART
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,1076950,946107,851216,3766890,823015,610440,575799,3454492,2510249,2676407,2804503,3615471,2963737,2985613,3073101,SMART
2OCB,Değer Artış Fonları,Market Value Surpluses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,144545,116937,105209,370803,109020,80861,76543,340051,247102,263459,276068,355898,291743,293896,302508,SMART
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),1323309,1172582,1054977,-1161652,2112987,1574383,1484768,-3274698,-779402,-830992,-870765,-1122771,-562080,-566229,-582822,SMART
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),252107,254621,312711,-2409008,342642,780138,1665260,2201919,290997,802520,1031336,437088,194978,555422,650330,SMART
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,14659,-10976,-17356,7676248,4357,1192,-15718,7489478,5357360,5722878,6047605,7870705,6464105,6532073,6752873,SMART
2ODA,Azınlık Payları,Minority Interests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,6206042,5807871,5371417,13223843,7265983,5832238,6704548,14746977,11313761,12362711,12915659,15883921,13028571,14089753,14632181,SMART
3B,Sürdürülen Faaliyetler,Continuing Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
3C,Satış Gelirleri,Net Sales,697960,1235045,1876567,6452495,1949219,5036343,7260714,10155622,1703664,4073260,6275130,7735690,1414349,3514994,4971007,SMART
3CA,Satışların Maliyeti (-),Cost Of Sales,-174898,-336984,-498857,-1283736,-361484,-1094676,-1222537,-1967414,-225780,-713628,-982985,-1398006,-427746,-722993,-897224,SMART
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,523062,898061,1377710,5168759,1587735,3941667,6038178,8188209,1477885,3359633,5292145,6337684,986603,2792001,4073784,SMART
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SMART
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),523062,898061,1377710,5168759,1587735,3941667,6038178,8188209,1477885,3359633,5292145,6337684,986603,2792001,4073784,SMART
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-10189,-15741,-16754,-44235,-16022,-24693,-63261,-70046,-3503,-8328,-9671,-13581,-4211,-7204,-9438,SMART
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-96677,-205147,-295565,-764775,-385550,-601115,-982843,-1222853,-279324,-603116,-1093244,-1575902,-205230,-409812,-783392,SMART
