HISSE_KODU,HisseTanim,SEKTOR_KODU,BHG_GRUP_KODU,PRICE_TL,ONERI,HEDEF_PD_YTL1,HEDEF_FIYAT,GETIRI_POT,TARIH,SHHE_TIP_KODU,SHHE_HS_KODU,SHHE_TARIH,SHHE_BDLI_ORAN,SHHE_BDLI_TUTAR,SHHE_BDLI_NOM_TUTAR,SHHE_RHK_ORAN,SHHE_RHK_TUTAR,SHHE_RHK_NOM_TUTAR,SHHE_BDSZ_IK_ORAN,SHHE_BDSZ_IK_TUTAR,SHHE_BDSZ_TM_ORAN,SHHE_BDSZ_TM_TUTAR,SHHE_BDSZ_BU_ORAN,SHHE_BDSZ_BU_TUTAR,SHHE_NM_SER_CARPANI,SHHE_NAKIT_TM_ORAN,SHHE_NAKIT_TM_TUTAR,SHHE_FIYAT_AYAR_OR,SHHE_ACIKLAMA,SHHE_AYAR_KUL,SHHE_NAKIT_TM_ORAN_NET,HSP_BOLUNME_ONCESI_SERMAYE,HSP_BOLUNME_SONRASI_SERMAYE,SHT_KODU,SHT_TANIMI,SHT_TANIMI_YD,SPLIT_RATIO
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2020-11-30,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,36.8919,811621800,0.9765318702290071,,H,31.35811,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2021-04-30,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,39.17859,861928980,0.97475605670103,,H,33.3018,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2021-07-30,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,39.17859,861928980,0.9747397807865891,,H,33.3018,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2021-10-27,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,39.17859,861928980,0.9750930705657971,,H,33.3018,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2022-07-26,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,57.17157,1257774540,0.9678449961841961,,H,51.45441,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2023-12-20,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,102.72727,2260000000,0.9811509541284401,,H,92.45454,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2024-12-05,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,285.31809,6276998060,0.9696953697356261,,H,256.78628,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
TCELL,Turkcell,50,9,93.1,AL,318763.6,144.89254545454546,0.556310907137974,1761782400000,4,TCELL,2025-06-20,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,181.81818,4000000000,0.9794787580017771,,H,154.54545,2200000000,2200000000,4,Nakit Temettü,Cash Dividend,1.0
