HISSE_KODU,HisseTanim,SEKTOR_KODU,BHG_GRUP_KODU,PRICE_TL,ONERI,HEDEF_PD_YTL1,HEDEF_FIYAT,GETIRI_POT,TARIH,SHHE_TIP_KODU,SHHE_HS_KODU,SHHE_TARIH,SHHE_BDLI_ORAN,SHHE_BDLI_TUTAR,SHHE_BDLI_NOM_TUTAR,SHHE_RHK_ORAN,SHHE_RHK_TUTAR,SHHE_RHK_NOM_TUTAR,SHHE_BDSZ_IK_ORAN,SHHE_BDSZ_IK_TUTAR,SHHE_BDSZ_TM_ORAN,SHHE_BDSZ_TM_TUTAR,SHHE_BDSZ_BU_ORAN,SHHE_BDSZ_BU_TUTAR,SHHE_NM_SER_CARPANI,SHHE_NAKIT_TM_ORAN,SHHE_NAKIT_TM_TUTAR,SHHE_FIYAT_AYAR_OR,SHHE_ACIKLAMA,SHHE_AYAR_KUL,SHHE_NAKIT_TM_ORAN_NET,HSP_BOLUNME_ONCESI_SERMAYE,HSP_BOLUNME_SONRASI_SERMAYE,SHT_KODU,SHT_TANIMI,SHT_TANIMI_YD,SPLIT_RATIO
AKENR,Akenerji,11,9,12.4,,0,0,0,-62135596800000,99,AKENR,2000-06-27 23:00:00,0.0,0,0,17,2300000,32500,0.0,0,0.0,0,0,0,0,0.0,0,1.0,,E,0.0,11200000,13500000,99,Birincil Halka Arz,IPO,1.2053571428571428
AKENR,Akenerji,11,9,12.4,,0,0,0,-62135596800000,2,AKENR,2002-05-30 23:00:00,0.0,0,0,0,0,0,153.173,20678403,146.827,19821597,0,0,0,0.0,0,0.25,,H,0.0,13500000,54000000,2,Bedelsiz Sermaye Artırımı,Bonus Issue,4.0
AKENR,Akenerji,11,9,12.4,,0,0,0,-62135596800000,5,AKENR,2003-05-28 23:00:00,0.0,0,0,0,0,0,10.0,5400000,0.0,0,0,0,0,15.602,8422799,0.888682733812949,,H,15.6,54000000,59400000,5,Bedelsiz ve Nakit Temettü,Bonus Issue and Cash Dividend,1.1
AKENR,Akenerji,11,9,12.4,,0,0,0,-62135596800000,2,AKENR,2004-06-06 23:00:00,0.0,0,0,0,0,0,10.0,5940000,0.0,0,0,0,0,0.0,0,0.9090909090909091,,H,0.0,59400000,65340000,2,Bedelsiz Sermaye Artırımı,Bonus Issue,1.1
AKENR,Akenerji,11,9,12.4,,0,0,0,-62135596800000,4,AKENR,2009-05-04 00:00:00,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,26.83,17530000,0.9676746987951801,,H,22.81,65340000,65340000,4,Nakit Temettü,Cash Dividend,1.0
AKENR,Akenerji,11,9,12.4,,0,0,0,-62135596800000,1,AKENR,2010-04-13 00:00:00,475.17,310474000,1000,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.21711497382198902,,H,0.0,65340000,375814000,1,Bedelli Sermaye Artırımı,Rights Issue,5.751668197122743
AKENR,Akenerji,11,9,12.4,,0,0,0,-62135596800000,1,AKENR,2012-12-13 23:00:00,94.02,353350000,1000,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.734681900452488,,H,0.0,375814000,729164000,1,Bedelli Sermaye Artırımı,Rights Issue,1.9402257499720605
