HISSE_KODU,HisseTanim,SEKTOR_KODU,BHG_GRUP_KODU,PRICE_TL,ONERI,HEDEF_PD_YTL1,HEDEF_FIYAT,GETIRI_POT,TARIH,SHHE_TIP_KODU,SHHE_HS_KODU,SHHE_TARIH,SHHE_BDLI_ORAN,SHHE_BDLI_TUTAR,SHHE_BDLI_NOM_TUTAR,SHHE_RHK_ORAN,SHHE_RHK_TUTAR,SHHE_RHK_NOM_TUTAR,SHHE_BDSZ_IK_ORAN,SHHE_BDSZ_IK_TUTAR,SHHE_BDSZ_TM_ORAN,SHHE_BDSZ_TM_TUTAR,SHHE_BDSZ_BU_ORAN,SHHE_BDSZ_BU_TUTAR,SHHE_NM_SER_CARPANI,SHHE_NAKIT_TM_ORAN,SHHE_NAKIT_TM_TUTAR,SHHE_FIYAT_AYAR_OR,SHHE_ACIKLAMA,SHHE_AYAR_KUL,SHHE_NAKIT_TM_ORAN_NET,HSP_BOLUNME_ONCESI_SERMAYE,HSP_BOLUNME_SONRASI_SERMAYE,SHT_KODU,SHT_TANIMI,SHT_TANIMI_YD,SPLIT_RATIO
VAKBN,Vakıfbank,1,9,27.08,AL,426385,43.000037770656526,0.587889134809762,1754524800000,7,VAKBN,2020-05-21,0,0,0,56.2248996,1405622489.96,1000,0.0,0,0,0,0,0,0,0.0,0.0,1.0,,E,0.0,2499999999.9999995,3905622489.9599996,7,Rüçhan Hakkı Kısıtlanarak,Restrictive Preemptive Rights,1.562248995984
VAKBN,Vakıfbank,1,9,27.08,AL,426385,43.000037770656526,0.587889134809762,1754524800000,7,VAKBN,2022-03-10,0,0,0,82.08017,3205741626.794,1000,0.0,0,0,0,0,0,0,0.0,0.0,1.0,,E,0.0,3905622489.9599996,7111364116.754,7,Rüçhan Hakkı Kısıtlanarak,Restrictive Preemptive Rights,1.8208017121559623
VAKBN,Vakıfbank,1,9,27.08,AL,426385,43.000037770656526,0.587889134809762,1754524800000,7,VAKBN,2023-03-30,0,0,0,39.43768,2804557405.784,1000,0.0,0,0,0,0,0,0,0.0,0.0,1.0,,E,0.0,7111364116.754,9915921522.538,7,Rüçhan Hakkı Kısıtlanarak,Restrictive Preemptive Rights,1.3943768536864272
