HISSE_KODU,HisseTanim,SEKTOR_KODU,BHG_GRUP_KODU,PRICE_TL,ONERI,HEDEF_PD_YTL1,HEDEF_FIYAT,GETIRI_POT,TARIH,SHHE_TIP_KODU,SHHE_HS_KODU,SHHE_TARIH,SHHE_BDLI_ORAN,SHHE_BDLI_TUTAR,SHHE_BDLI_NOM_TUTAR,SHHE_RHK_ORAN,SHHE_RHK_TUTAR,SHHE_RHK_NOM_TUTAR,SHHE_BDSZ_IK_ORAN,SHHE_BDSZ_IK_TUTAR,SHHE_BDSZ_TM_ORAN,SHHE_BDSZ_TM_TUTAR,SHHE_BDSZ_BU_ORAN,SHHE_BDSZ_BU_TUTAR,SHHE_NM_SER_CARPANI,SHHE_NAKIT_TM_ORAN,SHHE_NAKIT_TM_TUTAR,SHHE_FIYAT_AYAR_OR,SHHE_ACIKLAMA,SHHE_AYAR_KUL,SHHE_NAKIT_TM_ORAN_NET,HSP_BOLUNME_ONCESI_SERMAYE,HSP_BOLUNME_SONRASI_SERMAYE,SHT_KODU,SHT_TANIMI,SHT_TANIMI_YD,SPLIT_RATIO
AKFGY,Akfen GYO,15,9,2.7,,0,0,0,-62135596800000,7,AKFGY,2021-01-12,0,0,0,32.10119,59066190,1000,0.0,0,0,0,0,0,0,0,0,1.0,,E,0,739353676,798419866,7,Rüçhan Hakkı Kısıtlanarak,Restrictive Preemptive Rights,1.0798889515496235
AKFGY,Akfen GYO,15,9,2.7,,0,0,0,-62135596800000,7,AKFGY,2021-02-10,0,0,0,41.79114,101580134,1000,0.0,0,0,0,0,0,0,0,0,1.0,,E,0,798419866,900000000,7,Rüçhan Hakkı Kısıtlanarak,Restrictive Preemptive Rights,1.1272264610710476
AKFGY,Akfen GYO,15,9,2.7,,0,0,0,-62135596800000,2,AKFGY,2021-12-07,0,0,0,0.0,0,0,44.44444,400000000,0,0,0,0,0,0,0,0.6923077247191011,,H,0,900000000,1300000000,2,Bedelsiz Sermaye Artırımı,Bonus Issue,1.4444444444444444
AKFGY,Akfen GYO,15,9,2.7,,0,0,0,-62135596800000,1,AKFGY,2023-12-14,200,2600000000,1000,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.49794246913580203,,H,0,1300000000,3900000000,1,Bedelli Sermaye Artırımı,Rights Issue,3.0
