feature,importance
macro_bist100_distance_ma200,10.112686414633329
macro_usdtry_vol_60d,8.141621235882148
macro_us_cli,7.89520348118653
macro_bist100_vol_60d,4.837225726388243
macro_bist100_roc_60d,4.731021281461047
macro_m2_yoy,4.696133276334245
macro_tcmb_repo,4.37551836964364
macro_eur_usd_implied,3.7127381039998526
macro_usdtry_distance_ma200,3.441117097922117
macro_usdtry_vol_regime,2.9511842424637353
macro_bist100_vol_regime,2.9232792775547347
macro_bist100_roc_1d,2.549160163990673
macro_us_cpi_yoy,2.4485881969086076
macro_bist100_roc_5d,2.311451739237501
macro_us_cli_roc_20d,2.1428968208516457
macro_m2,1.8291748987433882
macro_eurtry_roc_20d,1.794014918956986
macro_cpi_yoy,1.4334273746807853
macro_usdtry_roc_5d,1.3780176962699107
macro_usdtry_vol_20d,1.3646115433028378
macro_bist100_roc_20d,1.2143179963888115
macro_bist100_vol_20d,1.1239830956026975
macro_bist100,1.0726380815426197
macro_tcmb_rate_change_5d,1.0661124791166012
macro_usdtry_ma200,0.9095951857494594
macro_usdtry_roc_20d,0.9028057314706331
macro_bist100_ma200,0.8731752589828565
macro_eurtry_roc_5d,0.8596127952448498
fund_revenue_growth_yoy,0.8492673803457791
price_distance_from_ma200,0.8345238262294093
macro_eurtry_vs_bist100,0.7808306116945374
price_vol_60d,0.7237574735360918
fund_profit_growth_yoy,0.7135891423566267
macro_us_cpi,0.7096534786020203
macro_cpi,0.6309984104458227
macro_usdtry_roc_1d,0.4811346701452891
macro_usd_try,0.4760522641296605
macro_usdtry_vs_bist100,0.4725263474353555
fund_total_assets,0.4314729752878982
fund_debt_to_equity,0.41997059059759895
price_sma_50,0.41973567661943917
price_volume,0.3994811245945232
price_macd_signal,0.3973168903303923
macro_eur_usd_roc_1d,0.3905079031940392
fund_roe,0.3589975390027487
price_return_20d,0.3444168976289722
price_sma_20,0.33096333560821456
fund_roa,0.32874313018607226
fund_net_margin,0.3169947350772838
price_sma_200,0.304897662023126
fund_revenue,0.29677794612746466
fund_long_term_liabilities,0.2942096270777667
price_close,0.2928988886774052
fund_current_ratio,0.28294270503785524
price_adj_open,0.2682441161351055
price_obv,0.2625950637706696
fund_depreciation,0.25694730863505266
macro_eurtry_roc_1d,0.2360925239421075
fund_net_profit,0.2169794108371084
price_adj_high,0.2041471961471891
fund_current_assets,0.203524048630994
price_adj_low,0.1989875500521868
price_atr_14,0.18836142396159178
price_macd,0.1855897376976176
price_macd_hist,0.1783452155783458
macro_tcmb_rate_change,0.1707592244800962
fund_current_liabilities,0.16676873648847151
fund_total_debt,0.1555077044667882
fund_ebitda,0.1532706007057936
fund_gross_profit,0.14655063277766978
price_vol_20d,0.1420336014769189
macro_eur_try,0.13900603331037628
fund_operating_profit,0.13588536413956562
fund_net_sales,0.12406353561481262
fund_total_equity,0.12370384024304412
fund_total_liabilities,0.11777202068615635
macro_cpi_mom,0.11247533317257655
macro_tcmb_rate_roc_1d,0.10941818813654602
price_rsi_14,0.08887151608448132
macro_us_cli_roc_1d,0.07028153564414237
macro_m2_mom,0.0647984060566486
price_is_dividend_day,0.06469922831971395
price_return_5d,0.055908074273074926
macro_us_cpi_mom,0.05486649067392712
price_return_1d,0.019943769461791074
price_roc_10,0.009628851897543303
