feature,importance
macro_bist100_distance_ma200,9.243137678267654
macro_us_cli,8.395628599787837
macro_usdtry_vol_60d,7.678837067744818
macro_tcmb_repo,5.102727953710759
macro_m2_yoy,4.982679974572544
macro_bist100_vol_60d,4.734614920428178
macro_bist100_roc_60d,4.46423863651265
macro_eur_usd_implied,4.141884099712951
macro_usdtry_distance_ma200,3.941207575032685
macro_bist100_roc_5d,2.970860021083723
macro_bist100_vol_regime,2.7521378234250937
macro_bist100_roc_1d,2.5324164263613707
macro_us_cpi_yoy,2.3301949981681154
macro_usdtry_vol_20d,2.31257611667689
macro_usdtry_vol_regime,2.0593659005890017
macro_cpi_yoy,1.845990067364929
macro_us_cli_roc_20d,1.5843303760431027
macro_bist100_roc_20d,1.5615730431367651
macro_eurtry_roc_20d,1.5066968871475739
macro_usdtry_roc_5d,1.3363253217212356
macro_m2,1.2109610923977228
macro_bist100_ma200,1.1728412372406578
macro_bist100,1.1240227531644664
macro_bist100_vol_20d,1.1158976099644695
fund_revenue_growth_yoy,0.9234401371684461
macro_eurtry_roc_5d,0.8790541502441943
price_distance_from_ma200,0.8449777406356607
macro_tcmb_rate_change_5d,0.8068361178885232
macro_eurtry_vs_bist100,0.7590356735978792
macro_us_cpi,0.6964930229477313
fund_profit_growth_yoy,0.6693555274634307
price_vol_60d,0.6140306025812705
price_sma_50,0.6025787003978247
macro_usdtry_roc_20d,0.5993881483633802
macro_usdtry_roc_1d,0.5084476898087856
macro_usdtry_ma200,0.5026747310078665
macro_cpi,0.4565353461356555
price_volume,0.4481199939948079
fund_roe,0.40499959486547255
macro_eur_usd_roc_1d,0.4015494507832124
macro_eur_try,0.38817390151226283
fund_total_assets,0.3840806664521107
macro_usdtry_vs_bist100,0.38153406626059155
price_close,0.3567205090314672
fund_depreciation,0.34632764053723525
fund_debt_to_equity,0.3438874214234987
price_macd_signal,0.3422357964277002
macro_eurtry_roc_1d,0.3379145849197297
price_sma_20,0.3330641757480917
price_return_20d,0.330254229679541
fund_roa,0.32184784432962144
price_adj_open,0.3106443409107685
price_sma_200,0.3032907353297635
fund_current_liabilities,0.2678421786375308
fund_long_term_liabilities,0.25797746406465927
macro_usd_try,0.2526990071493463
price_adj_high,0.2476878737466599
fund_net_margin,0.24749253336513666
fund_total_equity,0.24416413019455763
price_atr_14,0.23191163218887703
fund_net_sales,0.22433486742636607
fund_gross_profit,0.220337594240914
fund_net_profit,0.20300770170752708
macro_macro_regime_up,0.1897939782062445
fund_total_debt,0.1877953106599927
fund_current_ratio,0.18724183014462198
fund_operating_profit,0.17503439546047958
price_obv,0.174884053477713
price_vol_20d,0.16241396015813087
price_adj_low,0.1529645488532225
macro_macro_regime_down,0.14733051206700987
fund_current_assets,0.13857604211356594
fund_revenue,0.13614581292819736
macro_tcmb_rate_change,0.13248284163985322
price_macd,0.12328274630071691
price_macd_hist,0.11983058494159672
price_rsi_14,0.11485213303805754
fund_total_liabilities,0.10808411343321715
fund_ebitda,0.10625025051876126
macro_cpi_mom,0.10202430044419784
macro_tcmb_rate_roc_1d,0.09892437329762582
price_is_dividend_day,0.0945585119978605
macro_us_cli_roc_1d,0.08464352733689552
macro_us_cpi_mom,0.0722123403521075
price_return_5d,0.02770561055724806
price_roc_10,0.025581534863058725
price_return_1d,0.021519311063202175
macro_m2_mom,0.019773672723119088
