date,bist100,cpi,eur_try,m2,tcmb_repo,us_cli,us_cpi,usd_try
2020-03-07,1157.48,450.58,7.7211,2681493623.0,1363.0,97.1,118.37124035,6.8428
2020-03-08,1157.48,450.58,7.7211,2681493623.0,1363.0,97.1,118.37124035,6.8428
2020-03-09,1076.34,450.58,8.7321,2681493623.0,1363.0,97.1,118.37124035,7.3563
2020-03-10,1076.34,450.58,8.7321,2681493623.0,1363.0,97.1,118.37124035,7.3563
2020-03-11,1150.71,450.58,9.7506,2681493623.0,1363.0,97.1,118.37124035,8.376
2020-03-12,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-13,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-14,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-15,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-16,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-17,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-18,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-19,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-20,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-21,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-22,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-23,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-24,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-25,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-26,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-27,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-28,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-29,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-30,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-03-31,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
2020-04-01,1330.85,454.43,9.4134,2910666523.0,1272.0,92.2,117.57969875,7.808
2020-04-02,1221.36,454.43,6.6154,2910666523.0,1272.0,92.2,117.57969875,5.9755
2020-04-03,1107.85,454.43,6.8889,2910666523.0,1272.0,92.2,117.57969875,6.1943
2020-04-04,1107.85,454.43,6.8889,2910666523.0,1272.0,92.2,117.57969875,6.1943
2020-04-05,988.42,454.43,7.5827,2910666523.0,1272.0,92.2,117.57969875,6.9719
2020-04-06,1095.37,454.43,7.5439,2910666523.0,1272.0,92.2,117.57969875,6.7308
2020-04-07,1095.37,454.43,7.5439,2910666523.0,1272.0,92.2,117.57969875,6.7308
2020-04-08,1087.16,454.43,8.1481,2910666523.0,1272.0,92.2,117.57969875,6.9372
2020-04-09,1086.32,454.43,8.7435,2910666523.0,1272.0,92.2,117.57969875,7.3994
2020-04-10,1086.32,454.43,8.7435,2910666523.0,1272.0,92.2,117.57969875,7.3994
2020-04-11,1167.65,454.43,9.8802,2910666523.0,1272.0,92.2,117.57969875,8.4546
2020-04-12,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-13,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-14,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-15,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-16,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-17,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-18,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-19,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-20,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-21,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-22,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-23,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-24,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-25,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-26,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-27,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-28,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-29,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-04-30,1330.87,454.43,9.5106,2910666523.0,1272.0,92.2,117.57969875,7.8472
2020-05-01,1330.87,460.62,9.5106,2918865211.0,1247.0,93.8,117.58199174,7.8472
2020-05-02,1223.21,460.62,6.6017,2918865211.0,1247.0,93.8,117.58199174,5.9714
2020-05-03,1118.15,460.62,6.7927,2918865211.0,1247.0,93.8,117.58199174,6.0904
2020-05-04,1118.15,460.62,6.7927,2918865211.0,1247.0,93.8,117.58199174,6.0904
2020-05-05,987.38,460.62,7.6739,2918865211.0,1247.0,93.8,117.58199174,7.0151
2020-05-06,1100.22,460.62,7.5677,2918865211.0,1247.0,93.8,117.58199174,6.7476
2020-05-07,1100.22,460.62,7.5677,2918865211.0,1247.0,93.8,117.58199174,6.7476
2020-05-08,1091.8,460.62,8.1676,2918865211.0,1247.0,93.8,117.58199174,6.9334
2020-05-09,1091.8,460.62,8.1676,2918865211.0,1247.0,93.8,117.58199174,6.9334
2020-05-10,1160.71,460.62,9.0598,2918865211.0,1247.0,93.8,117.58199174,7.7288
2020-05-11,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-12,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-13,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-14,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-15,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-16,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-17,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-18,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-19,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-20,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-21,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-22,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-23,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-24,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-25,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-26,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-27,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-28,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-29,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-30,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-05-31,1180.02,460.62,9.8715,2918865211.0,1247.0,93.8,117.58199174,8.4553
2020-06-01,1114.13,465.84,6.6464,3001226936.0,1042.0,95.7,118.22540592,5.9627
2020-06-02,1222.84,465.84,6.5918,3001226936.0,1042.0,95.7,118.22540592,5.976
2020-06-03,1096.01,465.84,6.778,3001226936.0,1042.0,95.7,118.22540592,6.0772
2020-06-04,920.71,465.84,7.2279,3001226936.0,1042.0,95.7,118.22540592,6.6903
2020-06-05,985.71,465.84,7.6624,3001226936.0,1042.0,95.7,118.22540592,7.055
2020-06-06,985.71,465.84,7.6624,3001226936.0,1042.0,95.7,118.22540592,7.055
2020-06-07,1184.85,465.84,7.6859,3001226936.0,1042.0,95.7,118.22540592,6.8422
2020-06-08,1034.4,465.84,8.2718,3001226936.0,1042.0,95.7,118.22540592,6.9872
2020-06-09,1034.4,465.84,8.2718,3001226936.0,1042.0,95.7,118.22540592,6.9872
2020-06-10,1153.71,465.84,9.0815,3001226936.0,1042.0,95.7,118.22540592,7.7307
2020-06-11,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-12,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-13,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-14,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-15,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-16,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-17,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-18,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-19,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-20,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-21,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-22,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-23,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-24,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-25,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-26,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-27,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-28,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-29,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-06-30,1191.96,465.84,9.9416,3001226936.0,1042.0,95.7,118.22540592,8.4417
2020-07-01,1126.0,468.56,6.6718,3141593256.0,1031.0,97.3,118.82341881,5.9658
2020-07-02,1210.15,468.56,6.5761,3141593256.0,1031.0,97.3,118.82341881,5.9783
2020-07-03,1210.15,468.56,6.5761,3141593256.0,1031.0,97.3,118.82341881,5.9783
2020-07-04,923.82,468.56,7.299,3141593256.0,1031.0,97.3,118.82341881,6.7549
2020-07-05,983.99,468.56,7.7112,3141593256.0,1031.0,97.3,118.82341881,7.1334
2020-07-06,983.99,468.56,7.7112,3141593256.0,1031.0,97.3,118.82341881,7.1334
2020-07-07,1193.39,468.56,7.7356,3141593256.0,1031.0,97.3,118.82341881,6.8467
2020-07-08,1060.59,468.56,8.486,3141593256.0,1031.0,97.3,118.82341881,7.1593
2020-07-09,1096.81,468.56,8.7822,3141593256.0,1031.0,97.3,118.82341881,7.4133
2020-07-10,1152.41,468.56,9.1257,3141593256.0,1031.0,97.3,118.82341881,7.7452
2020-07-11,1152.41,468.56,9.1257,3141593256.0,1031.0,97.3,118.82341881,7.7452
2020-07-12,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-13,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-14,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-15,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-16,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-17,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-18,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-19,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-20,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-21,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-22,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-23,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-24,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-25,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-26,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-27,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-28,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-29,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-30,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-07-31,1329.9,468.56,9.4625,3141593256.0,1031.0,97.3,118.82341881,7.7796
2020-08-01,1128.76,472.61,6.6628,3196795800.0,954.0,98.0,119.19809406,5.9594
2020-08-02,1128.76,472.61,6.6628,3196795800.0,954.0,98.0,119.19809406,5.9594
2020-08-03,1128.76,472.61,6.6628,3196795800.0,954.0,98.0,119.19809406,5.9594
2020-08-04,932.25,472.61,7.3253,3196795800.0,954.0,98.0,119.19809406,6.7375
2020-08-05,978.45,472.61,7.7944,3196795800.0,954.0,98.0,119.19809406,7.2209
2020-08-06,1096.37,472.61,7.6644,3196795800.0,954.0,98.0,119.19809406,6.7573
2020-08-07,1187.13,472.61,7.73,3196795800.0,954.0,98.0,119.19809406,6.8519
2020-08-08,1187.13,472.61,7.73,3196795800.0,954.0,98.0,119.19809406,6.8519
2020-08-09,1089.6,472.61,8.7938,3196795800.0,954.0,98.0,119.19809406,7.4349
2020-08-10,1150.49,472.61,9.2058,3196795800.0,954.0,98.0,119.19809406,7.8267
2020-08-11,1150.49,472.61,9.2058,3196795800.0,954.0,98.0,119.19809406,7.8267
2020-08-12,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-13,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-14,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-15,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-16,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-17,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-18,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-19,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-20,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-21,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-22,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-23,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-24,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-25,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-26,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-27,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-28,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-29,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-30,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
2020-08-31,1339.89,472.61,9.4913,3196795800.0,954.0,98.0,119.19809406,7.8373
