rebalance_date,n_universe,n_liquid,strategy_gross_ret,strategy_net_ret,market_ret,alpha_ret,hit_rate_nominal,alpha_positive,strategy_equity,market_equity,alpha_equity
2020-01-02,78,78,0.13267070569011757,0.13167070569011757,0.49391031037772887,-0.3622396046876113,0.6,0.0,1.1316707056901176,1.493910310377729,0.6377603953123887
2020-03-26,73,73,1.5229143953034168,1.5219143953034169,-0.10436187399030682,1.6262762692937236,1.0,1.0,2.853976643423084,1.3380030308132682,1.6749349917043106
2020-06-25,82,82,0.6419881863380988,0.6409881863380988,0.1328568072754119,0.5081313790626869,1.0,1.0,4.683341955942142,1.5157658416119437,2.526022018879372
2020-09-22,90,90,1.0255337116413155,1.0245337116413156,-0.058186207713727,1.0827199193550425,1.0,1.0,9.481583672949043,1.427569175506539,5.260996375449508
2020-12-16,88,88,1.6374888770957639,1.636488877095764,0.2164576371142126,1.4200312399815513,1.0,1.0,24.99808989098295,1.736577426053769,12.731775582017521
2021-03-11,86,86,2.9500984589269477,2.9490984589269478,-0.04674117502569441,2.995839633952642,1.0,1.0,98.71991826459808,1.6554077566369199,50.87413348121608
2021-06-09,93,93,1.6948241423030221,1.6938241423030223,-0.014951990886405501,1.7087761331894278,1.0,1.0,265.93409914735537,1.6306561149463996,137.80663857061128
2021-09-09,89,89,3.9812173101287818,3.980217310128782,0.0720879483984662,3.9081293617303157,1.0,1.0,1324.4096039271628,1.748206768816299,676.3728090097746
2021-12-03,101,101,0.8293258554313068,0.8283258554313068,2.186722657780003,-1.3583968023486963,1.0,0.0,2421.452322041568,5.571050120671267,-242.40985194470872
2022-02-25,95,95,1.1714499934516787,1.1704499934516788,-0.0010477597084004,1.1714977531600792,1.0,1.0,5255.641176518674,5.565212998821348,-526.3924488418024
2022-05-26,104,104,0.9768764469046916,0.9758764469046916,-0.02054351048959519,0.9964199573942868,1.0,1.0,10384.497614065709,5.4508839872032295,-1050.9003902894256
2022-08-23,104,104,4.546475643906895,4.545475643906895,-0.08245399429974141,4.627929638206636,1.0,1.0,57586.97859301065,5.001436829993823,-5914.3934533127795
2022-11-16,95,95,0.789748665813214,0.788748665813214,0.720024329316602,0.06872433649661203,1.0,1.0,103008.63112646191,8.602593029129478,-6320.8562191716055
2023-02-15,78,78,0.6014198363664003,0.6004198363664003,0.05138563759685372,0.5490341987695466,1.0,1.0,164857.05657173906,9.044642756917545,-9791.222449001994
2023-05-12,105,105,2.595826898747482,2.594826898747482,0.0332463741495414,2.561580524597941,1.0,1.0,592632.5814124229,9.345344334062966,-34872.22718637166
2023-08-10,109,109,5.998627415890199,5.997627415890198,-0.4319868353092381,6.429614251199436,1.0,1.0,4147021.9992413507,5.308278610315987,-259087.1960749313
2023-11-03,108,108,4.212182956704735,4.211182956704735,0.8788804114293448,3.33230254527539,1.0,1.0,21610890.363526125,9.973620699332093,-1122444.119003689
2024-01-29,109,109,0.985187105766569,0.984187105766569,0.11266741699493509,0.8715196887716339,1.0,1.0,42880050.00344354,11.097322781613059,-2100676.268261335
2024-04-26,110,110,1.1923744091161124,1.1913744091161125,-0.09507538400068784,1.2864497931168004,1.0,1.0,93966244.23916544,10.042240556771617,-4803090.818971502
2024-07-26,109,109,3.2751381884766837,3.274138188476684,0.12887136672505342,3.14526682175163,1.0,1.0,401624712.9303442,11.336397822304535,-19910093.01374243
2024-10-21,108,108,1.8677351057029938,1.866735105702994,0.11101957316692762,1.7557155325360663,1.0,1.0,1151351663.875305,12.594959869787273,-54866552.57220783
2025-01-15,111,111,1.1326704869253816,1.1316704869253817,-0.0272828875013144,1.1589533744266962,1.0,1.0,2454302361.9554195,12.251332996576297,-118454328.81892782
2025-04-11,110,110,0.6637023401486258,0.6627023401486258,0.0009556445332185999,0.6617466956154072,1.0,1.0,4080774280.6555758,12.263040915979115,-196841089.4961942
2025-07-11,111,111,2.0638381041634584,2.0628381041634585,-0.11581459339669542,2.178652697560154,1.0,1.0,12498750961.282125,10.842801818487954,-625689460.1177574
