iter	Logloss
0	0.6777275193
1	0.6675733953
2	0.6592032387
3	0.6515270681
4	0.6444970895
5	0.6361294542
6	0.6292750315
7	0.6237126127
8	0.6184119188
9	0.6134771492
10	0.6080532773
11	0.6025022383
12	0.5969363349
13	0.5909109356
14	0.5848396849
15	0.57982139
16	0.5765001601
17	0.5734901039
18	0.5695741236
19	0.5655698617
20	0.5624791501
21	0.5587358723
22	0.5543866544
23	0.5499839773
24	0.548032666
25	0.5449963977
26	0.5424608977
27	0.5402198833
28	0.5386269224
29	0.5369547147
30	0.5356513971
31	0.5342942172
32	0.5325877438
33	0.5311801671
34	0.5280491978
35	0.5267555218
36	0.5257130806
37	0.5242170619
38	0.5218570307
39	0.5194963481
40	0.5177117697
41	0.5164572934
42	0.5152661833
43	0.5124138627
44	0.5112072597
45	0.509828343
46	0.5082820169
47	0.5066293742
48	0.5057799457
49	0.5042897647
50	0.5028629412
51	0.5018559909
52	0.5008662817
53	0.4995781591
54	0.4987994451
55	0.4981185039
56	0.4968133365
57	0.4948579369
58	0.493743664
59	0.4925843405
60	0.4914137988
61	0.4898174966
62	0.4888559847
63	0.4878895386
64	0.4870881471
65	0.4865894306
66	0.4860825572
67	0.4854272638
68	0.4843366438
69	0.4834825878
70	0.4825445933
71	0.482110888
72	0.4809784422
73	0.4798196504
74	0.4792591724
75	0.4783277264
76	0.4773751966
77	0.47655393
78	0.4756506285
79	0.4749139051
80	0.4738325833
81	0.4733488845
82	0.4721147841
83	0.4715733577
84	0.4700436747
85	0.4694480185
86	0.4684394931
87	0.4676374984
88	0.4670375014
89	0.4663085983
90	0.4656452312
91	0.4651052645
92	0.4641393342
93	0.4635758951
94	0.4627670312
95	0.4620734912
96	0.4614108904
97	0.4604180931
98	0.4596483283
99	0.4590225415
100	0.4583137288
101	0.4579073021
102	0.4570687112
103	0.45648092
104	0.4560095299
105	0.4552760241
106	0.4546635464
107	0.4542322548
108	0.4536827609
109	0.4532320997
110	0.4526521612
111	0.4520333249
112	0.4516195221
113	0.4508539736
114	0.4503774211
115	0.4499670002
116	0.4492049606
117	0.4487821136
118	0.4481286129
119	0.4474367365
120	0.4470331221
121	0.4462964638
122	0.4457406497
123	0.4450651335
124	0.4445914485
125	0.4440915598
126	0.4437319568
127	0.4433361612
128	0.4430164141
129	0.4426612448
130	0.4422063789
131	0.4416231973
132	0.4411478156
133	0.4406959408
134	0.440313456
135	0.4397411282
136	0.4392761719
137	0.4388178317
138	0.4382138235
139	0.437332997
140	0.4365555399
141	0.4360204406
142	0.4355805849
143	0.4351440201
144	0.4345123638
145	0.4340380147
146	0.4338074062
147	0.4334976806
148	0.433000849
149	0.4325228864
150	0.4321625068
151	0.4319046019
152	0.4315104195
153	0.4308986227
154	0.4303572875
155	0.4300904697
156	0.4298348378
157	0.4293160284
158	0.4290241528
159	0.4285694254
160	0.4282146298
161	0.4278134994
162	0.4274480219
163	0.4269490141
164	0.4265425901
165	0.4260308382
166	0.4255683625
167	0.4250928169
168	0.4246843464
169	0.4243140098
170	0.423927905
171	0.4235799838
172	0.4232726504
173	0.4230213316
174	0.422607134
175	0.4221837942
176	0.4218943343
177	0.421433949
178	0.420922009
179	0.4204657209
180	0.4200064326
181	0.4197142659
182	0.4193883367
183	0.4190217825
184	0.4187747499
185	0.4184344781
186	0.4180880517
187	0.4176480409
188	0.4172627314
189	0.4169335856
190	0.4166669169
191	0.4162854281
192	0.4160472364
193	0.4156291205
194	0.4153686812
195	0.4150942019
196	0.4147510832
197	0.4143000943
198	0.4139554878
199	0.413538981
200	0.4133110547
201	0.4130950253
202	0.412802457
203	0.4125235099
204	0.4120496787
205	0.4115613242
206	0.4111148024
207	0.4107963789
208	0.4104152412
209	0.4100962916
210	0.4098476473
211	0.4096695798
212	0.409239485
213	0.4088329968
214	0.4085664728
215	0.4081426002
216	0.4075531887
217	0.4071979578
218	0.4068942137
219	0.4065655365
220	0.4062415002
221	0.4058957455
222	0.4056611433
223	0.4052823715
224	0.4049467863
225	0.4046918044
226	0.4044328047
227	0.4040701149
228	0.4037486813
229	0.4034767966
230	0.4031846205
231	0.4027999943
232	0.4023474059
233	0.4021447606
234	0.4018309579
235	0.4014662714
236	0.4010196672
237	0.4007687478
238	0.4004043724
239	0.4000649994
240	0.3998134525
241	0.3995227655
242	0.3993235396
243	0.3991126218
244	0.3988242641
245	0.3985474549
246	0.3982195513
247	0.3979347895
248	0.3976183075
249	0.3973581625
250	0.3970552838
251	0.3968486432
252	0.3966162223
253	0.3964159469
254	0.3960294982
255	0.3957203122
256	0.3954146201
257	0.3951543061
258	0.3948318805
259	0.3946661866
260	0.394325031
261	0.3939951206
262	0.3936152706
263	0.3932783955
264	0.3929475731
265	0.3926287614
266	0.3922992357
267	0.3921154575
268	0.3918612543
269	0.3916118951
270	0.3913879518
271	0.3911539685
272	0.3908158302
273	0.3905232621
274	0.3902408657
275	0.3899288857
276	0.38956447
277	0.3892195093
278	0.3888942772
279	0.3886064832
280	0.3881296348
281	0.3878905601
282	0.3876026539
283	0.3872012197
284	0.3869094392
285	0.3866810968
286	0.3864339134
287	0.3861574906
288	0.3859466275
289	0.3856132958
290	0.3853769376
291	0.3850992452
292	0.384936034
293	0.3846090788
294	0.38430775
295	0.3841163651
296	0.3838004205
297	0.3834908999
298	0.3832761739
299	0.383015
300	0.382718091
301	0.3824201646
302	0.382148873
303	0.381919579
304	0.3816737272
305	0.381421609
306	0.3811809184
307	0.3809943997
308	0.3807991586
309	0.3804963278
310	0.3801564813
311	0.3798651881
312	0.3795832367
313	0.3793700538
314	0.379079364
315	0.3788082855
316	0.3785729565
317	0.3783196613
318	0.3779420983
319	0.3776599439
320	0.3774904503
321	0.3772917564
322	0.3771297824
323	0.3768818389
324	0.3767029182
325	0.3763386886
326	0.3760824159
327	0.3756782369
328	0.3754335884
329	0.3752219193
330	0.3749345022
331	0.374721031
332	0.3745057493
333	0.3742077128
334	0.3739606565
335	0.3737079495
336	0.3733940418
337	0.3731121693
338	0.3727904361
339	0.3726180087
340	0.372366337
341	0.3720779076
342	0.3718504046
343	0.371658598
344	0.3714558165
345	0.3712040111
346	0.3710018595
347	0.3707549029
348	0.370523601
349	0.3702848272
350	0.3700745357
351	0.3698452853
352	0.3695804348
353	0.3693183887
354	0.3690723582
355	0.3687875185
356	0.3685589474
357	0.3684010293
358	0.3681947059
359	0.3680360605
360	0.3677867542
361	0.3675690489
362	0.3672304619
363	0.3669827732
364	0.3666885325
365	0.3664732172
366	0.3661976894
367	0.3659919144
368	0.3657641069
369	0.3654958091
370	0.3652989517
371	0.365078804
372	0.3647608832
373	0.364505576
374	0.3643155526
375	0.3640221487
376	0.363831455
377	0.3636094621
378	0.3633676093
379	0.3631531904
380	0.3628266058
381	0.3625342557
