rebalance_date,n_universe,n_liquid,strategy_gross_ret,strategy_net_ret,market_ret,alpha_ret,hit_rate_nominal,alpha_positive,strategy_equity,market_equity,alpha_equity
2025-01-02,110,110,0.0310582126937241,0.0300582126937241,0.11548192944764853,-0.08542371675392443,0.4,0.0,1.030058212693724,1.1154819294476486,0.9145762832460755
2025-01-30,110,110,0.3164122176254792,0.3154122176254792,-0.0122626829063957,0.3276749005318749,0.2,1.0,1.354951157842789,1.1018031282590177,1.2142599758875452
2025-02-27,109,109,-0.06263406494632534,-0.06363406494632534,-0.0020067438866043998,-0.06162732105972094,0.2,0.0,1.2687301078655222,1.0995920915671424,1.1394283865035544
2025-03-27,107,107,0.02186311355788654,0.020863113557886538,-0.0132264775473558,0.03408959110524234,0.6,1.0,1.29519976818023,1.0850483614567796,1.1782710342931666
2025-04-29,110,110,0.07719889516995314,0.07619889516995314,0.005155716000403202,0.07104317916954994,0.4,1.0,1.393892559539943,1.0906425626551537,1.2619791544927468
2025-05-29,110,110,0.039145084646062936,0.038145084646062935,0.0093798112552265,0.028765273390836434,1.0,1.0,1.4470627092111115,1.1008725840397757,1.2982803298852672
2025-06-30,111,111,0.11587348151076111,0.11487348151076111,-0.013432346542620096,0.1283058280533812,1.0,1.0,1.6132918405825858,1.0860852819916837,1.4648572626566132
2025-07-29,109,109,0.17534339506503607,0.17434339506503607,-0.015402035602446993,0.18974543066748306,1.0,1.0,1.894558617300475,1.0693573578111542,1.7428072348257826
2025-08-26,111,111,0.31129484021543896,0.31029484021543896,-0.0027230629205106005,0.31301790313594957,0.4,1.0,2.4824303807345087,1.0664454304413233,2.2883371010411113
2025-09-23,111,111,-0.06618014130870159,-0.06718014130870159,0.005784479881569801,-0.07296462119027139,0.0,0.0,2.3156603569677503,1.0726142625785033,2.121369451308003
