symbol,ex_date,dividend_yield_pct,dividend_per_share,gross_pct,net_pct,total_dividend_tl,payout_ratio_pct
TRALT,2023-07-14,1.47,0.4,40.0,36.0,1281000000.0,
TRALT,2022-07-07,0.09,0.1755,17.55,15.79,2676271300.0,89.0
