symbol,split_date,split_factor,cumulative_split_factor
SASA,2021-04-27,1.3493975902772524,1.3493975902772524
SASA,2022-05-05,1.9999999998214255,2.6987951803135366
SASA,2022-11-07,1.0070670736600833,2.7178677646462903
SASA,2022-12-07,1.003458970823094,2.7272687899452297
SASA,2023-01-11,1.017210439741935,2.774206285114642
SASA,2023-05-23,2.2999999998870817,6.380674455450418
SASA,2023-08-14,1.0004876001891747,6.383785673521958
SASA,2023-10-24,1.00436189493617,6.411631075924888
SASA,2024-05-27,1.0166039219038718,6.518089297585982
SASA,2024-08-12,7.999999999741216,52.14471437900108
SASA,2024-12-13,1.012372944051244,52.78989801258055
