symbol,split_date,split_factor,cumulative_split_factor
GUBRF,1996-05-26 23:00:00,1.0,1.0
GUBRF,1997-05-26 23:00:00,1.0,1.0
GUBRF,1998-05-26 23:00:00,1.0,1.0
GUBRF,1999-05-27 23:00:00,4.339999038665927,4.339999038665927
GUBRF,2000-05-29 23:00:00,1.0,4.339999038665927
GUBRF,2001-05-29 23:00:00,1.0,4.339999038665927
GUBRF,2002-12-24 23:00:00,1.00000057372188,4.340001528618335
GUBRF,2003-05-29 23:00:00,1.0,4.340001528618335
GUBRF,2004-01-04 23:00:00,8.99999943996451,39.06001132701013
GUBRF,2005-05-29 23:00:00,1.0,39.06001132701013
GUBRF,2007-05-29 23:00:00,1.0,39.06001132701013
GUBRF,2008-05-30 00:00:00,1.0,39.06001132701013
GUBRF,2009-01-08 23:00:00,3.711346492953131,144.96523605320863
GUBRF,2013-12-05 23:00:00,4.0,579.8609442128345
GUBRF,2014-05-30 00:00:00,1.0,579.8609442128345
GUBRF,2015-07-31 00:00:00,1.0,579.8609442128345
GUBRF,2016-07-29 00:00:00,1.0,579.8609442128345
