symbol,split_date,split_factor,cumulative_split_factor
CEMTS,2020-04-28,1.0,1.0
CEMTS,2021-01-11,1.0,1.0
CEMTS,2021-05-05,1.0,1.0
CEMTS,2022-05-16,1.0,1.0
CEMTS,2023-05-29,1.0,1.0
CEMTS,2023-05-31,4.95168737660395,4.95168737660395
CEMTS,2024-04-29,1.0,4.95168737660395
CEMTS,2025-05-28,1.0,4.95168737660395
