symbol,split_date,split_factor,cumulative_split_factor
ISGYO,2000-05-14 23:00:00,1.300000000017143,1.300000000017143
ISGYO,2001-04-15 23:00:00,1.400000000061539,1.8200000001040009
ISGYO,2001-09-09 23:00:00,1.85,3.3670000001924016
ISGYO,2004-12-14 23:00:00,1.4,4.713800000269362
ISGYO,2005-05-24 23:00:00,1.0,4.713800000269362
ISGYO,2006-05-24 23:00:00,1.0,4.713800000269362
ISGYO,2007-06-04 23:00:00,1.3637768739809557,6.428571428938779
ISGYO,2008-05-26 00:00:00,1.0,6.428571428938779
ISGYO,2009-03-31 00:00:00,1.0,6.428571428938779
ISGYO,2010-03-29 00:00:00,1.0,6.428571428938779
ISGYO,2011-03-27 23:00:00,1.0,6.428571428938779
ISGYO,2011-06-06 00:00:00,1.3333333333333333,8.571428571918371
ISGYO,2012-03-29 00:00:00,1.0,8.571428571918371
ISGYO,2013-03-27 23:00:00,1.0,8.571428571918371
ISGYO,2013-05-15 00:00:00,1.05,9.00000000051429
ISGYO,2014-03-24 23:00:00,1.0,9.00000000051429
ISGYO,2014-05-22 00:00:00,1.08,9.720000000555435
ISGYO,2015-03-24 23:00:00,1.0,9.720000000555435
ISGYO,2015-05-20 00:00:00,1.096413874191652,10.657142857751845
ISGYO,2016-03-28 00:00:00,1.0,10.657142857751845
ISGYO,2016-05-09 00:00:00,1.1394101876675604,12.14285714355103
ISGYO,2017-03-28 00:00:00,1.0,12.14285714355103
ISGYO,2017-04-27 00:00:00,1.075,13.053571429317357
ISGYO,2018-03-27 00:00:00,1.0,13.053571429317357
ISGYO,2018-05-04 00:00:00,1.0492476060191518,13.696428572211234
