symbol,split_date,split_factor,cumulative_split_factor
TTKOM,2020-07-28,1.0,1.0
TTKOM,2021-04-01,1.0,1.0
TTKOM,2021-07-01,1.0,1.0
TTKOM,2021-10-01,1.0,1.0
TTKOM,2022-04-28,1.0,1.0
