date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,5.2035255,5.2580023,5.136401,5.2531,624416392.0,ASELS,1.313275,1.300881375,1.314500575,1.28410025,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.05926024633073812,1,1,0.09537225638194591,1,1,0.3064856941615428,1,1,0.07037749138603866,1,1,0.35278216672060303,1,1,0.5166853857722107,1,1,1.0
2020-01-03,5.232222,5.3358264,5.0828967,5.2969,1220834517.0,ASELS,1.324225,1.3080555,1.3339566,1.270724175,0,0.008337933791475516,,,,,,,,,,0.0008735042735041887,0.00017470085470083774,0.000698803418803351,,,1220834517.0,0.05235137533274181,1,1,0.07713945892880747,1,1,0.3351771791047595,1,1,0.06703921161434057,1,1,0.3250769317902924,1,1,0.48118710944137133,1,1,1.0
2020-01-06,5.370604,5.437971,5.272594,5.3699,1056855031.0,ASELS,1.342475,1.342651,1.35949275,1.3181485,0,0.013781645868338188,,,,,,,,,,0.0030037597097425373,0.0007405126257091777,0.0022632470840333596,,,2277689548.0,0.04618335536974616,1,1,0.05886515577571272,1,1,0.3106761764651109,1,1,0.06882809735749262,1,1,0.32246410547682447,1,1,0.47190822920352327,1,1,1.0
2020-01-07,5.425567,5.4866104,5.345554,5.4477,790162722.0,ASELS,1.361925,1.35639175,1.3716526,1.3363885,0,0.014488165515186502,,,,,,,,,,0.006190099328336807,0.0018304299662347037,0.004359669362102103,,,3067852270.0,0.031242542724452482,1,1,0.09732547680672576,1,1,0.30267819446738975,1,1,0.021421884465003593,1,1,0.3214200488279457,1,1,0.45534812856801943,1,1,1.0
2020-01-08,5.428243,5.4720187,5.345554,5.4137,807541941.76,ASELS,1.353425,1.35706075,1.368004675,1.3363885,0,-0.006241165996659137,,,,,,,,,,0.007937914136883828,0.003051926800364529,0.004885987336519299,,,2260310328.24,0.03502225834457007,1,1,0.09612649389511785,1,1,0.33780963112104456,1,1,0.039529342224356556,1,1,0.3279272955649555,1,1,0.4510224061178121,1,1,1.0
2020-01-09,5.534278,5.5692987,5.481747,5.5644,593083626.16,ASELS,1.3911,1.3835695,1.392324675,1.37043675,0,0.02783678445425486,0.05926024633073812,,,,,,,,,0.012222237258829649,0.004885988892057554,0.007336248366772095,,,2853393954.3999996,-0.0017432247861404182,0,0,0.06644022715836395,1,1,0.23952267989360942,1,1,0.0139997124577671,1,0,0.279724678312127,1,1,0.3907339515491337,1,1,1.0
2020-01-10,5.55495,5.6276674,5.481747,5.5207,621952649.0,ASELS,1.380175,1.3887375,1.40691685,1.37043675,0,-0.007853497232406026,0.04225112801827491,,,,,,,,,0.014568105946863197,0.006822412303018683,0.007745693643844514,,,2231441305.3999996,0.010560255040121813,1,0,0.07752640063760019,1,1,0.2704729472711793,1,1,0.04405238466136541,1,1,0.32510370061767535,1,1,0.399985509083993,1,1,1.0
2020-01-13,5.562003,5.593619,5.5157948,5.5742,537283769.0,ASELS,1.39355,1.39050075,1.39840475,1.3789487,0,0.009690800079700246,0.03804540121789968,,,,,,,,,0.017306970520714504,0.008919323946557848,0.008387646574156657,,,2768725074.3999996,0.021814789566215742,1,1,0.05234831904129722,1,1,0.24868142513723934,1,1,0.06456531879014027,1,1,0.31150658390441666,1,1,0.4109827419181227,1,1,1.0
2020-01-14,5.6296124,5.686035,5.5352507,5.6617,657448583.0,ASELS,1.415425,1.4074031,1.42150875,1.383812675,0,0.015697319794768738,0.03928263303779578,,,,,,,,,0.021000588400276188,0.011335576837301516,0.009665011562974671,,,3426173657.3999996,-0.002578730769909998,0,0,0.06358514227175593,1,1,0.2517265132380735,1,1,0.0738824028118763,1,1,0.29639507568398193,1,1,0.37801367080558856,1,1,1.0
2020-01-15,5.611859,5.676307,5.5692987,5.5839,456890530.0,ASELS,1.395975,1.40296475,1.41907675,1.392324675,0,-0.013741455746507203,0.03143875722703493,,,,,,,,,0.022103558666026757,0.013489173203046564,0.008614385462980193,,,2969283127.3999996,0.01393291427138732,1,0,0.2195060799799422,1,1,0.26305986855065466,1,1,0.0966886942817744,1,1,0.38936943713175376,1,1,0.4442414799691974,1,1,1.0
