date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass
2020-01-02,18.663956,18.830315,18.458666,18.671,63241627.0,ARCLK,18.671,18.663956,18.830315,18.458666,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.04360237801938838,1,1,-0.009474586256761786,0,0,-0.04549836645064531,0,-1,-0.3672968775105778,0,-1,-0.272508167746773,0,-1,-0.07819613304054418,0,-1
2020-01-03,18.505562,18.883408,18.051617,18.7418,95944669.0,ARCLK,18.7418,18.505562,18.883408,18.051617,0,0.0037919768625140904,,,,,,,,,,0.005647863247865814,0.001129572649573163,0.004518290598292651,,,95944669.0,0.04343766340479571,1,1,-0.0028332390698866394,0,0,-0.05665411006413479,0,-1,-0.34844038459486293,0,-1,-0.262509470808567,0,-1,-0.06657311464213689,0,-1
2020-01-06,18.889603,19.078083,18.600246,18.9188,92259522.0,ARCLK,18.9188,18.889603,19.078083,18.600246,0,0.009444130232955095,,,,,,,,,,0.024128122336669833,0.005729282586992498,0.018398839749677334,,,188204191.0,0.035546652007526935,1,1,0.0018711546186860328,1,0,-0.08278537750808734,0,-1,-0.33582996807408505,0,-1,-0.27408715140495177,0,-1,-0.07249931285282374,0,-1
2020-01-08,18.363098,18.582546,17.963129,18.4233,62112841.94,ARCLK,18.4233,18.363098,18.582546,17.963129,0,-0.026190878914095994,,,,,,,,,,-0.0011950720790707692,0.004344411653779845,-0.005539483732850614,,,126091349.06,0.06531945959735763,1,1,0.04130638919194718,1,1,-0.04851465264094934,0,-1,-0.2987521236694838,0,-1,-0.21374020940873795,0,-1,-0.05139687243870528,0,-1
2020-01-09,18.909956,19.11348,18.617943,19.0073,104430248.64,ARCLK,19.0073,18.909956,19.11348,18.617943,0,0.03169898986609354,,,,,,,,,,0.02556533197787303,0.008588595718598482,0.016976736259274545,,,230521597.7,0.02048160443619018,1,1,0.0009312211623953015,1,0,-0.09963014210329713,0,-1,-0.31238524145986024,0,-1,-0.22625517564304243,0,-1,-0.04562457582086887,0,-1
2020-01-10,19.190464,19.34355,18.883408,18.9896,99820100.0,ARCLK,18.9896,19.190464,19.34355,18.883408,0,-0.0009312211623955235,0.017063895881313185,,,,,,,,,0.04482815188598721,0.015836506952076227,0.028991644933910984,,,130701497.69999999,0.02236487340438975,1,1,-0.026093229978514598,0,-1,-0.1067110418334245,0,-1,-0.29217045119433793,0,-1,-0.24184290348401227,0,-1,-0.03075367569617049,0,-1
2020-01-13,19.357704,19.62671,19.148874,19.3082,114469548.0,ARCLK,19.3082,19.357704,19.62671,19.148874,0,0.01677760458356148,0.030221216745456525,,,,,,,,,0.08482462729107709,0.0296341310198764,0.05519049627120069,,,245171045.7,-0.00825038066728112,0,0,-0.05133052278306627,0,-1,-0.11366155312250736,0,-1,-0.30339441273655743,0,-1,-0.24885799815622378,0,-1,-0.03941330626365991,0,-1
2020-01-14,19.37452,19.48513,19.148874,19.4497,69827442.0,ARCLK,19.4497,19.37452,19.48513,19.148874,0,0.007328492557566291,0.028062033532782138,,,,,,,,,0.1264819840638296,0.049003701628667046,0.07747828243516255,,,314998487.7,-0.029116130325917533,0,-1,-0.07916317475333812,0,-1,-0.1419456341228913,0,-1,-0.31437502892075453,0,-1,-0.24476470074088552,0,-1,-0.031846249556548356,0,-1
2020-01-15,19.21524,19.46743,19.095781,19.0958,56533352.0,ARCLK,19.0958,19.21524,19.46743,19.095781,0,-0.018195653403394352,0.03650268952902036,,,,,,,,,0.129446785135773,0.06509231833008824,0.06435446680568477,,,258465135.7,-0.014830486284942324,0,0,-0.03892478974434177,0,-1,-0.13902009866043852,0,-1,-0.2585751840718902,0,-1,-0.2358686203248882,0,-1,-0.02409954021303118,0,-1
2020-01-16,19.405489,19.64441,19.11348,19.202,100147617.0,ARCLK,19.202,19.405489,19.64441,19.11348,0,0.0055614323568533575,0.010243432786350537,,,,,,,,,0.1387662528116742,0.07982710522640545,0.05893914758526876,,,358612752.7,-0.019357358608478314,0,0,-0.05345797312779932,0,-1,-0.15944693261118636,0,-1,-0.294932819497969,0,-1,-0.2308769919800021,0,-1,-0.039631288407457665,0,-1
2020-01-17,19.440884,19.591314,19.18427,19.4851,83739897.0,ARCLK,19.4851,19.440884,19.591314,19.18427,0,0.014743255910842468,0.026093229978514598,,,,,,,,,0.16706992403567966,0.09727566898826029,0.06979425504741937,4.360237801938838,,442352649.7,-0.05085937459905254,0,-1,-0.08537805810593735,0,-1,-0.1335122734807621,0,-1,-0.30971870814109237,0,-1,-0.23251612770783825,0,-1,-0.039055483420665005,0,-1
2020-01-20,19.6214,19.821384,19.432035,19.5559,81628396.0,ARCLK,19.5559,19.6214,19.821384,19.432035,0,0.0036335456323037807,0.012828746335753705,,,,,,,,,0.19298909751276838,0.11641835469316192,0.07657074281960646,4.343766340479571,,523981045.7,-0.04434467347450133,0,-1,-0.09592501495712302,0,-1,-0.14886555975434523,0,-1,-0.3027117136004991,0,-1,-0.2294090274546301,0,-1,-0.019907035728348066,0,0
2020-01-21,19.575388,19.750593,19.325851,19.5913,76106594.0,ARCLK,19.5913,19.575388,19.750593,19.325851,0,0.0018101953886038302,0.0072803179483489355,,,,,,,,,0.2139207679291495,0.13591883734035945,0.07800193058879004,3.5546652007526935,,600087639.7,-0.032519536733141785,0,-1,-0.11427010969154683,0,-1,-0.18970155119874632,0,-1,-0.30081209516469043,0,-1,-0.2285453236895969,0,-1,-0.0018069245022024338,0,0
2020-01-22,19.601934,19.750593,19.449734,19.6267,61790050.0,ARCLK,19.6267,19.601934,19.750593,19.449734,0,0.0018069245022025449,0.027801925030634944,,,,,,,,67.76460091453214,0.23070631292284816,0.1548763324568572,0.07582998046599096,6.531945959735763,0.5144920714285713,661877689.7,-0.022540722587087947,0,-1,-0.10685443808689188,0,-1,-0.23534776605338648,0,-1,-0.3097362266708107,0,-1,-0.2470664961506519,0,-1,-0.00541099624491137,0,0
2020-01-23,19.39133,19.64441,19.219664,19.3966,56261070.0,ARCLK,19.3966,19.39133,19.64441,19.219664,0,-0.011723825197307747,0.010134361004062065,,,,,,,,62.42465753424657,0.22287269361109452,0.16847560468770467,0.05439708892338985,2.048160443619018,0.5182847142857143,605616619.7,-0.019157996762319218,0,0,-0.11770104038852158,0,-1,-0.228101832279884,0,-1,-0.30018147510388415,0,-1,-0.2276429889774496,0,-1,0.010950372745738957,1,0
